run_label,scenario,algo,frame_stack,observation_version,learned_policy,best_static_policy,best_heuristic_policy,mean_diff_vs_best_static,ci95_low_vs_best_static,ci95_high_vs_best_static,sign_flip_pvalue_vs_best_static,cohens_d_vs_best_static,mean_diff_vs_best_heuristic,ci95_low_vs_best_heuristic,ci95_high_vs_best_heuristic,sign_flip_pvalue_vs_best_heuristic,cohens_d_vs_best_heuristic
ppo_fs1_v1,increased,ppo,1,v1,ppo,static_s2,heuristic_hysteresis,-15.689582079417423,-44.424045802238865,1.316643975203943,0.232421875,-0.3568618918049037,-8.954625439676636,-38.16594242253382,8.55247674181861,0.9375,-0.2027237933874353
ppo_fs1_v2,increased,ppo,1,v2,ppo,static_s2,heuristic_hysteresis,-482.6551759295086,-519.9366334125209,-451.83990434639105,0.001953125,-8.157826301640492,-475.92021928976783,-515.161789686269,-443.5696246957903,0.001953125,-7.709319985717732
ppo_fs1_v2,severe,ppo,1,v2,ppo,static_s2,heuristic_disruption,-447.1366988503619,-464.0244778651982,-433.11657856742306,0.001953125,-16.7103053130081,-443.6951519799651,-459.0642365075507,-430.26361532218857,0.001953125,-17.754993281776194
ppo_fs4_v1,increased,ppo,4,v1,ppo,static_s2,heuristic_hysteresis,-479.5814630635211,-513.9152056964485,-453.13120065983924,0.001953125,-9.262822222365138,-472.8465064237803,-506.5182671683514,-446.299469265427,0.001953125,-9.186671134825742
ppo_fs4_v1,severe,ppo,4,v1,ppo,static_s2,heuristic_disruption,-451.230708593499,-462.9891523412584,-440.9103288477278,0.001953125,-23.554107814953902,-447.7891617231021,-463.7253306232123,-433.25023219160767,0.001953125,-17.38187473218953
recurrent_ppo_fs1_v2,increased,recurrent_ppo,1,v2,recurrent_ppo,static_s2,heuristic_hysteresis,-475.0509028098707,-502.81913976367906,-453.4344055121239,0.001953125,-11.057355966846943,-468.31594617012996,-497.39223359394384,-446.98621248546254,0.001953125,-10.53897234294485
recurrent_ppo_fs1_v2,severe,recurrent_ppo,1,v2,recurrent_ppo,static_s2,heuristic_disruption,-449.56886543508256,-470.5871069835115,-429.9820662227554,0.001953125,-12.985959490099267,-446.1273185646857,-463.6057567526916,-430.6140517469064,0.001953125,-15.795663804167155
