dispatch_charge_per_multiplier_step,ppo_dispatch_inclusive_cost_mean,static_dispatch_inclusive_cost_mean,ppo_minus_static_delta,delta_ci95_low,delta_ci95_high,ppo_cheaper
0.0,0.6646901709401709,0.6666666666666665,-0.001976495726495689,-0.021474358974358936,0.01875133547008549,True
0.01,0.6697004468180388,0.6816666666666666,-0.01196621984862792,-0.032440146218867386,0.008780380517887869,True
0.025,0.6772158606348404,0.7041666666666664,-0.026950806031826216,-0.047823274469129644,-0.006210378408095655,True
0.05,0.6897415503295098,0.7416666666666669,-0.05192511633715686,-0.07248165298113259,-0.03023238905614604,True
0.075,0.7022672400241793,0.7791666666666667,-0.07689942664248726,-0.09962567845073521,-0.05432542957834584,True
0.1,0.7147929297188488,0.8166666666666665,-0.10187373694781791,-0.12424410156326315,-0.07828003309251758,True
0.15,0.7398443091081877,0.8916666666666662,-0.15182235755847895,-0.1760690686415601,-0.12704636887967707,True
0.2,0.7648956884975265,0.9666666666666667,-0.20177097816914014,-0.22823149695184397,-0.17514857976119796,True
