policy,seed,episode,eval_seed,steps,reward_total,fill_rate,backorder_rate,order_level_ret_mean,flow_fill_rate,flow_backorder_rate,terminal_rolling_fill_rate_4w,terminal_rolling_backorder_rate_4w,pct_steps_S1,pct_steps_S2,pct_steps_S3,op10_multiplier_step_mean,op12_multiplier_step_mean,op10_multiplier_step_p95,op12_multiplier_step_p95,pct_steps_op10_multiplier_ge_190,pct_steps_op12_multiplier_ge_190,pct_steps_both_downstream_ge_190,assembly_hours_total,assembly_cost_index,ret_garrido2024_raw_total,ret_garrido2024_train_total,ret_garrido2024_sigmoid_total,ret_garrido2024_sigmoid_mean,terminal_zeta_avg,terminal_epsilon_avg,terminal_phi_avg,terminal_tau_avg,terminal_kappa_dot,order_ret_excel,order_ret_thesis,order_ret_continuous,order_fill_rate,order_fill_rate_on_time,order_lost_orders,order_lost_rate,order_backorder_qty_final,order_service_loss_auc_ration_hours,order_service_loss_auc_per_order,order_ttr_mean,order_ttr_p95,order_backlog_age_mean,order_backlog_age_max,order_ctj_p50,order_ctj_p90,order_ctj_p99,order_rpj_p50,order_rpj_p90,order_rpj_p99,order_dpj_p99,order_delivered_rations,order_demanded_rations,order_flow_fill_rate,order_shift_hours,order_surge_hours,order_strategic_buffer_units,order_unit_surge_hours_per_ration,order_unit_buffer_units_per_ration,order_ret_excel_cvar05,order_ret_excel_p05,order_ret_excel_p10,order_ret_excel_p25,order_ret_excel_p50,order_ret_excel_p75,order_ret_excel_p90,order_ret_excel_p95,order_ret_excel_rolling_4w_mean,order_ret_excel_rolling_4w_min,order_ret_excel_rolling_4w_final,order_ration_ret_excel,order_excel_case_pct_fill_rate,order_excel_case_pct_autotomy,order_excel_case_pct_recovery,order_excel_case_pct_risk_no_recovery,order_excel_case_pct_unfulfilled,order_apj_p50,order_apj_p90,order_apj_p99,order_apj_positive_p50,order_apj_positive_p90,order_apj_positive_p99
ppo,1,1,50001,104,-32.0878440098429,0.0029154518950437,0.9970845481049564,0.0055193139265914,0.9273020552415124,0.0726979447584876,1.0,0.0,44.23076923076923,28.846153846153847,26.923076923076923,1.1610350577124895,1.2198004007715588,1.846563164889812,1.6207135293632744,2.8846153846153846,0.0,0.0,10640.0,0.6089743589743589,2003.9200038276656,1826.8081841957476,95.06953522805802,0.9141301464236348,315844.5485576922,9995.496346153846,5889.139045250262,1.4643011332881375,0.4697059744446716,0.0058442806569116,0.0058442806569116,0.2413203065321707,0.0031152647975077,0.0,0.0,0.0,0.0,116145652.27379596,180912.23095606847,94.04093045713542,171.67432095896402,18.799999999999272,30.799999999999272,54.0,54.0,1299.9428719090924,74.51532835066973,130.3306350766552,298.16154494241164,1299.9428719090924,1740552.68,1745378.18,0.997235269665168,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
ppo,1,2,50002,104,-7.048194942093783,0.0029585798816568,0.9970414201183432,0.0057364850757543,0.9879471368070376,0.0120528631929622,1.0,0.0,40.38461538461539,31.73076923076923,27.884615384615383,1.214209783087986,1.1950131981776884,1.9628029711544512,1.7082446679472922,7.6923076923076925,1.9230769230769231,0.9615384615384616,10920.0,0.625,6693.725469342295,6138.687301611067,100.34698863826306,0.9648748907525294,338440.15624999977,3846.6012500000006,6795.365184479196,1.19585574860975,0.4924295279455796,0.0059475635635387,0.0059475635635387,0.2511298627888566,0.0031152647975077,0.0,0.0,0.0,0.0,44625502.648147784,69510.12873543269,89.6466914972751,132.55396110194852,35.79999999999927,47.79999999999927,54.0,54.0,866.1846383491188,74.92249485070533,126.0,198.0,866.1846383491188,1722994.39,1728128.68,0.9970289886051772,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
ppo,1,3,50003,104,-27.82030155696614,0.0029585798816568,0.9970414201183432,0.0055684900921877,0.934013400183496,0.0659865998165039,1.0,0.0,52.88461538461539,35.57692307692308,11.538461538461538,1.0876717523564223,1.15687652458795,1.6480974249541758,1.6422458440065384,1.9230769230769231,1.9230769230769231,0.0,9240.0,0.5288461538461539,1406.4208156893471,1240.6575769976284,92.19848646558184,0.8865239083229023,204615.22557692305,11798.54836538462,3731.32742257016,1.3562866874357022,0.3188513789980617,0.0057901262509446,0.0057901262509446,0.2426922167882524,0.0031152647975077,0.0,0.0,0.0,0.0,148872120.05299056,231888.03746571735,102.83489705490574,285.78728815389786,24.799999999999272,36.79999999999927,54.0,54.0,1868.8387096187955,74.86764828064406,130.30775598164837,419.613655099306,1868.8387096187955,1750085.18,1755550.78,0.9968866750752716,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
ppo,1,4,50004,104,-13.3183340578089,0.0044313146233382,0.9955686853766618,0.0057415982688776,0.9717073861195704,0.0282926138804295,1.0,0.0,45.19230769230769,25.96153846153846,28.846153846153847,1.214637533475,1.1985968668819764,2.0,1.7981502935290334,12.5,2.8846153846153846,1.9230769230769231,10696.0,0.6121794871794872,5662.832335948164,5129.437795121558,99.7709455094016,0.959336014513477,287839.47326923074,4374.749230769231,6866.826890623703,1.2215211875370402,0.424869425363071,0.0059507206442486,0.0059507206442486,0.2494374901647788,0.0046728971962616,0.0,0.0,0.0,0.0,51475953.373884626,80180.61273190752,90.23749515544284,151.0,26.799999999999272,50.79999999999927,54.0,54.0,819.8111552295368,74.42485898220912,126.0,234.0,819.8111552295368,1739694.46,1747705.26,0.9954163896033592,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
ppo,1,5,50005,104,-14.41683957627131,0.0029542097488921,0.9970457902511078,0.0055165373171664,0.9674770839167148,0.0325229160832852,1.0,0.0,43.26923076923077,34.61538461538461,22.115384615384617,1.1798980536763195,1.1801661811410809,1.985232434421777,1.8701287448406216,6.730769230769231,3.8461538461538463,0.9615384615384616,10416.0,0.5961538461538461,4620.066545459553,4136.710474494012,99.09017922080396,0.9527901848154224,253034.97124999992,4903.763076923077,5207.798861812505,1.2201625641082046,0.376114395801375,0.0057247231462982,0.0057247231462982,0.2435663744509513,0.0031152647975077,0.0,0.0,0.0,0.0,83458131.66262937,129997.0898171797,103.32253815602633,255.85538543530856,21.799999999999272,33.79999999999927,54.0,54.0,1489.1712727846066,75.03612019260981,150.0745787347903,438.70211236588057,1489.1712727846066,1753590.4,1758791.38,0.9970428670170078,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
ppo,1,6,50006,104,-14.97797716498328,0.0029542097488921,0.9970457902511078,0.0056740850720648,0.9679772583029104,0.0320227416970896,1.0,0.0,50.0,28.846153846153847,21.153846153846153,1.1310581554694532,1.1681752280027675,1.7729100964963436,1.8118472307920452,1.9230769230769231,1.9230769230769231,0.0,9968.0,0.5705128205128205,3243.9629676399654,2908.061593633438,97.8207025851076,0.9405836787029578,263302.65009615396,6363.849807692309,4722.907187301782,1.256464024768312,0.3922287299789218,0.0058912303507933,0.0058912303507933,0.2483996282768933,0.0031152647975077,0.0,0.0,0.0,0.0,72696141.50610043,113233.86527429974,93.7235493548735,159.1370694495854,26.799999999999272,38.79999999999927,54.0,54.0,1350.7197504443493,74.31094878765725,126.0,342.3329854259175,1350.7197504443493,1755473.2,1760133.9,0.9973520764528198,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
ppo,1,7,50007,104,-14.867736649798411,0.0044313146233382,0.9955686853766618,0.0056836379187298,0.968740000412611,0.031259999587389,1.0,0.0,50.96153846153846,12.5,36.53846153846154,1.2240016470269228,1.160502713263178,1.987688522040844,1.7561141818761823,11.538461538461538,0.9615384615384616,0.0,10808.0,0.6185897435897436,7564.112444635972,6893.75760743127,100.59005358603504,0.9672120537118754,298502.117596154,3571.223750000001,7334.001105475163,1.2002066991242195,0.4382971216872787,0.0059154288131998,0.0059154288131998,0.2492513978891983,0.0046728971962616,0.0,0.0,0.0,0.0,45440048.58395728,70778.89187532286,91.03511505678291,159.1419642544231,29.799999999999272,53.79999999999927,54.0,54.0,619.879540616655,74.11858911109903,127.0,232.1419642544231,619.879540616655,1751065.05,1758709.03,0.9956536414667752,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
ppo,1,8,50008,104,-15.228793628612795,0.0029542097488921,0.9970457902511078,0.0058147927010034,0.9647208539403406,0.0352791460596593,1.0,0.0,41.34615384615385,35.57692307692308,23.076923076923077,1.182329886324274,1.2011278086306096,1.8606210827827452,1.9863514140248295,3.8461538461538463,7.6923076923076925,1.9230769230769231,10584.0,0.6057692307692307,2780.7763170949265,2542.432437171207,97.18378416500624,0.93445946312506,313661.5886538461,7622.565769230771,5719.596073238273,1.233875896775344,0.4632408931824265,0.0060755265065491,0.0060755265065491,0.2522692013516195,0.0031152647975077,0.0,0.0,0.0,0.0,85526240.88729976,133218.4437496881,92.40633813812472,128.09150705117077,23.799999999999272,35.79999999999927,54.0,54.0,1534.0340177638573,73.77703065643618,121.0,464.99504861924765,1534.0340177638573,1753156.98,1758239.64,0.9971092336423492,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
ppo,1,9,50009,104,-13.137483905189008,0.0029585798816568,0.9970414201183432,0.0058123186016062,0.9706701870359782,0.0293298129640217,1.0,0.0,54.80769230769231,31.73076923076923,13.461538461538462,1.0840851339475752,1.1758828026314194,1.8044193267822264,1.7312691658735275,3.8461538461538463,0.0,0.0,9240.0,0.5288461538461539,4243.226893137753,3769.291578935903,99.29847592931836,0.9547930377819072,249014.61788461523,4558.496923076923,3120.4831640717366,1.190782237767953,0.3687618145294988,0.0060097604123136,0.0060097604123136,0.2497165466474165,0.0031152647975077,0.0,0.0,0.0,0.0,51626438.68831494,80415.01353320084,88.27419400589939,137.47927467923182,26.799999999999272,38.79999999999927,54.0,54.0,765.3597113383735,74.0,122.52112468313408,202.88161082025908,765.3597113383735,1754504.55,1759440.57,0.9971945514476798,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
ppo,1,10,50010,104,-7.723395648876212,0.0029542097488921,0.9970457902511078,0.0057326981462371,0.9860703692502442,0.0139296307497558,1.0,0.0,52.88461538461539,18.26923076923077,28.846153846153847,1.1668252164068131,1.1502572089039649,2.0,1.7336256071925158,10.576923076923077,2.8846153846153846,0.9615384615384616,10248.0,0.5865384615384616,5009.810094093217,4530.0424307862,99.39501128697482,0.955721262374758,277063.8472115384,4813.197980769231,6274.261385334557,1.255934745934709,0.4100443136869194,0.0059767239457706,0.0059767239457706,0.2521910814568575,0.0031152647975077,0.0,0.0,0.0,0.0,69223520.9681742,107824.79901584768,94.14764013449596,145.0512614153813,21.799999999999272,33.79999999999927,54.0,54.0,1488.4191662417202,73.43309790449712,126.0,468.2698254469039,1488.4191662417202,1737056.72,1741994.72,0.9971653186181874,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
