policy,seed,episode,eval_seed,steps,reward_total,fill_rate,backorder_rate,order_level_ret_mean,flow_fill_rate,flow_backorder_rate,terminal_rolling_fill_rate_4w,terminal_rolling_backorder_rate_4w,pct_steps_S1,pct_steps_S2,pct_steps_S3,op10_multiplier_step_mean,op12_multiplier_step_mean,op10_multiplier_step_p95,op12_multiplier_step_p95,pct_steps_op10_multiplier_ge_190,pct_steps_op12_multiplier_ge_190,pct_steps_both_downstream_ge_190,assembly_hours_total,assembly_cost_index,ret_garrido2024_raw_total,ret_garrido2024_train_total,ret_garrido2024_sigmoid_total,ret_garrido2024_sigmoid_mean,terminal_zeta_avg,terminal_epsilon_avg,terminal_phi_avg,terminal_tau_avg,terminal_kappa_dot,order_ret_excel,order_ret_thesis,order_ret_continuous,order_fill_rate,order_fill_rate_on_time,order_lost_orders,order_lost_rate,order_backorder_qty_final,order_service_loss_auc_ration_hours,order_service_loss_auc_per_order,order_ttr_mean,order_ttr_p95,order_backlog_age_mean,order_backlog_age_max,order_ctj_p50,order_ctj_p90,order_ctj_p99,order_rpj_p50,order_rpj_p90,order_rpj_p99,order_dpj_p99,order_delivered_rations,order_demanded_rations,order_flow_fill_rate,order_shift_hours,order_surge_hours,order_strategic_buffer_units,order_unit_surge_hours_per_ration,order_unit_buffer_units_per_ration,static_shift,static_op10_mult,static_op12_mult,order_ret_excel_cvar05,order_ret_excel_p05,order_ret_excel_p10,order_ret_excel_p25,order_ret_excel_p50,order_ret_excel_p75,order_ret_excel_p90,order_ret_excel_p95,order_ret_excel_rolling_4w_mean,order_ret_excel_rolling_4w_min,order_ret_excel_rolling_4w_final,order_ration_ret_excel,order_excel_case_pct_fill_rate,order_excel_case_pct_autotomy,order_excel_case_pct_recovery,order_excel_case_pct_risk_no_recovery,order_excel_case_pct_unfulfilled,order_apj_p50,order_apj_p90,order_apj_p99,order_apj_positive_p50,order_apj_positive_p90,order_apj_positive_p99
S2_op10_2.00_op12_1.50,1,1,50001,104,-144.70061897398355,0.0029154518950437,0.9970845481049564,0.0051027347448309,0.6476287808573358,0.3523712191426643,0.9612835049629213,0.0,0.0,100.0,0.0,2.0,1.5,2.0,1.5,100.0,0.0,0.0,11648.0,0.6666666666666666,248.3949313075068,230.5396994520229,72.36035143156316,0.6957726099188766,312413.3372115385,70508.73740384611,7195.379807692308,1.5534541490091855,0.5489355256951961,0.0054053977598286,0.0054053977598286,0.2179668510821876,0.0031152647975077,0.0,0.0,0.0,14119.52,987124723.0914696,1537577.4502982392,181.10162500666897,844.5244914089435,7466.8,16062.8,54.0,1108.8317686259115,8755.505207836688,75.86975333583177,282.7581822376901,1922.2131225817504,8755.505207836688,1739270.0300000005,1755859.5500000005,0.9905519094622346,0.0,0.0,0.0,0.0,0.0,2,2.0,1.5,,,,,,,,,,,,,,,,,,,,,,,
S2_op10_2.00_op12_1.50,1,2,50002,104,-132.89950804334447,0.0029585798816568,0.9970414201183432,0.005422599197307,0.6811328185160241,0.3188671814839759,1.0,0.0,0.0,100.0,0.0,2.0,1.5,2.0,1.5,100.0,0.0,0.0,11648.0,0.6666666666666666,402.72040509308533,369.93152692883626,81.08365171571435,0.7796504972664842,310644.560673077,43371.113269230766,7161.201923076923,1.3121679776745423,0.5105190829240028,0.0056432023019721,0.0056432023019721,0.2296567672466323,0.0031152647975077,0.0,0.0,0.0,0.0,539648548.6455914,840574.06331089,158.33113704991504,650.1350359797025,35.79999999999927,47.79999999999927,54.0,243.237999165769,8375.375559673128,75.20114627875978,167.91686128484616,2097.87495551715,8375.375559673128,1749417.42,1754659.7399999998,0.9970123438291232,0.0,0.0,0.0,0.0,0.0,2,2.0,1.5,,,,,,,,,,,,,,,,,,,,,,,
S2_op10_2.00_op12_1.50,1,3,50003,104,-135.17644279218445,0.0029585798816568,0.9970414201183432,0.0053723121767599,0.6787409932223656,0.3212590067776344,1.0,0.0,0.0,100.0,0.0,2.0,1.5,2.0,1.5,100.0,0.0,0.0,11648.0,0.6666666666666666,366.4682087429007,337.0211729910585,79.79655138835315,0.7672745325803187,317277.6321153845,48607.97586538461,6979.8942307692305,1.3117048216735414,0.5262211847610868,0.0055896658230847,0.0055896658230847,0.2246678420350531,0.0031152647975077,0.0,0.0,0.0,0.0,632884705.8575764,985801.7225195894,155.05219547104213,511.8664376601226,24.799999999999272,36.79999999999927,54.0,741.7500523202675,7704.306805463442,74.43738540683626,256.91234712255573,1681.3868742056793,7704.306805463442,1739389.9700000004,1747151.0700000003,0.9955578540784112,0.0,0.0,0.0,0.0,0.0,2,2.0,1.5,,,,,,,,,,,,,,,,,,,,,,,
S2_op10_2.00_op12_1.50,1,4,50004,104,-137.7959966997089,0.0044313146233382,0.9955686853766618,0.0053322732927475,0.6679136682746054,0.3320863317253946,1.0,0.0,0.0,100.0,0.0,2.0,1.5,2.0,1.5,100.0,0.0,0.0,11648.0,0.6666666666666666,316.8993888148153,291.20728104325434,77.39269002439518,0.7441604810037998,308601.80182692327,56393.341153846195,7120.254807692308,1.3934272342437717,0.5250462035561472,0.0055426191129502,0.0055426191129502,0.2250373921069578,0.0046728971962616,0.0,0.0,0.0,0.0,712952934.9718511,1110518.5902988336,171.11466653300448,535.8122226292116,26.799999999999272,50.79999999999927,54.0,383.56247201712176,8834.198486505127,75.42748410587228,202.2541402116483,2248.923391188142,8834.198486505127,1744964.6500000013,1753195.5300000012,0.9953052127619788,0.0,0.0,0.0,0.0,0.0,2,2.0,1.5,,,,,,,,,,,,,,,,,,,,,,,
S2_op10_2.00_op12_1.50,1,5,50005,104,-157.303562379737,0.0029542097488921,0.9970457902511078,0.0049606518591783,0.6240222290648368,0.3759777709351631,0.1284210979938507,0.8333333134651184,0.0,100.0,0.0,2.0,1.5,2.0,1.5,100.0,0.0,0.0,11648.0,0.6666666666666666,409.19391981937946,375.7189542476419,81.48390824498178,0.7834991177402094,316264.18432692304,44601.78817307696,6987.307692307692,1.3036393691908887,0.518183900044176,0.0051343938944766,0.0051343938944766,0.2168512100814212,0.0031152647975077,0.0,0.0,0.0,56767.93000000001,681588999.5486602,1061665.1083312463,199.1354042777554,862.2980534422479,294.527272727272,585.7999999999993,54.0,501.45710331746886,7006.080898430667,78.0,289.0,2071.6452048707106,7006.080898430667,1683136.7299999988,1739904.6599999983,0.9673729651370668,0.0,0.0,0.0,0.0,0.0,2,2.0,1.5,,,,,,,,,,,,,,,,,,,,,,,
S2_op10_2.00_op12_1.50,1,6,50006,104,-157.58051136431698,0.0029542097488921,0.9970457902511078,0.0052470024913702,0.6210902016800466,0.3789097983199535,0.9558714628219604,0.0,0.0,100.0,0.0,2.0,1.5,2.0,1.5,100.0,0.0,0.0,11648.0,0.6666666666666666,272.27145320964723,251.0052622676478,74.66120406731896,0.7178961929549901,306028.41923076933,70256.76201923081,7246.836538461538,1.3829199728330233,0.5400474018945269,0.0054591496934276,0.0054591496934276,0.2219263620574751,0.0031152647975077,0.0,0.0,0.0,17249.52,964845131.1692768,1502874.0360892164,180.93105314815347,719.623041893082,8442.228571428572,17510.8,54.0,431.0586737297877,9959.00946748029,76.46859965192743,199.98640372370028,2108.715067507017,9959.00946748029,1745713.409999999,1765612.1699999988,0.9887298239454252,0.0,0.0,0.0,0.0,0.0,2,2.0,1.5,,,,,,,,,,,,,,,,,,,,,,,
S2_op10_2.00_op12_1.50,1,7,50007,104,-109.52786548261044,0.0044313146233382,0.9955686853766618,0.0053002315103739,0.7378883953292754,0.2621116046707246,1.0,0.0,0.0,100.0,0.0,2.0,1.5,2.0,1.5,100.0,0.0,0.0,11648.0,0.6666666666666666,469.5241020375772,429.5957266441497,83.37641292348741,0.8016962781104559,308478.65019230754,37187.49259615384,7200.701923076923,1.2843107349772624,0.4991751903045643,0.0055249639625335,0.0055249639625335,0.2278616371909562,0.0046728971962616,0.0,0.0,0.0,0.0,454835421.86584026,708466.3891991281,146.48036006337105,434.84993569430026,29.799999999999272,53.79999999999927,54.0,431.2013408379721,5854.014193625961,78.0,195.0,1445.0020138755583,5854.014193625961,1735894.7400000002,1743200.2900000005,0.9958091161171158,0.0,0.0,0.0,0.0,0.0,2,2.0,1.5,,,,,,,,,,,,,,,,,,,,,,,
S2_op10_2.00_op12_1.50,1,8,50008,104,-101.80203353515807,0.0029542097488921,0.9970457902511078,0.0054882381270134,0.7540412969645548,0.2459587030354452,1.0,0.0,0.0,100.0,0.0,2.0,1.5,2.0,1.5,100.0,0.0,0.0,11648.0,0.6666666666666666,351.9129109005253,324.4976176926847,78.73157787356718,0.7570344026304536,312112.1741346154,48143.35201923079,7214.235576923077,1.3904174219593275,0.5187486224166421,0.0057483926001654,0.0057483926001654,0.2342578793634107,0.0031152647975077,0.0,0.0,0.0,0.0,502941409.9620303,783397.8348318229,138.4559056031002,228.0,23.799999999999272,35.79999999999927,54.0,174.88304065296143,8278.60722737984,74.86743650516655,129.34517294020498,1836.8125187766627,8278.60722737984,1739087.3699999994,1744191.3699999994,0.9970737155980768,0.0,0.0,0.0,0.0,0.0,2,2.0,1.5,,,,,,,,,,,,,,,,,,,,,,,
S2_op10_2.00_op12_1.50,1,9,50009,104,-140.24440509114294,0.0029585798816568,0.9970414201183432,0.0052424248729944,0.6615946574675614,0.3384053425324386,1.0,0.0,0.0,100.0,0.0,2.0,1.5,2.0,1.5,100.0,0.0,0.0,11648.0,0.6666666666666666,331.2481688011996,304.598307488234,78.37961621740797,0.7536501559366151,318840.2386538462,55143.41355769233,7046.620192307692,1.2883069554930064,0.5370712294763001,0.0054368272994233,0.0054368272994233,0.2193315742574097,0.0031152647975077,0.0,0.0,0.0,0.0,793265453.4657677,1235615.9711304794,193.2267684963472,953.4639041213112,26.799999999999272,38.79999999999927,54.0,625.4893842267966,7531.148460479057,76.94843409365967,288.0,1992.107010107722,7531.148460479057,1733473.1099999996,1739131.7099999995,0.99674630738577,0.0,0.0,0.0,0.0,0.0,2,2.0,1.5,,,,,,,,,,,,,,,,,,,,,,,
S2_op10_2.00_op12_1.50,1,10,50010,104,-143.31885059926788,0.0029542097488921,0.9970457902511078,0.0052041353882466,0.6498789110896392,0.3501210889103607,0.9182658195495604,0.0833333358168602,0.0,100.0,0.0,2.0,1.5,2.0,1.5,100.0,0.0,0.0,11648.0,0.6666666666666666,328.04491808536125,301.6871370569693,78.0290214531852,0.750279052434473,302559.32932692306,56097.14355769228,7138.908653846154,1.333796755618594,0.5164888166272125,0.0054280265413939,0.0054280265413939,0.2257009761036786,0.0031152647975077,0.0,0.0,0.0,8553.800000000001,813227230.6505678,1266709.0820102305,202.25092478094,739.2651203440696,955.3999999999992,4329.799999999999,54.0,246.8900996453085,11277.176772622017,78.0,152.8862752526993,3301.721235712448,11277.176772622017,1756076.579999998,1769216.979999998,0.9925727595040378,0.0,0.0,0.0,0.0,0.0,2,2.0,1.5,,,,,,,,,,,,,,,,,,,,,,,
