allocation_a,service_rule,mean_ret,ret_ci_low,ret_ci_high,mean_ret_clipped,clipped_ci_low,clipped_ci_high,lost_deg_ci_high,service_deg_ci_high,backlog_deg_ci_high,mean_live_epochs,admissible
0.25,SPT_FULL,0.5917686364374534,0.5418944121092573,0.637713660225623,0.5979594089107827,0.5488552913340602,0.6440293379383102,-0.011078770413330018,-0.011036117119690351,-0.0006755055097550871,167.65,True
0.25,FIFO_PARTIAL,0.5584046612757257,0.5082823035016202,0.606456820918915,0.5584046612757263,0.5082132355020681,0.6062306597322733,-0.4332158077919616,-0.3254618542814331,-0.14583961433964193,411.6333333333333,True
0.25,R24_AGE_PARTIAL,0.5583492287540132,0.5082578825625647,0.6064443213601176,0.5583492287540134,0.5081474263473538,0.6061089177880618,-0.43221035527821394,-0.3254151769542684,-0.1504777254113575,411.31666666666666,True
0.5,SPT_FULL,0.5778796156581465,0.5302436637189452,0.6221754486648697,0.5855182769487226,0.5378365014218786,0.6301243957855048,0.0,0.0,0.0,200.71666666666667,True
0.5,FIFO_PARTIAL,0.48491998698868655,0.4143292777565182,0.5530428525201491,0.4849199869886865,0.4134843840303216,0.5530412603536745,-0.43662895998422485,-0.3246100799600119,-0.14491952459908108,553.7666666666667,True
0.5,R24_AGE_PARTIAL,0.4849772754316961,0.41441332628050637,0.5530782400202985,0.48497727543169605,0.41356179442809915,0.5530723530081043,-0.43688024302636724,-0.3249221417731626,-0.14939425967411923,553.7833333333333,True
0.75,SPT_FULL,0.5895797455579164,0.5392347695882432,0.6362770026529947,0.5963307847987164,0.5464180271248206,0.6429687781230108,4.724491645865918e-05,-0.009499877361963623,-0.004017813442148541,168.0,True
0.75,FIFO_PARTIAL,0.5596754625655027,0.5091805370128174,0.6080875902392726,0.5596754625655032,0.5093656453149585,0.6080369573809259,-0.4344355428454388,-0.32546508084821707,-0.14547340690815685,411.46666666666664,True
0.75,R24_AGE_PARTIAL,0.5597672697516464,0.5093133805981749,0.6080897269609155,0.5597672697516469,0.5094189129778288,0.6080864694737405,-0.4332426376856477,-0.32606758515486123,-0.1501073976191124,410.8,True
