tape_id,family,seed,allocation_a,service_rule,n_orders,n_served,n_lost,n_late,ret_excel,ret_excel_visible,ret_excel_visible_clipped_0_1,ret_excel_full_ledger,ret_excel_contract_version,ret_excel_visible_n,ret_excel_omitted_n,ret_thesis,ret_continuous,ret_excel_cvar05,ret_excel_cvar10,ret_excel_p05,ret_excel_p10,ret_excel_p25,ret_excel_p50,ret_excel_p75,ret_excel_p90,ret_excel_p95,ret_excel_rolling_4w_mean,ret_excel_rolling_4w_min,ret_excel_rolling_4w_final,ret_excel_risk_conditional,ret_excel_risk_conditional_n,ration_ret_excel,excel_case_pct_fill_rate,excel_case_pct_autotomy,excel_case_pct_recovery,excel_case_pct_risk_no_recovery,excel_case_pct_unfulfilled,fill_rate,fill_rate_on_time,lost_orders,lost_rate,backorder_qty_final,service_loss_auc_ration_hours,service_loss_auc_per_order,rpj_mean,rpj_p95,ttr_mean,ttr_p95,backlog_age_mean,backlog_age_max,apj_p50,apj_p90,apj_p99,apj_positive_p50,apj_positive_p90,apj_positive_p99,ctj_p50,ctj_p90,ctj_p99,rpj_p50,rpj_p90,rpj_p99,dpj_p99,delivered_rations,demanded_rations,flow_fill_rate,backlog_auc,risk_sha256,demand_sha256,mass_residual,allocation_live_epochs,allocation_moot_epochs,dispatch_a,dispatch_b
dra1-cal-nominal-830002,nominal,830002,0.25,FIFO_PARTIAL,623.0,501.0,63.0,501.0,0.7699725593953439,0.7699725593953439,0.7699725593953444,0.48506885072141326,ret_excel_visible_v1,501.0,122.0,0.0,1.0,0.6477204133189087,0.6610014932000122,0.6603773584905661,0.6896551724137931,0.715068493150685,0.7993920972644377,0.8033333333333333,0.8066666666666666,0.8181818181818181,0.48065304206802095,0.0,0.2876276314005621,0.0,0,0.4835714662868863,100.0,0.0,0.0,0.0,0.0,0.0032102728731941976,0.0,63.0,0.10112359550561797,145878.0,2697126532.0,4329256.070626004,0.0,0.0,0.0,0.0,3763.0819672131147,10920.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,4342.0,5038.0,0.0,0.0,0.0,0.0,1249618.0,1557996.0,0.802067527772857,1898880192.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,7cf8eab0f8abad274d1cfa6215c9c7189dde3bd29c1f32780c9612f0e530df1d,0.0,411,163,498821.75,751178.25
dra1-cal-nominal-830002,nominal,830002,0.25,R24_AGE_PARTIAL,623.0,501.0,63.0,501.0,0.7699725593953439,0.7699725593953439,0.7699725593953444,0.48506885072141326,ret_excel_visible_v1,501.0,122.0,0.0,1.0,0.6477204133189087,0.6610014932000122,0.6603773584905661,0.6896551724137931,0.715068493150685,0.7993920972644377,0.8033333333333333,0.8066666666666666,0.8181818181818181,0.48065304206802095,0.0,0.2876276314005621,0.0,0,0.4835714662868863,100.0,0.0,0.0,0.0,0.0,0.0032102728731941976,0.0,63.0,0.10112359550561797,145878.0,2697126532.0,4329256.070626004,0.0,0.0,0.0,0.0,3763.0819672131147,10920.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,4342.0,5038.0,0.0,0.0,0.0,0.0,1249618.0,1557996.0,0.802067527772857,1898880192.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,7cf8eab0f8abad274d1cfa6215c9c7189dde3bd29c1f32780c9612f0e530df1d,0.0,411,163,498821.75,751178.25
dra1-cal-nominal-830002,nominal,830002,0.5,SPT_FULL,623.0,458.0,105.0,458.0,0.6791743779578023,0.6791743779578023,0.7093280685153734,0.38358047416442337,ret_excel_visible_v1,458.0,165.0,0.0,1.0,-0.2542987125640101,0.2043126326263485,0.6382978723404256,0.6784810126582279,0.7133333333333334,0.7295719844357977,0.7338129496402878,0.7372093023255815,0.76,0.3755102509497545,0.0,0.49578005164818245,0.0,0,0.3793933082794734,100.0,0.0,0.0,0.0,0.0,0.0032102728731941976,0.0,105.0,0.16853932584269662,148319.0,3768657724.0,6049209.829855538,0.0,0.0,0.0,0.0,7673.309090909091,17136.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,670.0,11206.0,0.0,0.0,0.0,0.0,1133662.0,1557996.0,0.7276411492712433,2189092680.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,7cf8eab0f8abad274d1cfa6215c9c7189dde3bd29c1f32780c9612f0e530df1d,0.0,261,466,570441.0,568090.0
dra1-cal-nominal-830002,nominal,830002,0.5,FIFO_PARTIAL,623.0,501.0,63.0,501.0,0.7703573524806279,0.7703573524806279,0.7703573524806275,0.48683192883289494,ret_excel_visible_v1,501.0,122.0,0.0,1.0,0.7261300464921272,0.7327246057017417,0.7355371900826446,0.7432432432432432,0.7540453074433657,0.7671232876712328,0.7757009345794392,0.7815126050420168,0.803921568627451,0.4868319288328948,0.0,9.769962616701378e-17,0.0,0,0.4848842918096423,100.0,0.0,0.0,0.0,0.0,0.0032102728731941976,0.0,63.0,0.10112359550561797,145231.0,2699934128.0,4333762.645264847,0.0,0.0,0.0,0.0,3019.0819672131147,10320.0,0.0,0.0,0.0,0.0,0.0,0.0,1702.0,2182.0,2302.0,0.0,0.0,0.0,0.0,1248764.0,1557996.0,0.8015193877262843,1901930976.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,7cf8eab0f8abad274d1cfa6215c9c7189dde3bd29c1f32780c9612f0e530df1d,0.0,548,26,634983.0,615017.0
dra1-cal-nominal-830002,nominal,830002,0.5,R24_AGE_PARTIAL,623.0,501.0,63.0,501.0,0.7703573524806279,0.7703573524806279,0.7703573524806275,0.48683192883289494,ret_excel_visible_v1,501.0,122.0,0.0,1.0,0.7261300464921272,0.7327246057017417,0.7355371900826446,0.7432432432432432,0.7540453074433657,0.7671232876712328,0.7757009345794392,0.7815126050420168,0.803921568627451,0.4868319288328948,0.0,9.769962616701378e-17,0.0,0,0.4848842918096423,100.0,0.0,0.0,0.0,0.0,0.0032102728731941976,0.0,63.0,0.10112359550561797,145231.0,2699934128.0,4333762.645264847,0.0,0.0,0.0,0.0,3019.0819672131147,10320.0,0.0,0.0,0.0,0.0,0.0,0.0,1702.0,2182.0,2302.0,0.0,0.0,0.0,0.0,1248764.0,1557996.0,0.8015193877262843,1901930976.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,7cf8eab0f8abad274d1cfa6215c9c7189dde3bd29c1f32780c9612f0e530df1d,0.0,548,26,634983.0,615017.0
dra1-cal-nominal-830002,nominal,830002,0.75,SPT_FULL,623.0,477.0,86.0,477.0,0.7267396655388276,0.7267396655388276,0.7435111540084296,0.42637419129095977,ret_excel_visible_v1,477.0,146.0,0.0,1.0,0.15273338889769975,0.42553443823020426,0.6666666666666667,0.7142857142857143,0.7419354838709677,0.7594202898550725,0.7688311688311689,0.7727272727272727,0.775462962962963,0.4183568421922725,0.0,0.5471205200526174,0.0,0,0.4227372317727704,100.0,0.0,0.0,0.0,0.0,0.0032102728731941976,0.0,86.0,0.13804173354735153,147745.0,3306755332.0,5307793.470304976,0.0,0.0,0.0,0.0,7915.890410958904,17304.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,574.0,4390.0,0.0,0.0,0.0,0.0,1183054.0,1557996.0,0.7593434129484287,2137939080.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,7cf8eab0f8abad274d1cfa6215c9c7189dde3bd29c1f32780c9612f0e530df1d,0.0,232,495,703649.0,484274.0
dra1-cal-nominal-830002,nominal,830002,0.75,FIFO_PARTIAL,623.0,500.0,63.0,500.0,0.7698898431378629,0.7698898431378629,0.7698898431378635,0.4828239915346724,ret_excel_visible_v1,500.0,123.0,0.0,1.0,0.6732511469395692,0.6802995931021464,0.6811594202898551,0.6933797909407666,0.7181008902077151,0.7986577181208054,0.8027397260273973,0.8070175438596492,0.8157894736842105,0.47537297675272233,0.0,0.41575629013496673,0.0,0,0.48132769093927885,100.0,0.0,0.0,0.0,0.0,0.0032102728731941976,0.0,63.0,0.10112359550561797,145613.0,2696003250.0,4327453.04975923,0.0,0.0,0.0,0.0,3716.682926829268,11832.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,4342.0,4606.0,0.0,0.0,0.0,0.0,1247103.0,1557996.0,0.8004532745912056,1894066464.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,7cf8eab0f8abad274d1cfa6215c9c7189dde3bd29c1f32780c9612f0e530df1d,0.0,400,173,751646.0,498354.0
dra1-cal-nominal-830002,nominal,830002,0.75,R24_AGE_PARTIAL,623.0,500.0,63.0,500.0,0.7698898431378629,0.7698898431378629,0.7698898431378635,0.4828239915346724,ret_excel_visible_v1,500.0,123.0,0.0,1.0,0.6732511469395692,0.6802995931021464,0.6811594202898551,0.6933797909407666,0.7181008902077151,0.7986577181208054,0.8027397260273973,0.8070175438596492,0.8157894736842105,0.47537297675272233,0.0,0.41575629013496673,0.0,0,0.48132769093927885,100.0,0.0,0.0,0.0,0.0,0.0032102728731941976,0.0,63.0,0.10112359550561797,145613.0,2696003250.0,4327453.04975923,0.0,0.0,0.0,0.0,3716.682926829268,11832.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,4342.0,4606.0,0.0,0.0,0.0,0.0,1247103.0,1557996.0,0.8004532745912056,1894066464.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,7cf8eab0f8abad274d1cfa6215c9c7189dde3bd29c1f32780c9612f0e530df1d,0.0,400,173,751646.0,498354.0
dra1-cal-nominal-830003,nominal,830003,0.25,SPT_FULL,623.0,475.0,87.0,475.0,0.7021055073753025,0.7021055073753025,0.7169987118660304,0.42449131529231615,ret_excel_visible_v1,475.0,148.0,0.0,1.0,0.069405123239395,0.34204315913827643,0.5812807881773399,0.6405228758169934,0.725,0.7482993197278911,0.7571157495256167,0.7639639639639639,0.7660311958405546,0.41930405386489494,0.0,0.3355064042249015,0.0,0,0.4209204143577786,100.0,0.0,0.0,0.0,0.0,0.0032102728731941976,0.0,87.0,0.13964686998394862,150004.0,3456096384.0,5547506.2343499195,0.0,0.0,0.0,0.0,8185.459459459459,17448.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,622.0,5014.0,0.0,0.0,0.0,0.0,1177596.0,1557381.0,0.7561386712692655,2160762600.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,a2bde5f35e69c828e54088deec78679b8e03ce7ef66457b99ca2719ca07a02d1,0.0,233,494,499440.0,683110.0
dra1-cal-nominal-830003,nominal,830003,0.25,FIFO_PARTIAL,623.0,500.0,63.0,500.0,0.7664457328185552,0.7664457328185552,0.7664457328185562,0.4818119009151703,ret_excel_visible_v1,500.0,123.0,0.0,1.0,0.6686225392166897,0.6724619895870328,0.6733067729083666,0.6795774647887324,0.7222222222222222,0.7985436893203883,0.8027923211169284,0.8060453400503779,0.8102564102564103,0.4761079043491528,0.0,0.320144257327832,0.0,0,0.4807499311475837,100.0,0.0,0.0,0.0,0.0,0.0032102728731941976,0.0,63.0,0.10112359550561797,145388.0,2697317486.0,4329562.577849117,0.0,0.0,0.0,0.0,3918.439024390244,10728.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,4414.0,4966.0,0.0,0.0,0.0,0.0,1247657.0,1557381.0,0.8011250939879194,1894970352.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,a2bde5f35e69c828e54088deec78679b8e03ce7ef66457b99ca2719ca07a02d1,0.0,403,168,505715.25,744284.75
