seed,algo,reward_mode,reward_family,w_bo,w_cost,w_disr,episode_index,timesteps,progress_fraction,episode_reward,episode_length,time_elapsed_seconds
11,ppo,ReT_seq_v1,resilience_index,4.0,0.02,0.0,1,260,1.0,129.40037,260,1.348455
11,ppo,ReT_seq_v1,resilience_index,4.0,0.02,0.0,2,520,1.0,128.672656,260,2.163599
11,ppo,ReT_seq_v1,resilience_index,4.0,0.02,0.0,3,780,1.0,136.793718,260,3.00364
