phase,policy,algo,reward_mode,reward_family,frame_stack,observation_version,w_bo,w_cost,w_disr,seed_count,reward_total_mean,reward_total_std,reward_total_ci95_low,reward_total_ci95_high,service_loss_total_mean,service_loss_total_std,service_loss_total_ci95_low,service_loss_total_ci95_high,shift_cost_total_mean,shift_cost_total_std,shift_cost_total_ci95_low,shift_cost_total_ci95_high,mean_disruption_fraction_mean,mean_disruption_fraction_std,mean_disruption_fraction_ci95_low,mean_disruption_fraction_ci95_high,fill_rate_mean,fill_rate_std,fill_rate_ci95_low,fill_rate_ci95_high,backorder_rate_mean,backorder_rate_std,backorder_rate_ci95_low,backorder_rate_ci95_high,ret_thesis_corrected_total_mean,ret_thesis_corrected_total_std,ret_thesis_corrected_total_ci95_low,ret_thesis_corrected_total_ci95_high,ret_garrido2024_raw_total_mean,ret_garrido2024_raw_total_std,ret_garrido2024_raw_total_ci95_low,ret_garrido2024_raw_total_ci95_high,ret_garrido2024_train_total_mean,ret_garrido2024_train_total_std,ret_garrido2024_train_total_ci95_low,ret_garrido2024_train_total_ci95_high,ret_garrido2024_sigmoid_total_mean,ret_garrido2024_sigmoid_total_std,ret_garrido2024_sigmoid_total_ci95_low,ret_garrido2024_sigmoid_total_ci95_high,order_level_ret_mean_mean,order_level_ret_mean_std,order_level_ret_mean_ci95_low,order_level_ret_mean_ci95_high,pct_steps_S1_mean,pct_steps_S1_std,pct_steps_S1_ci95_low,pct_steps_S1_ci95_high,pct_steps_S2_mean,pct_steps_S2_std,pct_steps_S2_ci95_low,pct_steps_S2_ci95_high,pct_steps_S3_mean,pct_steps_S3_std,pct_steps_S3_ci95_low,pct_steps_S3_ci95_high
cross_eval_severe,garrido_cf_s1,ppo,ReT_seq_v1,resilience_index,1,v1,1.0,0.02,0.0,5,66.54214969907703,1.1037406783201886,65.5746783380648,67.50962106008926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30493790380011576,0.003046147927973158,0.30226783741622026,0.30760797018401126,0.6950620961998842,0.0030461479279731743,0.6923920298159887,0.6977321625837798,229.5819910656803,0.17309215863031235,229.43026909911706,229.73371303224357,376.77374269037557,1.3815494147547842,375.56276123535423,377.9847241453969,259.3298044069926,0.3536140155210835,259.0198480562039,259.6397607577813,153.74799305846958,0.24001600561922345,153.53760975360257,153.95837636333658,0.13809497568546875,0.0015347216922462124,0.13674973280954958,0.1394402185613879,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cross_eval_severe,garrido_cf_s2,ppo,ReT_seq_v1,resilience_index,1,v1,1.0,0.02,0.0,5,87.73293056946764,1.4820780061954606,86.43383191890196,89.03202922003332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49445331303769124,0.00743772507558771,0.48793385956183943,0.500972766513543,0.5055466869623088,0.007437725075587721,0.49902723348645694,0.5120661404381606,229.47103261160822,0.1597218799740173,229.33103021101076,229.6110350122057,337.4629810020104,5.90403637023766,332.28786494914124,342.63809705487955,279.7543911212954,5.48825193384483,274.9437261958205,284.5650560467703,146.42541860359535,1.0905472438709016,145.46951179776696,147.38132540942374,0.16288450925208858,0.004008171275698736,0.1593711922244222,0.16639782627975497,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
cross_eval_severe,garrido_cf_s3,ppo,ReT_seq_v1,resilience_index,1,v1,1.0,0.02,0.0,5,87.98118118949968,0.9554626040198639,87.1436812911411,88.81868108785825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49993495784063224,0.0038777675379863376,0.4965359447288075,0.503333970952457,0.5000650421593676,0.0038777675379863255,0.4966660290475429,0.5034640552711924,229.6065201621981,0.07172653301001303,229.5436490839866,229.66939124040962,307.18515392613136,3.698495102002991,303.9432800328201,310.4270278194426,289.7304430766936,4.825407625292713,285.50078680472785,293.9600993486593,140.00115163447302,0.7988888688213778,139.30089466614925,140.7014086027968,0.16705263204471227,0.0015367670882883197,0.16570559630011342,0.16839966778931112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0
cross_eval_severe,heuristic_disruption,ppo,ReT_seq_v1,resilience_index,1,v1,1.0,0.02,0.0,5,86.59804312044498,1.087053065980206,85.64519909657791,87.55088714431206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49106316309787224,0.0074865295548594635,0.4845009306097833,0.4976253955859612,0.5089368369021277,0.007486529554859461,0.5023746044140387,0.5154990693902166,229.17457408905526,0.4265076671596446,228.8007236354713,229.54842454263922,332.30764414270914,3.1593869682913303,329.5383193636052,335.0769689218131,287.9711441030855,2.139087810287167,286.09615096765737,289.8461372385137,145.3435354292379,0.5896772755282763,144.8266605078736,145.8604103506022,0.1637333220927351,0.0027777140395090416,0.16129854838629118,0.16616809579917904,0.0,0.0,0.0,0.0,60.226923076923086,0.8446665250035343,59.48654022377833,60.967305930067845,39.773076923076914,0.8446665250035371,39.03269406993215,40.51345977622168
cross_eval_severe,heuristic_hysteresis,ppo,ReT_seq_v1,resilience_index,1,v1,1.0,0.02,0.0,5,85.88293079479021,0.5972595371340981,85.35940972809539,86.40645186148504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49326798868680133,0.004265704351313043,0.4895289339654319,0.49700704340817076,0.5067320113131987,0.004265704351313042,0.5029929565918293,0.510471066034568,229.30816415014232,0.24956277537982452,229.08941273262442,229.5269155676602,314.9912106702667,3.087829005104879,312.28460921140913,317.69781212912426,293.18207639815347,3.638928695590285,289.9924147621366,296.37173803417033,141.7393409685573,0.6417890071133459,141.17678810048722,142.30189383662736,0.16276121228450027,0.0021765095473112663,0.1608534175503259,0.16466900701867465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0
cross_eval_severe,heuristic_tuned,ppo,ReT_seq_v1,resilience_index,1,v1,1.0,0.02,0.0,5,85.88293079479021,0.5972595371340981,85.35940972809539,86.40645186148504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49326798868680133,0.004265704351313043,0.4895289339654319,0.49700704340817076,0.5067320113131987,0.004265704351313042,0.5029929565918293,0.510471066034568,229.30816415014232,0.24956277537982452,229.08941273262442,229.5269155676602,314.9912106702667,3.087829005104879,312.28460921140913,317.69781212912426,293.18207639815347,3.638928695590285,289.9924147621366,296.37173803417033,141.7393409685573,0.6417890071133459,141.17678810048722,142.30189383662736,0.16276121228450027,0.0021765095473112663,0.1608534175503259,0.16466900701867465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0
cross_eval_severe,ppo,ppo,ReT_seq_v1,resilience_index,1,v1,1.0,0.02,0.0,5,87.62007828505243,0.8726909433569835,86.85513094615614,88.38502562394872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4937846098492643,0.006139139012507989,0.4884034172443911,0.4991658024541375,0.5062153901507357,0.006139139012507973,0.5008341975458624,0.5115965827556089,229.28915131000377,0.11907175323408196,229.18478031650662,229.39352230350093,345.44258044121926,19.92492475219207,327.9776138537712,362.90754702866735,284.12214882584465,2.1922816951369954,282.20052919455196,286.04376845713733,147.88284565889248,3.866311904941627,144.49387385215934,151.27181746562562,0.16407205123611657,0.0036660929871473245,0.16085857904872666,0.16728552342350647,42.419230769230765,18.480591130175196,26.220278420901813,58.61818311755972,29.51538461538462,4.898722813866958,25.221464747208277,33.809304483560965,28.06538461538462,13.903524307371875,15.878408227967778,40.252361002801464
cross_eval_severe,random,ppo,ReT_seq_v1,resilience_index,1,v1,1.0,0.02,0.0,5,87.58573843201542,0.789408954747031,86.89379097474975,88.27768588928109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48899827725032347,0.0019309377292412013,0.48730573570534574,0.4906908187953012,0.5110017227496766,0.0019309377292411971,0.5093091812046988,0.5126942642946544,229.29303049984992,0.1937466460342113,229.12320407683944,229.4628569228604,345.00346019566905,2.171528671114334,343.10003139197806,346.90688899936004,284.72704727593145,1.6594722889351894,283.2724556807556,286.1816388711073,147.8636853779542,0.41262382146655874,147.5020046516917,148.2253661042167,0.16622674672924317,0.002353389948699485,0.16416390948732332,0.16828958397116303,33.91153846153846,0.6419448537579163,33.34884898786139,34.47422793521554,32.642307692307696,0.6396363149357749,32.08164174212674,33.20297364248865,33.44615384615385,0.7657855540508084,32.77491321257623,34.117394479731466
cross_eval_severe,static_s1,ppo,ReT_seq_v1,resilience_index,1,v1,1.0,0.02,0.0,5,65.77347141765951,0.30206745644539174,65.50869761802979,66.03824521728923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30405055421748656,0.002495457639466329,0.30186318915409394,0.3062379192808792,0.6959494457825135,0.002495457639466331,0.6937620807191209,0.6981368108459061,229.1861808345904,0.053746204597024595,229.13907020912188,229.23329146005892,376.287214371947,2.70208267021158,373.91873448363145,378.6556942602626,258.8504188637096,1.0294194617240522,257.9480929213493,259.75274480606987,153.6551133910625,0.4519441464294172,153.25896688035039,154.05125990177464,0.13719505359164313,0.0011668270137558997,0.13617228461951256,0.1382178225637737,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cross_eval_severe,static_s2,ppo,ReT_seq_v1,resilience_index,1,v1,1.0,0.02,0.0,5,88.59009846460962,0.33179317048792206,88.29926892780661,88.88092800141264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49902953063607514,0.007845263395545336,0.4921528540725737,0.5059062071995766,0.5009704693639249,0.007845263395545374,0.49409379280042337,0.5078471459274263,229.49549836292604,0.16717701290186865,229.34896125019745,229.64203547565464,344.56902712328457,2.0927852333714103,342.7346199859871,346.40343426058206,284.2034890474537,2.484218830108918,282.02597523481114,286.3810028600962,147.78563805756914,0.3788118550164872,147.45359482663727,148.11768128850102,0.16315567110723578,0.0007204026505255801,0.16252421034251927,0.1637871318719523,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
