phase,policy,algo,reward_mode,reward_family,frame_stack,observation_version,w_bo,w_cost,w_disr,seed_count,reward_total_mean,reward_total_std,reward_total_ci95_low,reward_total_ci95_high,service_loss_total_mean,service_loss_total_std,service_loss_total_ci95_low,service_loss_total_ci95_high,shift_cost_total_mean,shift_cost_total_std,shift_cost_total_ci95_low,shift_cost_total_ci95_high,mean_disruption_fraction_mean,mean_disruption_fraction_std,mean_disruption_fraction_ci95_low,mean_disruption_fraction_ci95_high,fill_rate_mean,fill_rate_std,fill_rate_ci95_low,fill_rate_ci95_high,backorder_rate_mean,backorder_rate_std,backorder_rate_ci95_low,backorder_rate_ci95_high,ret_thesis_corrected_total_mean,ret_thesis_corrected_total_std,ret_thesis_corrected_total_ci95_low,ret_thesis_corrected_total_ci95_high,order_level_ret_mean_mean,order_level_ret_mean_std,order_level_ret_mean_ci95_low,order_level_ret_mean_ci95_high,pct_steps_S1_mean,pct_steps_S1_std,pct_steps_S1_ci95_low,pct_steps_S1_ci95_high,pct_steps_S2_mean,pct_steps_S2_std,pct_steps_S2_ci95_low,pct_steps_S2_ci95_high,pct_steps_S3_mean,pct_steps_S3_std,pct_steps_S3_ci95_low,pct_steps_S3_ci95_high
heuristic_eval,heuristic_disruption,ppo,ReT_seq_v1,resilience_index,1,v1,4.0,0.02,0.0,1,127.97856478746407,0.0,127.97856478746407,127.97856478746407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7869729389553178,0.0,0.7869729389553178,0.7869729389553178,0.21302706104468216,0.0,0.21302706104468216,0.21302706104468216,241.85945208844282,0.0,241.85945208844282,241.85945208844282,0.18606852782736832,0.0,0.18606852782736832,0.18606852782736832,0.0,0.0,0.0,0.0,75.38461538461539,0.0,75.38461538461539,75.38461538461539,24.615384615384613,0.0,24.615384615384613,24.615384615384613
heuristic_eval,heuristic_hysteresis,ppo,ReT_seq_v1,resilience_index,1,v1,4.0,0.02,0.0,1,133.7096856719271,0.0,133.7096856719271,133.7096856719271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8042794210195091,0.0,0.8042794210195091,0.8042794210195091,0.1957205789804909,0.0,0.1957205789804909,0.1957205789804909,242.98082269028083,0.0,242.98082269028083,242.98082269028083,0.20678751375379076,0.0,0.20678751375379076,0.20678751375379076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0
heuristic_eval,heuristic_tuned,ppo,ReT_seq_v1,resilience_index,1,v1,4.0,0.02,0.0,1,133.7096856719271,0.0,133.7096856719271,133.7096856719271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8042794210195091,0.0,0.8042794210195091,0.8042794210195091,0.1957205789804909,0.0,0.1957205789804909,0.1957205789804909,242.98082269028083,0.0,242.98082269028083,242.98082269028083,0.20678751375379076,0.0,0.20678751375379076,0.20678751375379076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0
ppo_eval,ppo,ppo,ReT_seq_v1,resilience_index,1,v1,4.0,0.02,0.0,1,133.27747714263901,0.0,133.27747714263901,133.27747714263901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7948395217117684,0.0,0.7948395217117684,0.7948395217117684,0.20516047828823158,0.0,0.20516047828823158,0.20516047828823158,243.11887755272173,0.0,243.11887755272173,243.11887755272173,0.19806329184959515,0.0,0.19806329184959515,0.19806329184959515,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
random_eval,random,ppo,ReT_seq_v1,resilience_index,1,v1,4.0,0.02,0.0,1,126.10286601922462,0.0,126.10286601922462,126.10286601922462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.777218376337319,0.0,0.777218376337319,0.777218376337319,0.22278162366268095,0.0,0.22278162366268095,0.22278162366268095,241.86119626817043,0.0,241.86119626817043,241.86119626817043,0.19297698768416477,0.0,0.19297698768416477,0.19297698768416477,34.03846153846153,0.0,34.03846153846153,34.03846153846153,32.30769230769231,0.0,32.30769230769231,32.30769230769231,33.65384615384615,0.0,33.65384615384615,33.65384615384615
static_screen,static_s1,ppo,ReT_seq_v1,resilience_index,1,v1,4.0,0.02,0.0,1,94.3208245640289,0.0,94.3208245640289,94.3208245640289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6129641283826306,0.0,0.6129641283826306,0.6129641283826306,0.3870358716173694,0.0,0.3870358716173694,0.3870358716173694,242.23845766972613,0.0,242.23845766972613,242.23845766972613,0.1443066319555822,0.0,0.1443066319555822,0.1443066319555822,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static_screen,static_s2,ppo,ReT_seq_v1,resilience_index,1,v1,4.0,0.02,0.0,1,134.4198490240862,0.0,134.4198490240862,134.4198490240862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7957835116425425,0.0,0.7957835116425425,0.7957835116425425,0.20421648835745754,0.0,0.20421648835745754,0.20421648835745754,241.1030269909457,0.0,241.1030269909457,241.1030269909457,0.1940905715111197,0.0,0.1940905715111197,0.1940905715111197,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
static_screen,static_s3,ppo,ReT_seq_v1,resilience_index,1,v1,4.0,0.02,0.0,1,133.7096856719271,0.0,133.7096856719271,133.7096856719271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8042794210195091,0.0,0.8042794210195091,0.8042794210195091,0.1957205789804909,0.0,0.1957205789804909,0.1957205789804909,242.98082269028083,0.0,242.98082269028083,242.98082269028083,0.20678751375379076,0.0,0.20678751375379076,0.20678751375379076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0
