policy_id,inventory_threshold,maximum_wait_hours,mean_ret,ret_ci_low,ret_ci_high,mean_service_loss,mean_departures,mean_vehicle_hours,mean_load_factor,mean_dispatch_feasible_fraction,strong_live_fraction,mean_unavailable_hours,lost_deg_ci_high,service_deg_ci_high,backlog_deg_ci_high,admissible,pareto_nondominated
threshold_1000__wait_24h,1000.0,24.0,0.628957350250657,0.5743556845101537,0.6837357084547209,64864537.233333334,54.18333333333333,2623.95,0.6926859350997393,0.4839285714285713,,2623.95,0.0,-0.01458781170845806,-0.01578514950170903,True,False
threshold_1000__wait_48h,1000.0,48.0,0.6289059479258968,0.5738287484495671,0.6839238141626297,64849420.06666667,53.21666666666667,2559.55,0.7119271478529772,0.49166666666666664,,2559.55,0.0,-0.01460149353089764,-0.015065481615365646,True,False
threshold_1000__wait_72h,1000.0,72.0,0.6289369556144409,0.5739502147076135,0.6839540344921482,64846221.666666664,53.18333333333333,2557.95,0.7124083436314304,0.49211309523809527,,2557.95,0.0,-0.014614711344609836,-0.015089454829839649,True,True
threshold_2500__wait_24h,2500.0,24.0,0.6289293128365399,0.574216527681707,0.6837232672106436,64884509.06666667,54.11666666666667,2619.55,0.693994126626052,0.4848214285714284,,2619.55,0.0,-0.014421084796589236,-0.015537188245023854,True,False
threshold_2500__wait_48h,2500.0,48.0,0.6290654950373115,0.5744099592196689,0.6839239426505324,64858882.233333334,53.03333333333333,2551.15,0.7144451209409569,0.49270833333333325,,2551.15,0.0,-0.014470028682639946,-0.014960646661163835,True,True
threshold_2500__wait_72h,2500.0,72.0,0.6288609595056156,0.5741942285702187,0.6837839548986291,64866244.233333334,52.95,2547.15,0.7156276853268688,0.49389880952380955,,2547.15,0.0,-0.014293557173840132,-0.014748226335143997,True,True
threshold_5000__wait_24h,5000.0,24.0,0.6265699171336442,0.571997022267329,0.6814987769799759,65523348.53333333,49.166666666666664,2364.85,0.7712304942084349,0.5279761904761904,,2364.85,0.0,-0.00500834741310295,-0.005241462374639103,True,True
threshold_5000__wait_48h,5000.0,48.0,0.6239540927123192,0.568900028984807,0.6789796755705672,65898326.56666667,48.1,2334.85,0.7788437393573437,0.5315476190476189,,2334.85,0.0,0.0,0.0,True,True
threshold_5000__wait_72h,5000.0,72.0,0.6198425379543171,0.5644168567679498,0.6750821091305048,66117953.333333336,47.86666666666667,2321.55,0.7831913083369282,0.5483630952380952,,2321.55,0.0,0.00434780897492819,0.004577557259258186,True,True
