state_id,family,category,allocation_a,service_rule,delta_ret,delta_clipped,short_delta_ret,lost_degradation,service_degradation,backlog_degradation
dra1-cal-r24_mixed-830046,r24_mixed,localized_r24_both_up,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-r24_mixed-830047,r24_mixed,localized_r24_both_up,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-r24_mixed-830048,r24_mixed,localized_r24_both_up,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-r24_mixed-830049,r24_mixed,localized_r24_both_up,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-r24_mixed-830050,r24_mixed,localized_r24_both_up,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-r24_mixed-830051,r24_mixed,localized_r24_both_up,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-r24_mixed-830052,r24_mixed,localized_r24_both_up,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-r24_mixed-830053,r24_mixed,localized_r24_both_up,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-r24_mixed-830054,r24_mixed,localized_r24_both_up,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-r24_mixed-830055,r24_mixed,localized_r24_both_up,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-r24_mixed-830056,r24_mixed,localized_r24_both_up,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-r24_mixed-830057,r24_mixed,localized_r24_both_up,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-r24_mixed-830058,r24_mixed,localized_r24_both_up,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-r24_mixed-830059,r24_mixed,localized_r24_both_up,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-r24_mixed-830060,r24_mixed,localized_r24_both_up,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
