tape_id,family,relative_time,category,imbalance,prefix_hash,sb_inventory,allocation_a,service_rule_spt_full,service_rule_fifo_partial,service_rule_r24_age_partial,day_phase,cssu_A_inventory,cssu_A_inbound,cssu_A_outbound,cssu_A_backlog_qty,cssu_A_backlog_count,cssu_A_max_age,cssu_A_r24_share,cssu_A_demand_1d,cssu_A_demand_7d,cssu_A_delivered_7d,cssu_A_op10_up,cssu_A_op11_up,cssu_A_op12_up,cssu_B_inventory,cssu_B_inbound,cssu_B_outbound,cssu_B_backlog_qty,cssu_B_backlog_count,cssu_B_max_age,cssu_B_r24_share,cssu_B_demand_1d,cssu_B_demand_7d,cssu_B_delivered_7d,cssu_B_op10_up,cssu_B_op11_up,cssu_B_op12_up
dra1-cal-nominal-830013,nominal,16608.0,joint_scarcity,139921.0,5ca3f37d627decab9bc72b42039e03be1e63ba2586e2fafb9de8e19ca5ae1dca,101756.0,0.25,1.0,0.0,0.0,0.47619047619047616,0.0,0.0,2500.0,145025.0,57.0,16176.0,0.0,0.0,7548.0,4928.0,1.0,1.0,1.0,0.0,2445.0,0.0,5104.0,2.0,9552.0,0.0,2445.0,7403.0,7406.0,1.0,1.0,1.0
dra1-cal-nominal-830014,nominal,16344.0,joint_scarcity,134966.0,6a5797af264605896ac67022b1f4e3b171ec614e5bb5d1138b69a730ed8ffcf7,117197.0,0.25,1.0,0.0,0.0,0.9047619047619048,0.0,0.0,0.0,142664.0,56.0,15864.0,0.0,2421.0,4886.0,2531.0,1.0,1.0,1.0,0.0,2501.0,2458.0,7698.0,3.0,12816.0,0.0,0.0,9775.0,7317.0,1.0,1.0,1.0
dra1-cal-nominal-830015,nominal,15984.0,joint_scarcity,99440.0,1b7ccfcaf54fc107e3f358b3229a0b404820e654d1836038bbc72289a3b8d03d,85682.0,0.25,1.0,0.0,0.0,0.7619047619047619,0.0,0.0,0.0,125103.0,49.0,15648.0,0.0,0.0,5048.0,5013.0,1.0,1.0,1.0,0.0,2518.0,2480.0,25663.0,10.0,13104.0,0.0,2563.0,9916.0,4873.0,1.0,1.0,1.0
dra1-cal-r22_localized-830016,r22_localized,10152.0,post_hit_recovery,86448.0,f6d51a898cbd5d9f7f388b6006c588dfab4739ed3675f20720a84990bf294460,46971.0,0.25,1.0,0.0,0.0,0.047619047619047616,0.0,0.0,2473.0,117169.0,46.0,9816.0,0.0,0.0,5065.0,2494.0,1.0,1.0,1.0,0.0,2529.0,0.0,30721.0,12.0,8064.0,0.0,0.0,9999.0,7405.0,1.0,1.0,1.0
dra1-cal-r22_localized-830017,r22_localized,12672.0,post_hit_recovery,83813.0,2870506c4a2007bf9cabc04035274b375e8f9306b1fb25a84061ad3e6e04e934,93697.0,0.25,1.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,117212.0,46.0,11856.0,0.0,0.0,7620.0,4953.0,1.0,1.0,1.0,0.0,2560.0,0.0,33399.0,13.0,7536.0,0.0,0.0,7421.0,9964.0,1.0,1.0,1.0
dra1-cal-r22_localized-830018,r22_localized,11976.0,post_hit_recovery,129985.0,8200ed82fb60d69dbd61249f841f3783b1472b7b714887608d521f1f4b780740,82562.0,0.25,1.0,0.0,0.0,0.9047619047619048,0.0,0.0,0.0,140278.0,55.0,11856.0,0.0,2535.0,5115.0,2514.0,1.0,1.0,1.0,0.0,2570.0,2563.0,10293.0,4.0,9096.0,0.0,0.0,10082.0,9810.0,1.0,1.0,1.0
dra1-cal-r22_localized-830019,r22_localized,15960.0,post_hit_recovery,94092.0,6b484e1fac0ef2b2be7d75132f4aee6fcc995595b0cc2f44aecd41fb92fa55ea,113336.0,0.25,1.0,0.0,0.0,0.6190476190476191,0.0,0.0,0.0,122211.0,48.0,12984.0,0.0,2522.0,10047.0,7297.0,1.0,1.0,1.0,0.0,2524.0,0.0,28119.0,11.0,2736.0,0.0,0.0,5100.0,7544.0,1.0,1.0,1.0
dra1-cal-r22_localized-830020,r22_localized,12936.0,post_hit_recovery,94423.0,a1f6ec4681ee5fd920498b7fc49cfa8dac128c2b9ef721602b42e1ac7e920085,73273.0,0.25,1.0,0.0,0.0,0.6190476190476191,0.0,0.0,0.0,122599.0,48.0,12768.0,0.0,2568.0,10137.0,4980.0,1.0,1.0,1.0,0.0,2499.0,0.0,28176.0,11.0,11856.0,0.0,0.0,5025.0,2520.0,1.0,1.0,1.0
dra1-cal-r22_localized-830021,r22_localized,9672.0,post_hit_recovery,68830.0,7a12857c5d5a288cee6493e0f1cd4a5de6ea445cfc643c27a06c5a17d1848694,78049.0,0.25,1.0,0.0,0.0,0.19047619047619047,0.0,0.0,2497.0,109902.0,43.0,9336.0,0.0,2553.0,9941.0,7318.0,1.0,1.0,1.0,0.0,2534.0,0.0,41072.0,16.0,8928.0,0.0,0.0,5040.0,2506.0,1.0,1.0,1.0
dra1-cal-r22_localized-830022,r22_localized,15744.0,post_hit_recovery,86182.0,c938b25e432512516216a81f81055f40bcc120809a7a798d973a951ef1a7fc63,78391.0,0.25,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,2480.0,116946.0,46.0,15288.0,0.0,2408.0,7368.0,2447.0,1.0,1.0,1.0,0.0,2514.0,0.0,30764.0,12.0,14376.0,0.0,0.0,7550.0,10122.0,1.0,1.0,1.0
