state_id,tape_id,family,category,allocation_a,service_rule,short_ret,short_clipped,long_ret,long_clipped,long_lost,long_service,long_backlog,mass_residual,prefix_hash,pulse_dispatch_a,pulse_dispatch_b
dra1-cal-nominal-830002,dra1-cal-nominal-830002,nominal,joint_scarcity,0.75,R24_AGE_PARTIAL,0.9981851179673321,0.9981851179673321,0.9924695702338099,0.9924695702338097,4.0,8477248.0,150647.0,0.0,e10a33a6367be458218c26ee773298925d95e9ced5900c65a9310109979f13e6,1842.0,3050.0
dra1-cal-nominal-830003,dra1-cal-nominal-830003,nominal,joint_scarcity,0.25,SPT_FULL,1.0,0.0,0.9858235108240305,0.9858235108240305,3.0,9542806.0,153350.0,0.0,9c26cdd39846b60e690bb42c8fc75d929ef11efc8ebae76d827313213e44d7b3,2420.0,0.0
dra1-cal-nominal-830003,dra1-cal-nominal-830003,nominal,joint_scarcity,0.25,FIFO_PARTIAL,1.0,0.0,0.9824022628608312,0.9824022628608313,3.0,10989388.0,153326.0,0.0,9c26cdd39846b60e690bb42c8fc75d929ef11efc8ebae76d827313213e44d7b3,3025.0,1815.0
dra1-cal-nominal-830003,dra1-cal-nominal-830003,nominal,joint_scarcity,0.25,R24_AGE_PARTIAL,1.0,0.0,0.9824022628608312,0.9824022628608313,3.0,10989388.0,153326.0,0.0,9c26cdd39846b60e690bb42c8fc75d929ef11efc8ebae76d827313213e44d7b3,3025.0,1815.0
dra1-cal-nominal-830003,dra1-cal-nominal-830003,nominal,joint_scarcity,0.5,SPT_FULL,1.0,0.0,0.9858235108240305,0.9858235108240305,3.0,9542806.0,153350.0,0.0,9c26cdd39846b60e690bb42c8fc75d929ef11efc8ebae76d827313213e44d7b3,2420.0,0.0
dra1-cal-nominal-830003,dra1-cal-nominal-830003,nominal,joint_scarcity,0.5,FIFO_PARTIAL,1.0,0.0,0.9824022628608312,0.9824022628608313,3.0,10989388.0,153326.0,0.0,9c26cdd39846b60e690bb42c8fc75d929ef11efc8ebae76d827313213e44d7b3,3630.0,1210.0
dra1-cal-nominal-830003,dra1-cal-nominal-830003,nominal,joint_scarcity,0.5,R24_AGE_PARTIAL,1.0,0.0,0.9824022628608312,0.9824022628608313,3.0,10989388.0,153326.0,0.0,9c26cdd39846b60e690bb42c8fc75d929ef11efc8ebae76d827313213e44d7b3,3630.0,1210.0
dra1-cal-nominal-830003,dra1-cal-nominal-830003,nominal,joint_scarcity,0.75,SPT_FULL,1.0,0.0,0.9858235108240305,0.9858235108240305,3.0,9542806.0,153350.0,0.0,9c26cdd39846b60e690bb42c8fc75d929ef11efc8ebae76d827313213e44d7b3,2420.0,0.0
dra1-cal-nominal-830003,dra1-cal-nominal-830003,nominal,joint_scarcity,0.75,FIFO_PARTIAL,1.0,0.0,0.9824022628608312,0.9824022628608313,3.0,10989388.0,153326.0,0.0,9c26cdd39846b60e690bb42c8fc75d929ef11efc8ebae76d827313213e44d7b3,4235.0,605.0
dra1-cal-nominal-830003,dra1-cal-nominal-830003,nominal,joint_scarcity,0.75,R24_AGE_PARTIAL,1.0,0.0,0.9824022628608312,0.9824022628608313,3.0,10989388.0,153326.0,0.0,9c26cdd39846b60e690bb42c8fc75d929ef11efc8ebae76d827313213e44d7b3,4235.0,605.0
