time_offset,sb_inventory,queue_qty,queue_count,queue_occupancy,contingent_share,size_p25,size_p50,size_p75,age_p25,age_p50,age_p75,oldest_age,in_transit,op9_down,op10_down,op11_down,op12_down,recent_demand,recent_delivered,recent_fill,prior_rule,operational_day,day,r24,downstream,stratum,fallback,state_id,tape_id,tape_sha256,seed,family,risk_level,state_sha256,rule,horizon_hours,ret_excel,ret_excel_visible_clipped_0_1,ret_excel_full_ledger,ret_excel_visible_n,service_loss_auc,lost_orders,served_qty,ct_mean,terminal_open_orders,cohort_orders,risk_sha256,demand_sha256,pre_risk_sha256,pre_demand_sha256,raw_residual,ration_residual,base_ret,base_ret_clipped,base_sl,base_lost
48.0,7468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2532.0,0,0,0,0,2532.0,0,0.0,spt_flat,2.0,2,0.0,0.0,downstream,True,d1v2-selection-R1-current-810002:downstream:0:2,d1v2-selection-R1-current-810002,fc93a6f2690bbda9ad7f6837780032b99f98128f18d0cc85808ec2bce776a4e8,810002,R1,current,c84dc63d83093e3e81c6b7aac642ecc74edc5624a65f35021f55e4493e135918,spt_contingent,672.0,0.005922030298309304,0.005922030298309304,0.004737624238647444,20.0,3000438.0,0.0,49929.0,92.8,5.0,25.0,a45f2679e5a4fa07ab50f9acdbcc1b7078d992f05c6b8c526553f84bf3cea33d,2870890d280e33c8e33cbc9ad79b55fd4a795a71bf483a8ca80e8d7b10c6ba9f,83800a62b4be4c1c33c9d6056b9f9a1578fa7a237c59f4717afc71eec23003f0,e7608f648b454febcff7f1d1a1288546a092c7246e1a3c4ed2a0d9498bad5543,0.0,0.0,0.005922030298309304,0.005922030298309304,3000438.0,0.0
16704.0,1223.0,151352.0,59.0,0.9833333333333333,0.0,2562.0,2567.0,2571.5,3360.0,7704.0,11904.0,16128.0,7516.0,0,0,0,0,14980.0,9832.0,0.6563417890520694,spt_flat,3.0,696,0.0,0.0,downstream,True,d1v2-selection-R1-current-810002:downstream:1:696,d1v2-selection-R1-current-810002,fc93a6f2690bbda9ad7f6837780032b99f98128f18d0cc85808ec2bce776a4e8,810002,R1,current,2f25bf4cfdd061257f92e39e2bf6b8bbc60fc5c8358dad367c6f9e616cece310,lpt_contingent,672.0,0.004991682883252937,0.004991682883252937,0.0010696463321256291,18.0,107856826.0,6.0,44839.0,222.0,60.0,84.0,200ec0872a2af1f6b34d9b7bde4027445bc1a722c603a62c1631ffc5a37a878a,4664f97bc8abe266571d8ce2ec605366b0179309fbb27abad9f4a802545ab13b,2bd1b9d21de4d7cb2ebcf1ab3eedb6a41ff590f4546f21be0c7ce113118f2dd5,a8b20dacc41ad055505339d16808744fdd8469a22116cd0747a4889639d3d431,0.0,0.0,0.004668158162763767,0.004668158162763767,107893220.0,6.0
840.0,35.0,12680.0,5.0,0.08333333333333333,0.0,2519.0,2541.0,2562.0,48.0,168.0,264.0,336.0,5000.0,0,0,0,0,15035.0,15039.0,1.0002660458929165,spt_flat,0.0,35,0.0,0.0,high_age,False,d1v2-selection-R1-current-810002:high_age:0:35,d1v2-selection-R1-current-810002,fc93a6f2690bbda9ad7f6837780032b99f98128f18d0cc85808ec2bce776a4e8,810002,R1,current,475f460dfc6e0e50a8a92e1f96ca551b8470fa19812f0e8dbbbcf4ba51bc4c6c,spt_contingent,672.0,0.005481800250332583,0.005481800250332583,0.0034024967071029826,18.0,12349230.0,0.0,44709.0,150.0,11.0,29.0,87e7c04e1b0d7f7250054a91d61ccdeaab69fb4bd4845d8fd3c625484c93b616,ded63bffd1a488d0152fc9412abe10022a14200eee63ab3a958b7da930d38070,4e165b46b938d8910f823e5df4c5c61559c8064c4bded3edcaff5095ae4cbec4,3a4daa4fbec749d14612c0c6a222d137d32d2553b86a1e20f1c6ed2fadb54dac,0.0,0.0,0.005481800250332583,0.005481800250332583,12349230.0,0.0
16752.0,1211.0,151428.0,59.0,0.9833333333333333,0.0,2562.5,2567.0,2572.5,3408.0,7752.0,11952.0,16176.0,5012.0,0,0,0,0,15032.0,9837.0,0.6544039382650346,spt_flat,5.0,698,0.0,0.0,high_age,False,d1v2-selection-R1-current-810002:high_age:1:698,d1v2-selection-R1-current-810002,fc93a6f2690bbda9ad7f6837780032b99f98128f18d0cc85808ec2bce776a4e8,810002,R1,current,b9523a7b75be077d0fa4229f69b63da68d59c1b8eb5e2e3075269f7a2605847c,spt_contingent,672.0,0.004586822019456788,0.004586822019456788,0.001025289627878576,19.0,108640562.0,6.0,47375.0,355.4736842105263,60.0,85.0,63ac2a277e8e3bc5fa133057ae4163888f9611e6a77ae0eac346c98931874589,58aca862eaaabb65a11afd0d1c504502a13911dad526d4e1cef1580efb60f9ea,f19d333e0da88e3fd5379f38bd1fd12e4c7156990e7f23cb14327969c3ce44b5,68e92c55b75c5ae97c275347795f51e425eb1ce2f5463e8815406ec1ba46daed,0.0,0.0,0.004586822019456788,0.004586822019456788,108640562.0,6.0
6432.0,1813.0,123699.0,48.0,0.8,0.0,2567.0,2580.0,2591.75,1320.0,2724.0,4566.0,5928.0,0.0,0,0,0,0,15136.0,14847.0,0.9809064482029598,spt_flat,2.0,268,0.0,0.0,high_occupancy,False,d1v2-selection-R1-current-810002:high_occupancy:0:268,d1v2-selection-R1-current-810002,fc93a6f2690bbda9ad7f6837780032b99f98128f18d0cc85808ec2bce776a4e8,810002,R1,current,0843e64279d4ae4e914145d7d54f84cd79ba8aa453175cf11492ac66f4431c1c,spt_contingent,672.0,0.00532249713027726,0.00532249713027726,0.0013306242825693153,18.0,86299912.0,0.0,44884.0,118.0,54.0,72.0,06c8c31f40b2f1b2f82e5b0d985e7b1082036bcaa920b5cbb23b630c9047df53,6d4af0d8401c139f1bc6224d0826212ffc0b62492bcfff6087f4521c8712dd84,dda82e39af1d71e20c2f5bc7001d119a3a234fa92ae4dce3e5a58960153bcbea,ede4de31e3b945d91993fed3b9b73285d9b9db28d9f945ad05efeb13d8ca37bb,0.0,0.0,0.00532249713027726,0.00532249713027726,86299912.0,0.0
16776.0,1211.0,153868.0,60.0,1.0,0.0,2562.0,2567.0,2572.25,3300.0,7692.0,11508.0,16200.0,2495.0,0,0,0,0,15062.0,12354.0,0.820209799495419,spt_flat,6.0,699,0.0,0.0,high_occupancy,False,d1v2-selection-R1-current-810002:high_occupancy:1:699,d1v2-selection-R1-current-810002,fc93a6f2690bbda9ad7f6837780032b99f98128f18d0cc85808ec2bce776a4e8,810002,R1,current,0d3c5b5daa11cd6f6c24997bc300d7c66aecbbc605774153c4f25e7c6ecfba75,spt_contingent,672.0,0.004889254077254914,0.004889254077254914,0.001092892087856981,19.0,108951270.0,6.0,47277.0,340.3157894736842,60.0,85.0,5691dc51d12e1dc1cd45fdff3411e57299e4944c1a7f67569810bad8aac5f12e,92f769a2f066275ffbc5d0758033b7998bda94007b02cef07a21886c981bb585,afdbc0ae2fc5d8ec01923988485fa1ae799bdbe029d0ee77e4d02edbc39b3e4b,631a91a718665c6c076ea1a0ef1dcc6d0d46cd091e207d5a8555950fe2d14859,0.0,0.0,0.004889254077254914,0.004889254077254914,108951270.0,6.0
0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,spt_flat,0.0,0,0.0,0.0,nominal,False,d1v2-selection-R1-current-810002:nominal:0:0,d1v2-selection-R1-current-810002,fc93a6f2690bbda9ad7f6837780032b99f98128f18d0cc85808ec2bce776a4e8,810002,R1,current,29e49acdb1211bacd00b799607cd9b125d749c27a60a986d206370454301500c,spt_contingent,672.0,0.00598901711632476,0.00598901711632476,0.004687056873645465,18.0,2521948.0,0.0,44926.0,92.66666666666667,5.0,23.0,dc4df2113d268b6c5018adf5cec536cb757ff3b6886af11cce91b04c9fee4f4f,7359044341c2aad00e8414b4cd7217ed69389d2d98beb3bfe176439769746c1e,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0.0,0.0,0.00598901711632476,0.00598901711632476,2521948.0,0.0
816.0,35.0,10161.0,4.0,0.06666666666666667,0.0,2521.25,2551.5,2570.5,114.0,192.0,258.0,312.0,2481.0,0,0,0,0,15039.0,12558.0,0.8350289247955316,spt_flat,6.0,34,0.0,0.0,nominal,False,d1v2-selection-R1-current-810002:nominal:1:34,d1v2-selection-R1-current-810002,fc93a6f2690bbda9ad7f6837780032b99f98128f18d0cc85808ec2bce776a4e8,810002,R1,current,5b83e3a39a560e836bdb61daf45ae4a0cf76e17f8dc5240d2d4db02c9baab773,spt_contingent,672.0,0.00556922429730756,0.00556922429730756,0.0036488021258221943,19.0,12039036.0,0.0,47190.0,145.78947368421052,10.0,29.0,838a64e8d560cb2c1acb48167f8539b23950da7f944f8ef3408a2b3118c636a3,3169b098c9b72087fa00ca07a348858e92b2d6c335f7f86b287ece8afcd9cac0,863f1c310a536ee11415af8623fe8685829cf8ec3cda9b3a742e1f8c341dd5c8,6a3dabccda58b5c718547b1704546fcd41f8de2b9518114d8d2e3a3f354ccad2,0.0,0.0,0.00556922429730756,0.00556922429730756,12039036.0,0.0
24.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0,0,0,0,0,0,0.0,spt_flat,1.0,1,0.0,0.0,r24,True,d1v2-selection-R1-current-810002:r24:0:1,d1v2-selection-R1-current-810002,fc93a6f2690bbda9ad7f6837780032b99f98128f18d0cc85808ec2bce776a4e8,810002,R1,current,2e8d2a6e0f556c225fb498cfd6a39f8ff9b7c50e11be32dd347e6a846af42efc,spt_contingent,672.0,0.005953760896316626,0.005953760896316626,0.004713394042917329,19.0,2760830.0,0.0,47417.0,92.73684210526316,5.0,24.0,25f26c9a83ad54b2720d5a36918c4a759b2ee22097a9e66aababaa57170804aa,f6a9e2713a3e13cb7c8978504da5f778bafcef2c6d7fefe6cd56e1eeb9b92ecd,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0.0,0.0,0.005953760896316626,0.005953760896316626,2760830.0,0.0
16728.0,3706.0,151428.0,59.0,0.9833333333333333,0.0,2562.5,2567.0,2572.5,3384.0,7728.0,11928.0,16152.0,2517.0,0,0,0,0,14981.0,9837.0,0.656631733529137,spt_flat,4.0,697,0.0,0.0,r24,True,d1v2-selection-R1-current-810002:r24:1:697,d1v2-selection-R1-current-810002,fc93a6f2690bbda9ad7f6837780032b99f98128f18d0cc85808ec2bce776a4e8,810002,R1,current,2432dc27124a62e077a4e3398fd0390401d9e898f24bfcd37babce495f2c03f9,spt_contingent,672.0,0.004829578663167317,0.004829578663167317,0.0010349097135358538,18.0,108269708.0,6.0,44822.0,247.33333333333334,60.0,84.0,cb1445eae60e2df6df9eac988bd8796dc728e5e7caab4cec0178cbe06bbddf29,fab0bed61137362f5b93ead4bd8f246a0d8feebe8fd88f13fe0c13b67f51afa4,2b13a74db3a128e842d32dde2554b6e1ed3a607a063c750e473a26dce668866b,7982388410ac57be86ce02c02fad37d3546c2cc972bd2aa62d7b2c98b4ca1856,0.0,0.0,0.004829578663167317,0.004829578663167317,108269708.0,6.0
