tape_id,ret,ret_clipped,sl,lost
d1v2-selection-R1-current-810001,3.788637913740098e-05,3.788637913740098e-05,3.0479144220642208e-05,0.0
d1v2-selection-R1-current-810002,3.2352472048916955e-05,3.2352472048916955e-05,3.3731498605751135e-05,0.0
d1v2-selection-R1-current-810003,0.0,0.0,0.0,0.0
d1v2-selection-R1-current-810004,0.0,0.0,0.0,0.0
d1v2-selection-R1-current-810005,1.6444401479593935e-05,1.6444401479593935e-05,3.327610699772195e-05,0.0
d1v2-selection-R1-increased-810006,0.00010751312530937369,0.00010751312530937369,-0.00018742572820827787,0.0
d1v2-selection-R1-increased-810007,0.0,0.0,0.0,0.0
d1v2-selection-R1-increased-810008,0.0,0.0,0.0,0.0
d1v2-selection-R1-increased-810009,1.9071287031485576e-05,1.9071287031485576e-05,6.391334581540934e-05,0.0
d1v2-selection-R1-increased-810010,3.865586043224007e-05,3.865586043224007e-05,3.757293384717401e-05,0.0
d1v2-selection-R2-current-810011,0.004411933773155125,0.004411933773155125,5.442604551382827e-05,0.0
d1v2-selection-R2-current-810012,0.0,0.0,0.0,0.0
d1v2-selection-R2-current-810013,2.2021158974452893e-05,2.2021158974452893e-05,-5.8792542686519185e-05,0.0
d1v2-selection-R2-current-810014,0.007838031698115588,0.007838031698115588,0.0005395922808240028,0.016666666666666666
d1v2-selection-R2-current-810015,9.555032536906482e-06,9.555032536906482e-06,7.355311631597622e-05,0.0
d1v2-selection-R2-increased-810016,0.00045988749391560944,0.00045988749391560944,-2.6665614120197393e-05,0.016666666666666666
d1v2-selection-R2-increased-810017,0.0009775879653671174,0.0009775879653671174,8.158157685352169e-05,0.02
d1v2-selection-R2-increased-810018,4.449652474787791e-05,4.449652474787791e-05,0.0010670844734783995,0.0
d1v2-selection-R2-increased-810019,0.0037551642128106867,0.0037551642128106867,-0.0011811888376752492,0.014285714285714285
d1v2-selection-R2-increased-810020,0.005533331764198483,0.005533331764198483,0.0007543663227052147,0.016666666666666666
d1v2-selection-mixed-current-810021,0.00018899608602355325,0.00018899608602355325,0.009697988445909703,0.0
d1v2-selection-mixed-current-810022,5.333042894101678e-05,5.333042894101678e-05,-0.00021214284123629684,0.02
d1v2-selection-mixed-current-810023,6.2563246270894156e-06,6.2563246270894156e-06,-0.0003847474311970948,0.0
d1v2-selection-mixed-current-810024,9.598464245720671e-06,9.598464245720671e-06,2.666331677376746e-05,0.0
d1v2-selection-mixed-current-810025,3.033926264241031e-07,3.033926264241031e-07,4.90027517915019e-05,0.0
d1v2-selection-mixed-increased-810026,9.028952032357051e-05,9.028952032357051e-05,0.00011152325560385444,0.0
d1v2-selection-mixed-increased-810027,3.984967628571784e-05,3.984967628571784e-05,-0.00028406806382877436,0.014285714285714285
d1v2-selection-mixed-increased-810028,3.553844445267091e-05,3.553844445267091e-05,8.944875266299073e-05,0.0
d1v2-selection-mixed-increased-810029,6.50812316227792e-05,6.50812316227792e-05,0.00017259337800959256,0.016666666666666666
d1v2-selection-mixed-increased-810030,2.196408851179981e-05,2.196408851179981e-05,1.5540690418100713e-06,0.0
d1v2-validation-R1-current-811001,3.8791633216310375e-05,3.8791633216310375e-05,4.0257139415110984e-05,0.0
d1v2-validation-R1-current-811002,0.0,0.0,0.0,0.0
d1v2-validation-R1-current-811003,0.0,0.0,0.0,0.0
d1v2-validation-R1-current-811004,8.104737579272843e-06,8.104737579272843e-06,1.4548145705751736e-05,0.0
d1v2-validation-R1-current-811005,1.0462150997742405e-05,1.0462150997742405e-05,-0.001030563267003879,0.0
d1v2-validation-R1-increased-811006,2.650520670018884e-05,2.650520670018884e-05,0.00019565321641198111,0.0
d1v2-validation-R1-increased-811007,0.0,0.0,0.0,0.0
d1v2-validation-R1-increased-811008,0.0,0.0,0.0,0.0
d1v2-validation-R1-increased-811009,0.0,0.0,0.0,0.0
d1v2-validation-R1-increased-811010,0.0,0.0,0.0,0.0
d1v2-validation-R2-current-811011,0.020972458413960293,0.020972458413960293,0.0075497104775655004,0.05
d1v2-validation-R2-current-811012,0.00417468705195746,0.00417468705195746,5.307207013562205e-05,0.0
d1v2-validation-R2-current-811013,0.006778377585712531,0.006778377585712531,0.00010900144830620238,0.016666666666666666
d1v2-validation-R2-current-811014,0.004686472183869206,0.004686472183869206,-0.0017581263651765566,0.0
d1v2-validation-R2-current-811015,0.0,0.0,0.0,0.0
d1v2-validation-R2-increased-811016,0.00017295307256783298,0.00017295307256783298,-0.0010416436313766793,0.0
d1v2-validation-R2-increased-811017,0.0,0.0,0.0,0.0
d1v2-validation-R2-increased-811018,0.0007815370822622791,0.0007815370822622791,0.0001209800328633348,0.016666666666666666
d1v2-validation-R2-increased-811019,0.003866831270567657,0.003866831270567657,7.462782783807438e-05,0.025
d1v2-validation-R2-increased-811020,0.000142638849520451,0.000142638849520451,-0.006449886677485814,0.0
d1v2-validation-mixed-current-811021,4.697603947627533e-06,4.697603947627533e-06,3.1767355892883024e-05,0.0
d1v2-validation-mixed-current-811022,0.0,0.0,0.0,0.0
d1v2-validation-mixed-current-811023,7.747345638402497e-06,7.747345638402497e-06,6.594703323951264e-06,0.0
d1v2-validation-mixed-current-811024,3.1663958275519184e-07,3.1663958275519184e-07,-0.00024217811350134,0.0
d1v2-validation-mixed-current-811025,3.761989234069866e-05,3.761989234069866e-05,9.739579171613366e-05,0.02
d1v2-validation-mixed-increased-811026,0.0,0.0,0.0,0.0
d1v2-validation-mixed-increased-811027,0.0,0.0,0.0,0.0
d1v2-validation-mixed-increased-811028,1.2990303668407138e-05,1.2990303668407138e-05,-0.008216706156389645,0.0
d1v2-validation-mixed-increased-811029,4.772955892465864e-05,4.772955892465864e-05,0.00014550905433260677,0.016666666666666666
d1v2-validation-mixed-increased-811030,8.556443216531048e-05,8.556443216531048e-05,4.7275239704053085e-05,0.00909090909090909
