state_id,campaign_id,buffer_level,reference_action,optimal_action,budget_lambda,obs_buffer_level_fraction,obs_effective_shift_fraction,obs_pending_shift_fraction,obs_raw_material_wdc,obs_raw_material_al,obs_rations_al,obs_rations_sb,obs_rations_sb_dispatch,obs_rations_cssu,obs_rations_theatre,obs_pending_batch,obs_in_transit,obs_pending_backorder_qty,obs_pending_backorder_count,obs_oldest_backorder_age_hours,obs_previous_week_demanded,obs_previous_week_produced,obs_previous_week_delivered,obs_rolling_fill_rate_4w,obs_previous_week_capacity_utilization,obs_fraction_operations_down,obs_previous_week_downtime_hours,obs_week_phase_sin,obs_week_phase_cos
I672:l-cal-042-700042:w1,l-cal-042-700042,672,0,0,0.0,0.800000011920929,0.0,0.0,557298.0,643098.0,0.0,70348.0,0.0,0.0,0.0,2847.0,4963.0,0.0,0.0,0.0,12652.0,15155.0,7689.0,1.0,0.9851143956184387,0.0,2.741041421890259,0.1205366775393486,0.9927088618278503
I672:l-cal-042-700042:w99,l-cal-042-700042,672,0,0,0.0,0.800000011920929,0.0,0.0,1713750.0,673674.0,0.0,60628.0,0.0,0.0,0.0,1832.0,10036.0,0.0,0.0,0.0,15004.0,14733.5,14882.0,1.0,0.9780927300453186,0.0,49.0,-0.5680647492408752,0.8229838609695435
I672:l-cal-043-700043:w1,l-cal-043-700043,672,0,0,0.0,0.800000011920929,0.0,0.0,556518.0,641130.0,0.0,70501.0,0.0,0.0,0.0,3076.0,5094.0,0.0,0.0,0.0,12499.0,15384.0,7405.0,1.0,1.0,0.0,0.0,0.1205366775393486,0.9927088618278503
I672:l-cal-043-700043:w99,l-cal-043-700043,672,0,0,0.0,0.800000011920929,0.0,0.0,2280000.0,671898.0,0.0,60001.0,0.0,0.0,0.0,196.0,10128.0,0.0,0.0,0.0,17654.0,15384.0,17479.0,1.0,1.0,0.0,0.0,-0.5680647492408752,0.8229838609695435
I672:l-cal-044-700044:w1,l-cal-044-700044,672,0,0,0.0,0.800000011920929,0.0,0.0,557478.0,647124.0,0.0,65556.0,0.0,0.0,0.0,2496.5,9976.0,0.0,0.0,0.0,12444.0,14804.5,7468.0,1.0,0.9828061461448669,0.0,17.548009872436523,0.1205366775393486,0.9927088618278503
I672:l-cal-044-700044:w99,l-cal-044-700044,672,0,0,0.0,0.800000011920929,0.0,0.0,2006958.0,581634.0,0.0,56075.0,0.0,0.0,0.0,957.0,9952.0,0.0,0.0,0.0,17489.0,15170.0,17618.0,1.0,0.9860894680023193,0.0,25.054290771484375,-0.5680647492408752,0.8229838609695435
I672:l-cal-045-700045:w1,l-cal-045-700045,672,0,0,0.0,0.800000011920929,0.0,0.0,558138.0,649272.0,0.0,65417.0,0.0,0.0,0.0,2262.5,9959.0,0.0,0.0,0.0,12583.0,14570.5,7624.0,1.0,0.9672718644142151,0.0,7.307623386383057,0.1205366775393486,0.9927088618278503
I672:l-cal-045-700045:w99,l-cal-045-700045,672,0,0,0.0,0.800000011920929,0.0,0.0,1751922.0,676974.0,0.0,60521.0,0.0,0.0,0.0,3840.0,5062.0,0.0,0.0,0.0,15091.0,14609.0,15027.0,1.0,0.9496229887008667,0.07692307978868484,274.45941162109375,-0.5680647492408752,0.8229838609695435
I672:l-cal-046-700046:w1,l-cal-046-700046,672,0,0,0.0,0.800000011920929,0.0,0.0,556518.0,641130.0,0.0,70403.0,0.0,0.0,0.0,3076.0,5168.0,0.0,0.0,0.0,12597.0,15384.0,7429.0,1.0,1.0,0.07692307978868484,11.0,0.1205366775393486,0.9927088618278503
I672:l-cal-046-700046:w99,l-cal-046-700046,672,0,0,0.0,0.800000011920929,0.0,0.0,2280000.0,641130.0,0.0,55887.0,0.0,0.0,0.0,1801.5,9816.0,24992.0,10.0,360.0,14979.0,8012.5,4896.0,0.6135218143463135,1.0,0.0,427.3618469238281,-0.5680647492408752,0.8229838609695435
I672:l-cal-047-700047:w1,l-cal-047-700047,672,0,0,0.0,0.800000011920929,0.0,0.0,558942.0,646878.0,0.0,65679.0,0.0,0.0,0.0,2395.0,9927.0,0.0,0.0,0.0,12321.0,14703.0,7394.0,1.0,0.9557332396507263,0.0,4.0,0.1205366775393486,0.9927088618278503
I672:l-cal-047-700047:w99,l-cal-047-700047,672,0,0,0.0,0.800000011920929,0.0,0.0,1861092.0,649500.0,0.0,38026.0,0.0,0.0,0.0,1012.0,9832.0,5195.0,2.0,4992.0,14895.0,14375.5,17619.0,1.0,0.9543266892433167,0.23076923191547394,349.7405090332031,-0.5680647492408752,0.8229838609695435
I672:l-cal-048-700048:w1,l-cal-048-700048,672,0,0,0.0,0.800000011920929,0.0,0.0,557490.0,642786.0,0.0,70517.0,0.0,0.0,0.0,2857.0,5056.0,0.0,0.0,0.0,12483.0,15165.0,7427.0,1.0,0.9857644438743591,0.0,1.8317776918411255,0.1205366775393486,0.9927088618278503
I672:l-cal-048-700048:w99,l-cal-048-700048,672,0,0,0.0,0.800000011920929,0.0,0.0,1710180.0,673926.0,0.0,60962.0,0.0,0.0,0.0,3123.0,5000.0,0.0,0.0,0.0,14896.0,15073.0,14874.0,1.0,0.9797841906547546,0.0,1.0,-0.5680647492408752,0.8229838609695435
I672:l-cal-049-700049:w1,l-cal-049-700049,672,0,0,0.0,0.800000011920929,0.0,0.0,556518.0,652668.0,0.0,72954.0,0.0,0.0,0.0,2114.5,2594.0,2553.0,1.0,24.0,12599.0,14422.5,7452.0,0.7973648905754089,1.0,0.38461539149284363,95.0,0.1205366775393486,0.9927088618278503
I672:l-cal-049-700049:w99,l-cal-049-700049,672,0,0,0.0,0.800000011920929,0.0,0.0,2280000.0,641130.0,0.0,58404.0,0.0,0.0,0.0,4299.0,12783.0,0.0,0.0,0.0,15189.0,15384.0,7352.0,1.0,1.0,0.0,122.96830749511719,-0.5680647492408752,0.8229838609695435
I1344:l-cal-000-700000:w1,l-cal-000-700000,1344,0,0,0.0,1.0,0.0,0.0,1298556.0,1380402.0,0.0,128324.0,0.0,0.0,0.0,2513.5,10118.0,0.0,0.0,0.0,12676.0,14821.5,7558.0,1.0,0.9839347004890442,0.0,1.0,0.1205366775393486,0.9927088618278503
I1344:l-cal-000-700000:w99,l-cal-000-700000,1344,0,0,0.0,1.0,0.0,0.0,2090022.0,1410906.0,0.0,119094.0,0.0,0.0,0.0,3044.5,5004.0,0.0,0.0,0.0,15030.0,13469.5,15105.0,1.0,0.9773609638214111,0.0,28.69186782836914,-0.5680647492408752,0.8229838609695435
I1344:l-cal-001-700001:w1,l-cal-001-700001,1344,0,0,0.0,1.0,0.0,0.0,1293798.0,1378410.0,0.0,133453.0,0.0,0.0,0.0,3076.0,5120.0,0.0,0.0,0.0,12547.0,15384.0,7427.0,1.0,1.0,0.0,0.0,0.1205366775393486,0.9927088618278503
I1344:l-cal-001-700001:w99,l-cal-001-700001,1344,0,0,0.0,1.0,0.0,0.0,2280000.0,1255338.0,0.0,121067.0,0.0,0.0,0.0,2376.0,10057.0,0.0,0.0,0.0,14973.0,15384.0,14856.0,1.0,1.0,0.0,0.0,-0.5680647492408752,0.8229838609695435
I1344:l-cal-002-700002:w1,l-cal-002-700002,1344,0,0,0.0,1.0,0.0,0.0,1310274.0,1380426.0,0.0,126076.0,0.0,0.0,0.0,1535.0,12562.0,0.0,0.0,0.0,14924.0,13843.0,7362.0,1.0,0.9816337823867798,0.0,3.021493673324585,0.1205366775393486,0.9927088618278503
I1344:l-cal-002-700002:w99,l-cal-002-700002,1344,0,0,0.0,1.0,0.0,0.0,2280000.0,1261038.0,0.0,123534.0,0.0,0.0,0.0,176.0,10009.0,0.0,0.0,0.0,15122.0,14958.0,14944.0,1.0,0.972308874130249,0.0,98.735107421875,-0.5680647492408752,0.8229838609695435
I1344:l-cal-003-700003:w1,l-cal-003-700003,1344,0,0,0.0,1.0,0.0,0.0,1299408.0,1384542.0,0.0,128472.0,0.0,0.0,0.0,2097.5,10058.0,0.0,0.0,0.0,12528.0,14405.5,7470.0,1.0,0.9563182592391968,0.0,4.883963108062744,0.1205366775393486,0.9927088618278503
I1344:l-cal-003-700003:w99,l-cal-003-700003,1344,0,0,0.0,1.0,0.0,0.0,1706988.0,1247766.0,0.0,118508.0,0.0,0.0,0.0,1321.5,10049.0,0.0,0.0,0.0,15139.0,13757.0,15110.0,1.0,0.9331207871437073,0.07692307978868484,272.049072265625,-0.5680647492408752,0.8229838609695435
I1344:l-cal-004-700004:w1,l-cal-004-700004,1344,0,0,0.0,1.0,0.0,0.0,1293798.0,1378410.0,0.0,133474.0,0.0,0.0,0.0,3076.0,4968.0,0.0,0.0,0.0,12526.0,15384.0,7558.0,1.0,1.0,0.1538461595773697,42.0,0.1205366775393486,0.9927088618278503
I1344:l-cal-004-700004:w99,l-cal-004-700004,1344,0,0,0.0,1.0,0.0,0.0,2280000.0,1193802.0,0.0,118781.0,0.0,0.0,0.0,7.5,9946.0,0.0,0.0,0.0,17316.0,15384.0,17489.0,1.0,1.0,0.0,0.0,-0.5680647492408752,0.8229838609695435
I1344:l-cal-005-700005:w1,l-cal-005-700005,1344,0,0,0.0,1.0,0.0,0.0,1296558.0,1399602.0,0.0,128615.0,0.0,0.0,0.0,1080.0,9859.0,0.0,0.0,0.0,12385.0,13388.0,7526.0,1.0,0.9493688941001892,0.0,6.111408710479736,0.1205366775393486,0.9927088618278503
