risk_level,learned_phase,static_phase,learned_policy,best_static_policy,learned_fill_rate,static_s2_fill_rate,best_static_fill_rate,delta_fill_rate_vs_static_s2,delta_fill_rate_vs_best_static,learned_backorder_rate,static_s2_backorder_rate,best_static_backorder_rate,delta_backorder_rate_vs_static_s2,delta_backorder_rate_vs_best_static,learned_order_level_ret_mean,static_s2_order_level_ret_mean,best_static_order_level_ret_mean,delta_order_level_ret_mean_vs_static_s2,delta_order_level_ret_mean_vs_best_static,learned_pct_steps_S1,learned_pct_steps_S2,learned_pct_steps_S3
current,cross_eval_current,cross_eval_current,ppo,static_s3,0.9766784140969165,0.9988835745752045,0.998712397734424,-0.022205160478288022,-0.022033983637507526,0.023321585903083704,0.0011164254247954682,0.0012876022655758353,0.022205160478288237,0.02203398363750787,0.6086784837001649,0.6624037997472932,0.6871223972432301,-0.05372531604712838,-0.07844391354306524,71.82153846153848,17.145384615384614,11.033076923076923
increased,ppo_eval,static_screen,ppo,static_s2,0.7883209565764631,0.7922328508495908,0.7922328508495908,-0.0039118942731277695,-0.0039118942731277695,0.2116790434235368,0.20776714915040903,0.20776714915040903,0.0039118942731277695,0.0039118942731277695,0.1995986658479409,0.20146024604337304,0.20146024604337304,-0.0018615801954321443,-0.0018615801954321443,72.86846153846152,13.438461538461539,13.693076923076925
severe,cross_eval_severe,cross_eval_severe,ppo,static_s3,0.48350157331655125,0.4946519823788547,0.4939735682819383,-0.011150409062303468,-0.010471994965387033,0.5164984266834488,0.5053480176211453,0.5060264317180618,0.011150409062303468,0.010471994965386977,0.1631727886773396,0.16227578189252095,0.164956365601392,0.0008970067848186325,-0.0017835769240524268,57.910000000000004,21.40615384615385,20.68384615384615
