policy_id,inventory_threshold,maximum_wait_hours,mean_ret,ret_ci_low,ret_ci_high,mean_service_loss,mean_departures,mean_vehicle_hours,mean_load_factor,mean_dispatch_feasible_fraction,strong_live_fraction,mean_unavailable_hours,lost_deg_ci_high,service_deg_ci_high,backlog_deg_ci_high,admissible,pareto_nondominated
threshold_1000__wait_24h,1000.0,24.0,0.6336424111592749,0.5883127263452048,0.6803818788285126,62692287.125,54.4,2637.6625,0.6958316158995677,0.4860491071428571,,2637.6625,0.0,-0.01512723646530889,-0.016283416262146685,True,False
threshold_1000__wait_48h,1000.0,48.0,0.6342477804080543,0.5891002044488036,0.6808007578200207,62630854.35,53.4375,2577.3625,0.7137827161495081,0.4928571428571429,,2577.3625,0.0,-0.016113782466037802,-0.016653107450240182,True,True
threshold_1000__wait_72h,1000.0,72.0,0.6340038369148553,0.5886255075319354,0.6807626796954424,62623618.5,53.4,2575.5625,0.7142909212327725,0.49308035714285714,,2575.5625,0.0,-0.01622869789725493,-0.01677173736407856,True,True
threshold_2500__wait_24h,2500.0,24.0,0.6334906052583917,0.5881402246681993,0.6801979732675117,62691194.55,54.3375,2633.4625,0.6971118704510985,0.48671875,,2633.4625,0.0,-0.015132686074166207,-0.016265525649968252,True,False
threshold_2500__wait_48h,2500.0,48.0,0.6337994231469993,0.5884057934573789,0.6804518209312753,62635363.35,53.2125,2565.9625,0.7170628480034883,0.4939732142857142,,2565.9625,0.0,-0.016054029414001404,-0.016568890289467984,True,False
threshold_2500__wait_72h,2500.0,72.0,0.633884749736805,0.5884445273438931,0.6805512219957122,62626772.55,53.1625,2563.2625,0.717922171240602,0.4943080357142858,,2563.2625,0.0,-0.016156277330172615,-0.016651630284226105,True,True
threshold_5000__wait_24h,5000.0,24.0,0.631341576883834,0.5858071145351683,0.6780745182992604,63307876.225,49.5875,2388.6625,0.7706939257596102,0.5297991071428572,,2388.6625,0.0,-0.005554823577367049,-0.005676036712546164,True,True
threshold_5000__wait_48h,5000.0,48.0,0.6290224698464147,0.5836418573615102,0.6762622714815918,63703303.7,48.475,2356.8625,0.7789095238553446,0.5316964285714285,,2356.8625,0.0,0.0,0.0,True,True
threshold_5000__wait_72h,5000.0,72.0,0.6226544745063312,0.5768311166889172,0.6698841865340677,64001800.575,48.0625,2335.5625,0.7860239672538641,0.5506696428571429,,2335.5625,0.0,0.005488324491315673,0.005850289101690241,True,True
