cell_id,tape_id,state_id,state_week,prefix,action,ret,service,lost,observation,mass
FSC-01,program-f-phase-screen-equipment_pressure-970001,program-f-phase-screen-equipment_pressure-970001|w4|p021,4,021,111,0.20656569526276103,8350707.0,0.0,"{""active_m"": 0.0, ""active_r"": 1.0, ""active_t"": 2.0, ""backlog_count"": 4.0, ""backlog_qty"": 10152.0, ""equipment_condition"": 0.63, ""equipment_condition_score"": 0.1, ""mission_tempo_score"": 0.1, ""pending_m"": 0.0, ""pending_r"": 1.0, ""pending_t"": 2.0, ""recent_damage_hours"": 150.92248281938794, ""recent_r11_count"": 17.0, ""recent_r24_count"": 0.0, ""recent_transport_attack_count"": 0.0, ""reserve_inventory"": 10000.0, ""route_threat_score"": 0.8, ""sb_inventory"": 3021.0, ""week_phase"": 0.12903225806451613}",0.0
FSC-01,program-f-phase-screen-equipment_pressure-970001,program-f-phase-screen-equipment_pressure-970001|w4|p021,4,021,120,0.2773384306575824,7816379.0,0.0,"{""active_m"": 0.0, ""active_r"": 1.0, ""active_t"": 2.0, ""backlog_count"": 4.0, ""backlog_qty"": 10152.0, ""equipment_condition"": 0.63, ""equipment_condition_score"": 0.1, ""mission_tempo_score"": 0.1, ""pending_m"": 0.0, ""pending_r"": 1.0, ""pending_t"": 2.0, ""recent_damage_hours"": 150.92248281938794, ""recent_r11_count"": 17.0, ""recent_r24_count"": 0.0, ""recent_transport_attack_count"": 0.0, ""reserve_inventory"": 10000.0, ""route_threat_score"": 0.8, ""sb_inventory"": 3021.0, ""week_phase"": 0.12903225806451613}",0.0
FSC-01,program-f-phase-screen-equipment_pressure-970001,program-f-phase-screen-equipment_pressure-970001|w4|p021,4,021,201,0.1477022237491252,8270523.0,0.0,"{""active_m"": 0.0, ""active_r"": 1.0, ""active_t"": 2.0, ""backlog_count"": 4.0, ""backlog_qty"": 10152.0, ""equipment_condition"": 0.63, ""equipment_condition_score"": 0.1, ""mission_tempo_score"": 0.1, ""pending_m"": 0.0, ""pending_r"": 1.0, ""pending_t"": 2.0, ""recent_damage_hours"": 150.92248281938794, ""recent_r11_count"": 17.0, ""recent_r24_count"": 0.0, ""recent_transport_attack_count"": 0.0, ""reserve_inventory"": 10000.0, ""route_threat_score"": 0.8, ""sb_inventory"": 3021.0, ""week_phase"": 0.12903225806451613}",0.0
FSC-01,program-f-phase-screen-equipment_pressure-970001,program-f-phase-screen-equipment_pressure-970001|w4|p021,4,021,210,0.1472071663651888,8704779.0,0.0,"{""active_m"": 0.0, ""active_r"": 1.0, ""active_t"": 2.0, ""backlog_count"": 4.0, ""backlog_qty"": 10152.0, ""equipment_condition"": 0.63, ""equipment_condition_score"": 0.1, ""mission_tempo_score"": 0.1, ""pending_m"": 0.0, ""pending_r"": 1.0, ""pending_t"": 2.0, ""recent_damage_hours"": 150.92248281938794, ""recent_r11_count"": 17.0, ""recent_r24_count"": 0.0, ""recent_transport_attack_count"": 0.0, ""reserve_inventory"": 10000.0, ""route_threat_score"": 0.8, ""sb_inventory"": 3021.0, ""week_phase"": 0.12903225806451613}",0.0
FSC-01,program-f-phase-screen-equipment_pressure-970001,program-f-phase-screen-equipment_pressure-970001|w6|p102,6,102,012,0.12888308268135842,7872813.0,0.0,"{""active_m"": 1.0, ""active_r"": 2.0, ""active_t"": 0.0, ""backlog_count"": 5.0, ""backlog_qty"": 12824.0, ""equipment_condition"": 0.0, ""equipment_condition_score"": 0.1, ""mission_tempo_score"": 0.8, ""pending_m"": 1.0, ""pending_r"": 2.0, ""pending_t"": 0.0, ""recent_damage_hours"": 66.51128046461312, ""recent_r11_count"": 12.0, ""recent_r24_count"": 1.0, ""recent_transport_attack_count"": 0.0, ""reserve_inventory"": 7557.0, ""route_threat_score"": 0.1, ""sb_inventory"": 729.0, ""week_phase"": 0.1935483870967742}",0.0
FSC-01,program-f-phase-screen-equipment_pressure-970001,program-f-phase-screen-equipment_pressure-970001|w6|p102,6,102,021,0.12888308268135842,7872813.0,0.0,"{""active_m"": 1.0, ""active_r"": 2.0, ""active_t"": 0.0, ""backlog_count"": 5.0, ""backlog_qty"": 12824.0, ""equipment_condition"": 0.0, ""equipment_condition_score"": 0.1, ""mission_tempo_score"": 0.8, ""pending_m"": 1.0, ""pending_r"": 2.0, ""pending_t"": 0.0, ""recent_damage_hours"": 66.51128046461312, ""recent_r11_count"": 12.0, ""recent_r24_count"": 1.0, ""recent_transport_attack_count"": 0.0, ""reserve_inventory"": 7557.0, ""route_threat_score"": 0.1, ""sb_inventory"": 729.0, ""week_phase"": 0.1935483870967742}",0.0
FSC-01,program-f-phase-screen-equipment_pressure-970001,program-f-phase-screen-equipment_pressure-970001|w6|p102,6,102,102,0.12888308268135842,7872813.0,0.0,"{""active_m"": 1.0, ""active_r"": 2.0, ""active_t"": 0.0, ""backlog_count"": 5.0, ""backlog_qty"": 12824.0, ""equipment_condition"": 0.0, ""equipment_condition_score"": 0.1, ""mission_tempo_score"": 0.8, ""pending_m"": 1.0, ""pending_r"": 2.0, ""pending_t"": 0.0, ""recent_damage_hours"": 66.51128046461312, ""recent_r11_count"": 12.0, ""recent_r24_count"": 1.0, ""recent_transport_attack_count"": 0.0, ""reserve_inventory"": 7557.0, ""route_threat_score"": 0.1, ""sb_inventory"": 729.0, ""week_phase"": 0.1935483870967742}",0.0
FSC-01,program-f-phase-screen-equipment_pressure-970001,program-f-phase-screen-equipment_pressure-970001|w6|p102,6,102,111,0.12888308268135842,7872813.0,0.0,"{""active_m"": 1.0, ""active_r"": 2.0, ""active_t"": 0.0, ""backlog_count"": 5.0, ""backlog_qty"": 12824.0, ""equipment_condition"": 0.0, ""equipment_condition_score"": 0.1, ""mission_tempo_score"": 0.8, ""pending_m"": 1.0, ""pending_r"": 2.0, ""pending_t"": 0.0, ""recent_damage_hours"": 66.51128046461312, ""recent_r11_count"": 12.0, ""recent_r24_count"": 1.0, ""recent_transport_attack_count"": 0.0, ""reserve_inventory"": 7557.0, ""route_threat_score"": 0.1, ""sb_inventory"": 729.0, ""week_phase"": 0.1935483870967742}",0.0
FSC-01,program-f-phase-screen-equipment_pressure-970001,program-f-phase-screen-equipment_pressure-970001|w6|p102,6,102,120,0.12888308268135842,7872813.0,0.0,"{""active_m"": 1.0, ""active_r"": 2.0, ""active_t"": 0.0, ""backlog_count"": 5.0, ""backlog_qty"": 12824.0, ""equipment_condition"": 0.0, ""equipment_condition_score"": 0.1, ""mission_tempo_score"": 0.8, ""pending_m"": 1.0, ""pending_r"": 2.0, ""pending_t"": 0.0, ""recent_damage_hours"": 66.51128046461312, ""recent_r11_count"": 12.0, ""recent_r24_count"": 1.0, ""recent_transport_attack_count"": 0.0, ""reserve_inventory"": 7557.0, ""route_threat_score"": 0.1, ""sb_inventory"": 729.0, ""week_phase"": 0.1935483870967742}",0.0
FSC-01,program-f-phase-screen-equipment_pressure-970001,program-f-phase-screen-equipment_pressure-970001|w6|p102,6,102,201,0.13985707733946928,8537551.0,0.0,"{""active_m"": 1.0, ""active_r"": 2.0, ""active_t"": 0.0, ""backlog_count"": 5.0, ""backlog_qty"": 12824.0, ""equipment_condition"": 0.0, ""equipment_condition_score"": 0.1, ""mission_tempo_score"": 0.8, ""pending_m"": 1.0, ""pending_r"": 2.0, ""pending_t"": 0.0, ""recent_damage_hours"": 66.51128046461312, ""recent_r11_count"": 12.0, ""recent_r24_count"": 1.0, ""recent_transport_attack_count"": 0.0, ""reserve_inventory"": 7557.0, ""route_threat_score"": 0.1, ""sb_inventory"": 729.0, ""week_phase"": 0.1935483870967742}",0.0
