cell_id,tape_id,action,ret,service,lost,mass,reserve_issued,r11_hours,transport_hours,threat_sha256
FSC-01,program-f-phase-screen-equipment_pressure-970004,102,0.17050534326386538,336685737.0,0.0,0.0,19887.0,452.9727909007726,512.269891609311,b7f590c16ef156645f9f7192f5e349de7ccf52899061dd74cae8d22126ff17be
FSC-01,program-f-phase-screen-equipment_pressure-970004,111,0.1727704146109754,335192532.0,0.0,0.0,16516.0,452.9727909007726,384.2024187069832,b7f590c16ef156645f9f7192f5e349de7ccf52899061dd74cae8d22126ff17be
FSC-01,program-f-phase-screen-equipment_pressure-970004,120,0.18356647312134905,335330135.0,0.0,0.0,0.0,452.9727909007726,281.74844038512106,b7f590c16ef156645f9f7192f5e349de7ccf52899061dd74cae8d22126ff17be
FSC-01,program-f-phase-screen-equipment_pressure-970004,201,0.1395906303566102,401589930.0,1.0,0.0,16516.0,347.51120704092597,512.269891609311,b7f590c16ef156645f9f7192f5e349de7ccf52899061dd74cae8d22126ff17be
FSC-01,program-f-phase-screen-equipment_pressure-970004,210,0.15004447257932899,399320201.0,1.0,0.0,0.0,347.51120704092597,384.2024187069832,b7f590c16ef156645f9f7192f5e349de7ccf52899061dd74cae8d22126ff17be
FSC-01,program-f-phase-screen-interdiction_campaign-970005,012,0.22182116587404618,339975329.0,0.0,0.0,24552.0,341.6736762069145,717.094657931861,cb63e57d24a997a99a26fbc8c58f7a84c444d0563537cc2b852a0c9e8975f1aa
FSC-01,program-f-phase-screen-interdiction_campaign-970005,021,0.23598912946243578,343481626.0,0.0,0.0,22665.0,341.6736762069145,592.3793812723609,cb63e57d24a997a99a26fbc8c58f7a84c444d0563537cc2b852a0c9e8975f1aa
FSC-01,program-f-phase-screen-interdiction_campaign-970005,102,0.2438090770863256,328485790.0,0.0,0.0,19534.0,162.18290976655177,872.9887537562361,cb63e57d24a997a99a26fbc8c58f7a84c444d0563537cc2b852a0c9e8975f1aa
FSC-01,program-f-phase-screen-interdiction_campaign-970005,111,0.23889448026147525,333103490.0,0.0,0.0,20760.0,162.18290976655177,717.094657931861,cb63e57d24a997a99a26fbc8c58f7a84c444d0563537cc2b852a0c9e8975f1aa
FSC-01,program-f-phase-screen-interdiction_campaign-970005,120,0.23752136791792441,335364810.0,0.0,0.0,2000.0,162.18290976655177,592.3793812723609,cb63e57d24a997a99a26fbc8c58f7a84c444d0563537cc2b852a0c9e8975f1aa
FSC-01,program-f-phase-screen-interdiction_campaign-970005,201,0.19695944364010967,402285403.0,0.0,0.0,17180.0,130.63501364210714,872.9887537562361,cb63e57d24a997a99a26fbc8c58f7a84c444d0563537cc2b852a0c9e8975f1aa
FSC-01,program-f-phase-screen-interdiction_campaign-970005,210,0.18009845581471953,398881795.0,1.0,0.0,2000.0,130.63501364210714,717.094657931861,cb63e57d24a997a99a26fbc8c58f7a84c444d0563537cc2b852a0c9e8975f1aa
FSC-01,program-f-phase-screen-mission_surge-970006,012,0.1708877753491018,321079753.0,0.0,0.0,17650.0,394.58970578308157,259.77455795320714,48f8de5a6ffaf9e47f837c4ba1eb3fc3a65870aa5cd3a5beab143fbf8fbdf58f
FSC-01,program-f-phase-screen-mission_surge-970006,021,0.17594596815180366,320510909.0,0.0,0.0,14000.0,394.58970578308157,190.76800916568524,48f8de5a6ffaf9e47f837c4ba1eb3fc3a65870aa5cd3a5beab143fbf8fbdf58f
FSC-01,program-f-phase-screen-mission_surge-970006,102,0.17915252260711304,313616836.0,0.0,0.0,17650.0,199.09508467410717,346.0327439376095,48f8de5a6ffaf9e47f837c4ba1eb3fc3a65870aa5cd3a5beab143fbf8fbdf58f
FSC-01,program-f-phase-screen-mission_surge-970006,111,0.17898426009750562,312232805.0,0.0,0.0,14000.0,199.09508467410717,259.77455795320714,48f8de5a6ffaf9e47f837c4ba1eb3fc3a65870aa5cd3a5beab143fbf8fbdf58f
FSC-01,program-f-phase-screen-mission_surge-970006,120,0.17884088383797422,309399226.0,0.0,0.0,0.0,199.09508467410717,190.76800916568524,48f8de5a6ffaf9e47f837c4ba1eb3fc3a65870aa5cd3a5beab143fbf8fbdf58f
FSC-01,program-f-phase-screen-mission_surge-970006,201,0.14229962482463507,379486399.0,0.0,0.0,14000.0,161.9631582071604,346.0327439376095,48f8de5a6ffaf9e47f837c4ba1eb3fc3a65870aa5cd3a5beab143fbf8fbdf58f
