contract_id,split,campaign_id,campaign_sha256,seed,family,risk_level,horizon_weeks,policy,buffer_level,initial_shift,n_orders,n_served,n_lost,n_late,ret_excel,ret_thesis,ret_continuous,ret_excel_cvar05,ret_excel_cvar10,ret_excel_p05,ret_excel_p10,ret_excel_p25,ret_excel_p50,ret_excel_p75,ret_excel_p90,ret_excel_p95,ret_excel_rolling_4w_mean,ret_excel_rolling_4w_min,ret_excel_rolling_4w_final,ret_excel_risk_conditional,ret_excel_risk_conditional_n,ration_ret_excel,excel_case_pct_fill_rate,excel_case_pct_autotomy,excel_case_pct_recovery,excel_case_pct_risk_no_recovery,excel_case_pct_unfulfilled,fill_rate,fill_rate_on_time,lost_orders,lost_rate,backorder_qty_final,service_loss_auc_ration_hours,service_loss_auc_per_order,rpj_mean,rpj_p95,ttr_mean,ttr_p95,backlog_age_mean,backlog_age_max,apj_p50,apj_p90,apj_p99,apj_positive_p50,apj_positive_p90,apj_positive_p99,ctj_p50,ctj_p90,ctj_p99,rpj_p50,rpj_p90,rpj_p99,dpj_p99,delivered_rations,demanded_rations,flow_fill_rate,shift_hours,surge_hours,strategic_buffer_units,end_state_inventory,unit_surge_hours_per_ration,unit_buffer_units_per_ration,system_ttr_mean,system_ttr_p95,system_ttr_n_recovered,system_ttr_n_censored,system_ttr_n_clusters,system_ttr_censored_fraction,switches,late_backlog_hours,total_backlog_hours,l_program_return
garrido_learning_v1,calibration,l-cal-000-700000,fb6136801fb5ac8f571ee00c65f7dd5b1b3fcb10c9cbe72474167e461fc62a13,700000,R1,current,104,static_I0_S1,0,1,623.0,493.0,69.0,493.0,0.004158936661490613,0.004158936661490613,0.19480802262854655,0.0,0.0,0.0,0.0,0.0008361204013377926,0.00423728813559322,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.004209133894179002,0.003071717323188523,0.003910382071190225,0.005255613671619971,493,0.004105332357411171,0.0,0.0,79.13322632423755,0.0,20.86677367576244,0.0032102728731941976,0.0,69.0,0.11075441412520064,154121.0,2882652836.4000006,4627051.101765651,211.13995943204867,622.0,211.13995943204867,622.0,8024.292307692339,17303.8,0.0,0.0,0.0,0.0,0.0,0.0,70.0,382.0,2302.0,70.0,382.0,2286.0,2302.0,1221338.0,1556675.0,0.7845812388584643,17472.0,0.0,0.0,2220575.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2882652836.4000006,2957314184.6000004,-5839967021.0
garrido_learning_v1,calibration,l-cal-000-700000,fb6136801fb5ac8f571ee00c65f7dd5b1b3fcb10c9cbe72474167e461fc62a13,700000,R1,current,104,static_I0_S2,0,2,623.0,621.0,0.0,621.0,0.008038626831667787,0.008038626831667787,0.2790697674418605,0.007560483870967737,0.007808499743983609,0.008064516129032258,0.008064516129032258,0.008064516129032258,0.008064516129032258,0.008064516129032258,0.008064516129032258,0.008064516129032258,0.008062962771190427,0.007419354838709673,0.007419354838709673,0.008064516129032294,621,0.008039343576077428,0.0,0.0,99.67897271268058,0.0,0.32102728731942215,0.0032102728731941976,0.0,0.0,0.0,0.0,21725424.0,34872.269662921346,62.0,62.0,62.0,62.0,35.79999999999927,47.79999999999927,0.0,0.0,0.0,0.0,0.0,0.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,1551816.0,1556675.0,0.9968786034336005,34944.0,17472.0,0.0,3101801.0,0.011259066796578976,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,21725424.0,96386772.2,-118116564.20000005
garrido_learning_v1,calibration,l-cal-000-700000,fb6136801fb5ac8f571ee00c65f7dd5b1b3fcb10c9cbe72474167e461fc62a13,700000,R1,current,104,static_I0_S3,0,3,623.0,621.0,0.0,621.0,0.008899908277917907,0.008899908277917907,0.3,0.008370535714285712,0.008645124716553295,0.008928571428571428,0.008928571428571428,0.008928571428571428,0.008928571428571428,0.008928571428571428,0.008928571428571428,0.008928571428571428,0.008926851639532208,0.008214285714285712,0.008214285714285712,0.008928571428571418,621,0.008900701816371434,0.0,0.0,99.67897271268058,0.0,0.32102728731942215,0.0032102728731941976,0.0,0.0,0.0,0.0,12414528.0,19927.011235955055,56.0,56.0,56.0,56.0,35.79999999999927,47.79999999999927,0.0,0.0,0.0,0.0,0.0,0.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,1551816.0,1556675.0,0.9968786034336005,52416.0,34944.0,0.0,4327737.0,0.022518133593157953,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,12414528.0,87075876.2,-99499140.2
garrido_learning_v1,calibration,l-cal-000-700000,fb6136801fb5ac8f571ee00c65f7dd5b1b3fcb10c9cbe72474167e461fc62a13,700000,R1,current,104,heuristic_I0,0,1,623.0,504.0,59.0,504.0,0.0042295566639258065,0.0042295566639258065,0.19411894874108168,0.0,0.0,0.0,0.0,0.0011627906976744186,0.00423728813559322,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.004286956523730046,0.0028632351885759556,0.003920351236756991,0.005228201987352722,504,0.004178412914778529,0.0,0.0,80.89887640449439,0.0,19.10112359550562,0.0032102728731941976,0.0,59.0,0.09470304975922954,154132.0,2653102409.4,4258591.347351525,220.6329365079365,550.0,220.6329365079365,550.0,7953.077310924398,17303.8,0.0,0.0,0.0,0.0,0.0,0.0,70.0,310.0,3334.0,70.0,310.0,3318.0,3334.0,1249593.0,1556675.0,0.8027321052885156,51408.0,33936.0,0.0,2161239.0,0.027157642528407248,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2653102409.4,2727763757.6000004,-5380874651.1
garrido_learning_v1,calibration,l-cal-000-700000,fb6136801fb5ac8f571ee00c65f7dd5b1b3fcb10c9cbe72474167e461fc62a13,700000,R1,current,104,static_I168_S1,168,1,624.0,623.0,0.0,623.0,0.009599975345167652,0.009599975345167652,0.31578947368421056,0.009314903846153846,0.009462759462759464,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009614768244576053,0.009230769230769226,0.009230769230769226,0.009615384615384732,623,0.009599775034473115,0.0,0.0,99.83974358974359,0.0,0.16025641025641027,0.0016025641025640969,0.0,0.0,0.0,0.0,6223724.0,9973.916666666666,52.0,52.0,52.0,52.0,44.79999999999927,44.79999999999927,0.0,0.0,0.0,0.0,0.0,0.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,1555931.0,1558461.0,0.9983766035852036,17472.0,0.0,384390.0,2456503.0,0.0,0.24704823028784695,0.0,0.0,0.0,1.0,1.0,1.0,0.0,6223724.0,81021756.0,-87245480.0
garrido_learning_v1,calibration,l-cal-000-700000,fb6136801fb5ac8f571ee00c65f7dd5b1b3fcb10c9cbe72474167e461fc62a13,700000,R1,current,104,static_I168_S2,168,2,624.0,623.0,0.0,623.0,0.009599975345167652,0.009599975345167652,0.31578947368421056,0.009314903846153846,0.009462759462759464,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009614768244576053,0.009230769230769226,0.009230769230769226,0.009615384615384732,623,0.009599751468750788,0.0,0.0,99.83974358974359,0.0,0.16025641025641027,0.0016025641025640969,0.0,0.0,0.0,0.0,6224152.0,9974.602564102564,52.0,52.0,52.0,52.0,44.79999999999927,44.79999999999927,0.0,0.0,0.0,0.0,0.0,0.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,1556038.0,1558572.0,0.9983741527500815,34944.0,17472.0,384390.0,2946230.0,0.011228517555483864,0.24703124216760775,0.0,0.0,0.0,1.0,1.0,1.0,0.0,6224152.0,81027499.2,-87256019.2
garrido_learning_v1,calibration,l-cal-000-700000,fb6136801fb5ac8f571ee00c65f7dd5b1b3fcb10c9cbe72474167e461fc62a13,700000,R1,current,104,static_I168_S3,168,3,624.0,622.0,0.0,622.0,0.009061771561771563,0.009061771561771563,0.3037974683544304,0.008522727272727274,0.0088023088023088,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.009089160839160806,0.008363636363636365,0.008363636363636365,0.009090909090909056,622,0.009061930493714686,0.0,0.0,99.67948717948718,0.0,0.32051282051282054,0.0032051282051281937,0.0,0.0,0.0,0.0,10874843.0,17427.63301282051,55.0,55.0,55.0,55.0,35.79999999999927,47.79999999999927,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,1553549.0,1558517.0,0.9968123543086151,52416.0,34944.0,384390.0,3806692.0,0.022493014381908778,0.24742702032571873,0.0,0.0,0.0,1.0,1.0,1.0,0.0,10874843.0,85624249.4,-96507828.4
garrido_learning_v1,calibration,l-cal-000-700000,fb6136801fb5ac8f571ee00c65f7dd5b1b3fcb10c9cbe72474167e461fc62a13,700000,R1,current,104,heuristic_I168,168,1,624.0,623.0,0.0,623.0,0.009599975345167652,0.009599975345167652,0.31578947368421056,0.009314903846153846,0.009462759462759464,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009614768244576053,0.009230769230769226,0.009230769230769226,0.009615384615384732,623,0.009599775034473115,0.0,0.0,99.83974358974359,0.0,0.16025641025641027,0.0016025641025640969,0.0,0.0,0.0,0.0,6223724.0,9973.916666666666,52.0,52.0,52.0,52.0,44.79999999999927,44.79999999999927,0.0,0.0,0.0,0.0,0.0,0.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,1555931.0,1558461.0,0.9983766035852036,27048.0,9576.0,384390.0,2697116.0,0.006154514563949173,0.24704823028784695,0.0,0.0,0.0,1.0,1.0,1.0,46.0,6223724.0,81021756.0,-87247878.59999998
garrido_learning_v1,calibration,l-cal-000-700000,fb6136801fb5ac8f571ee00c65f7dd5b1b3fcb10c9cbe72474167e461fc62a13,700000,R1,current,104,static_I336_S1,336,1,624.0,623.0,0.0,623.0,0.009599975345167652,0.009599975345167652,0.31578947368421056,0.009314903846153846,0.009462759462759464,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009614768244576053,0.009230769230769226,0.009230769230769226,0.009615384615384732,623,0.009599775034473115,0.0,0.0,99.83974358974359,0.0,0.16025641025641027,0.0016025641025640969,0.0,0.0,0.0,0.0,6223724.0,9973.916666666666,52.0,52.0,52.0,52.0,44.79999999999927,44.79999999999927,0.0,0.0,0.0,0.0,0.0,0.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,1555931.0,1558461.0,0.9983766035852036,17472.0,0.0,768780.0,2360527.0,0.0,0.4940964605756939,0.0,0.0,0.0,1.0,1.0,1.0,0.0,6223724.0,81021756.0,-87245480.0
garrido_learning_v1,calibration,l-cal-000-700000,fb6136801fb5ac8f571ee00c65f7dd5b1b3fcb10c9cbe72474167e461fc62a13,700000,R1,current,104,static_I336_S2,336,2,624.0,623.0,0.0,623.0,0.009599975345167652,0.009599975345167652,0.31578947368421056,0.009314903846153846,0.009462759462759464,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.009614768244576053,0.009230769230769226,0.009230769230769226,0.009615384615384732,623,0.009599751468750788,0.0,0.0,99.83974358974359,0.0,0.16025641025641027,0.0016025641025640969,0.0,0.0,0.0,0.0,6224152.0,9974.602564102564,52.0,52.0,52.0,52.0,44.79999999999927,44.79999999999927,0.0,0.0,0.0,0.0,0.0,0.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,1556038.0,1558572.0,0.9983741527500815,34944.0,17472.0,768780.0,3838434.0,0.011228517555483864,0.4940624843352155,0.0,0.0,0.0,1.0,1.0,1.0,0.0,6224152.0,81027499.2,-87256019.2
