phase,policy,algo,frame_stack,observation_version,w_bo,w_cost,w_disr,seed_count,reward_total_mean,reward_total_std,reward_total_ci95_low,reward_total_ci95_high,service_loss_total_mean,service_loss_total_std,service_loss_total_ci95_low,service_loss_total_ci95_high,shift_cost_total_mean,shift_cost_total_std,shift_cost_total_ci95_low,shift_cost_total_ci95_high,mean_disruption_fraction_mean,mean_disruption_fraction_std,mean_disruption_fraction_ci95_low,mean_disruption_fraction_ci95_high,fill_rate_mean,fill_rate_std,fill_rate_ci95_low,fill_rate_ci95_high,backorder_rate_mean,backorder_rate_std,backorder_rate_ci95_low,backorder_rate_ci95_high,ret_thesis_corrected_total_mean,ret_thesis_corrected_total_std,ret_thesis_corrected_total_ci95_low,ret_thesis_corrected_total_ci95_high,pct_steps_S1_mean,pct_steps_S1_std,pct_steps_S1_ci95_low,pct_steps_S1_ci95_high,pct_steps_S2_mean,pct_steps_S2_std,pct_steps_S2_ci95_low,pct_steps_S2_ci95_high,pct_steps_S3_mean,pct_steps_S3_std,pct_steps_S3_ci95_low,pct_steps_S3_ci95_high
cross_eval_current,heuristic_disruption,ppo,1,v1,4.0,0.02,0.0,10,-10.422639785842009,2.016073318942881,-11.672214974921909,-9.173064596762108,2.1068099464605106,0.46983320167792336,1.8156043110769002,2.398015581844121,99.77000000000001,7.408711088981674,95.17803329280363,104.36196670719639,0.020235346672928072,0.0015324661783919227,0.019285514294993165,0.02118517905086298,0.99183149154867,0.0018493852309942299,0.9906852307068704,0.9929777523904696,0.008168508451329968,0.0018493852309942635,0.0070222476095303426,0.009314769293129594,255.19417596800903,0.3156137914071077,254.9985565134147,255.38979542260336,68.09230769230768,2.515187268454926,66.5333784723134,69.65123691230197,25.442307692307693,2.254023358746565,24.04524954058675,26.839365844028638,6.465384615384616,0.523431880569304,6.140958174645947,6.789811056123286
cross_eval_current,heuristic_hysteresis,ppo,1,v1,4.0,0.02,0.0,10,-14.874268791006116,2.077440165715252,-16.161879545776173,-13.586658036236061,2.2245671977515533,0.42074882685073905,1.9637843730758928,2.485350022427214,298.8,20.357253689478302,286.18244344133495,311.41755655866507,0.020483785469416156,0.0012832984696422968,0.019688388837368048,0.021279182101464265,0.9913788352942788,0.0016491687699011779,0.9903566699007333,0.9924010006878243,0.008621164705721097,0.0016491687699011777,0.007598999312175548,0.009643330099266646,255.13488940250073,0.26937532149988613,254.9679288484703,255.30184995653116,42.53846153846153,3.914856478745824,40.112008354102876,44.96491472282019,0.0,0.0,0.0,0.0,57.46153846153847,3.914856478745825,55.03508527717981,59.887991645897124
cross_eval_current,heuristic_tuned,ppo,1,v1,4.0,0.02,0.0,10,-14.651752259069642,2.7774051627263425,-16.373205813737506,-12.930298704401778,2.170438064767434,0.5799576568478707,1.8109765849170845,2.5298995446177837,298.5,24.97291866535962,283.02162465028493,313.97837534971507,0.020470959261478835,0.001026174254214515,0.019834929869248504,0.021106988653709167,0.9915853658420346,0.0022376126756618498,0.990198479137069,0.9929722525470002,0.008414634157965261,0.0022376126756618892,0.007027747452999645,0.009801520862930877,255.13308607026312,0.217206416854565,254.99846013832888,255.26771200219736,42.596153846153854,4.802484358723001,39.61954320197788,45.572764490329824,0.0,0.0,0.0,0.0,57.403846153846146,4.802484358723006,54.42723550967017,60.380456798022124
cross_eval_current,random,ppo,1,v1,4.0,0.02,0.0,10,-15.855982743246532,2.2726046972711744,-17.264557727903107,-14.447407758589957,2.664095685811657,0.5818346973959728,2.3034708041763787,3.024720567446935,259.97999999999996,5.952739798707075,256.29045364787964,263.6695463521203,0.02032826606323896,0.0013186144470378328,0.01951098036162333,0.02114555176485459,0.9895552660513471,0.002347784807426794,0.9881000939516551,0.9910104381510392,0.01044473394865281,0.0023477848074268176,0.008989561848960735,0.011899906048344885,255.16901108525468,0.27426326098032416,254.9990209549469,255.33900121556246,33.684615384615384,1.3850664032767046,32.826142333808775,34.54308843542199,32.63846153846154,0.8512279871618135,32.11086496594921,33.16605811097387,33.676923076923075,1.0319039550840368,33.03734237930115,34.316503774545
cross_eval_current,static_s1,ppo,1,v1,4.0,0.02,0.0,10,-140.98251389416401,5.295689899936948,-144.264816499851,-137.70021128847702,35.245628473541004,1.323922474984237,34.425052822119255,36.06620412496275,0.0,0.0,0.0,0.0,0.020515450288119623,0.0013931888901967163,0.01965194286776231,0.021378957708476937,0.8599959057218622,0.005087117556382608,0.8568428775940352,0.8631489338496893,0.1400040942781377,0.005087117556382612,0.13685106615031067,0.14315712240596473,255.13002755339804,0.28515749336663987,254.95328510790105,255.30676999889502,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cross_eval_current,static_s2,ppo,1,v1,4.0,0.02,0.0,10,-13.808703287731992,1.993516398187578,-15.044297552480902,-12.573109022983083,2.1521758219330254,0.49837909954689436,1.843277255745798,2.461074388120253,260.0,0.0,260.0,260.0,0.0201098840530927,0.001004696829086496,0.0194871665068717,0.020732601599313696,0.9916279873457554,0.001941842234299099,0.9904244210596047,0.9928315536319061,0.008372012654244584,0.0019418422342991277,0.007168446368093849,0.009575578940395318,255.21920542941407,0.20096761030277507,255.0946444140564,255.34376644477175,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
cross_eval_current,static_s3,ppo,1,v1,4.0,0.02,0.0,10,-19.373949546759654,1.7489191143848521,-20.457940844352347,-18.28995824916696,2.24348738668996,0.4372297785962142,1.972489562291786,2.514485211088134,520.0,0.0,520.0,520.0,0.020411826075654924,0.0011335696198736989,0.01970923234616118,0.02111441980514867,0.9913071937492889,0.0016997279674046697,0.9902536914404702,0.9923606960581076,0.008692806250711086,0.0016997279674046662,0.007639303941892398,0.009746308559529774,255.1510973065668,0.2377944281511141,255.00371079302727,255.29848382010636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0
cross_eval_severe,heuristic_disruption,ppo,1,v1,4.0,0.02,0.0,10,-388.2561435836957,9.295056528464778,-394.0172793072491,-382.49500786014227,95.28373589592391,2.323593818888083,93.84355752626799,96.72391426557984,356.06,1.8980691943832455,354.88356452507304,357.23643547492696,0.1317553656760763,0.001367018543852449,0.13090807880443323,0.13260265254771936,0.6267292278308545,0.008381443761999067,0.6215343551666231,0.6319241004950858,0.3732707721691454,0.008381443761999027,0.3680758995049141,0.3784656448333767,230.95114437411377,0.2913428167182348,230.77056822548508,231.13172052274246,0.0,0.0,0.0,0.0,63.05384615384615,0.7300266132243278,62.60137097118193,63.506321336510375,36.94615384615385,0.7300266132243252,36.493678663489625,37.39862902881807
cross_eval_severe,heuristic_hysteresis,ppo,1,v1,4.0,0.02,0.0,10,-388.39938589077434,4.826202026656172,-391.39069689783577,-385.4080748837129,94.49984647269353,1.2065505066640543,93.75201872092818,95.24767422445889,520.0,0.0,520.0,520.0,0.13204036464060726,0.0013764255195296876,0.13118724726503356,0.13289348201618095,0.6294673206143212,0.00442142952424273,0.626726890203459,0.6322077510251835,0.3705326793856788,0.004421429524242704,0.36779224897481655,0.37327310979654105,230.92308769726432,0.24436762001710288,230.7716270771972,231.07454831733145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0
cross_eval_severe,heuristic_tuned,ppo,1,v1,4.0,0.02,0.0,10,-388.94324865333306,9.511960045098027,-394.8388225693185,-383.0476747373476,94.63581216333321,2.377990011274495,93.16191868433687,96.10970564232956,520.0,0.0,520.0,520.0,0.13178015948726637,0.002692908841970521,0.13011107729478705,0.1334492416797457,0.6291227831932199,0.00910744705359998,0.6234779290269019,0.6347676373595379,0.3708772168067802,0.009107447053599994,0.36523236264046216,0.37652207097309826,230.95010354837146,0.49473340509388775,230.64346460701665,231.25674248972626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0
