phase,policy,algo,reward_mode,reward_family,frame_stack,observation_version,w_bo,w_cost,w_disr,seed_count,reward_total_mean,reward_total_std,reward_total_ci95_low,reward_total_ci95_high,service_loss_total_mean,service_loss_total_std,service_loss_total_ci95_low,service_loss_total_ci95_high,shift_cost_total_mean,shift_cost_total_std,shift_cost_total_ci95_low,shift_cost_total_ci95_high,mean_disruption_fraction_mean,mean_disruption_fraction_std,mean_disruption_fraction_ci95_low,mean_disruption_fraction_ci95_high,fill_rate_mean,fill_rate_std,fill_rate_ci95_low,fill_rate_ci95_high,backorder_rate_mean,backorder_rate_std,backorder_rate_ci95_low,backorder_rate_ci95_high,ret_thesis_corrected_total_mean,ret_thesis_corrected_total_std,ret_thesis_corrected_total_ci95_low,ret_thesis_corrected_total_ci95_high,order_level_ret_mean_mean,order_level_ret_mean_std,order_level_ret_mean_ci95_low,order_level_ret_mean_ci95_high,pct_steps_S1_mean,pct_steps_S1_std,pct_steps_S1_ci95_low,pct_steps_S1_ci95_high,pct_steps_S2_mean,pct_steps_S2_std,pct_steps_S2_ci95_low,pct_steps_S2_ci95_high,pct_steps_S3_mean,pct_steps_S3_std,pct_steps_S3_ci95_low,pct_steps_S3_ci95_high
heuristic_eval,heuristic_disruption,ppo,ReT_seq_v1,resilience_index,1,v1,1.0,0.02,0.0,3,135.86243937358037,0.5748220052832944,135.21196704018698,136.51291170697377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8028466940442357,0.00624485501609858,0.7957799753440301,0.8099134127444413,0.19715330595576439,0.006244855016098562,0.1900865872555588,0.20422002465596997,242.52806473593003,0.25626105468044025,242.238078053681,242.81805141817907,0.2074333143343623,0.003922444629813218,0.20299465038707032,0.21187197828165427,0.0,0.0,0.0,0.0,77.97435897435898,0.5107329304369779,77.39641025641026,78.55230769230769,22.025641025641022,0.5107329304369759,21.447692307692304,22.60358974358974
heuristic_eval,heuristic_hysteresis,ppo,ReT_seq_v1,resilience_index,1,v1,1.0,0.02,0.0,3,131.08994545596775,0.8444963001906272,130.13430793012813,132.04558298180737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.793371878417562,0.0010061802316067448,0.792233278299522,0.794510478535602,0.2066281215824379,0.0010061802316067483,0.2054895214643979,0.2077667217004779,242.3968345232156,0.531470923148377,241.7954185573451,242.9982504890861,0.20133911667118065,0.0013874624948785402,0.19976905505515974,0.20290917828720156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0
heuristic_eval,heuristic_tuned,ppo,ReT_seq_v1,resilience_index,1,v1,1.0,0.02,0.0,3,131.08994545596775,0.8444963001906272,130.13430793012813,132.04558298180737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.793371878417562,0.0010061802316067448,0.792233278299522,0.794510478535602,0.2066281215824379,0.0010061802316067483,0.2054895214643979,0.2077667217004779,242.3968345232156,0.531470923148377,241.7954185573451,242.9982504890861,0.20133911667118065,0.0013874624948785402,0.19976905505515974,0.20290917828720156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0
ppo_eval,ppo,ppo,ReT_seq_v1,resilience_index,1,v1,1.0,0.02,0.0,3,114.5908051479788,17.13661233990812,95.19890276298814,133.98270753296947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7119993568603932,0.07387313891458516,0.6284040306494851,0.7955946830713012,0.2880006431396069,0.07387313891458527,0.20440531692869876,0.371595969350515,242.21702712811202,0.5249468082029104,241.6229938933007,242.81106036292334,0.16906206654391254,0.02894613641427956,0.13630642962837602,0.20181770345944905,81.3076923076923,15.002810387611618,64.33041414055089,98.28497047483373,18.423076923076923,15.309238422112598,1.0990427918509766,35.74711105430287,0.2692307692307692,0.46632137126854395,-0.2584615384615386,0.7969230769230771
random_eval,random,ppo,ReT_seq_v1,resilience_index,1,v1,1.0,0.02,0.0,3,133.2644865206108,1.562169607659456,131.4967251953468,135.0322478458748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7927444325876056,0.005633048698159632,0.7863700379104138,0.7991188272647974,0.20725556741239426,0.005633048698159702,0.20088117273520234,0.21362996208958618,242.39980370341195,0.6771109997535008,241.63358047617322,243.16602693065067,0.1991347598070986,0.0018856864381022252,0.19700090472471332,0.2012686148894839,33.60256410256411,0.7500821782723115,32.75376621338599,34.45136199174223,33.205128205128204,0.5443813780913439,32.5891026841698,33.82115372608661,33.192307692307686,1.2480754415067636,31.77997737574682,34.604638008868555
static_screen,garrido_cf_s1,ppo,ReT_seq_v1,resilience_index,1,v1,1.0,0.02,0.0,3,96.77544197308231,1.609629336261415,94.95397490913366,98.59690903703095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6352029740072862,0.007519364739344962,0.6266940117847505,0.6437119362298219,0.3647970259927138,0.0075193647393449895,0.356288063770178,0.3733059882152496,242.36074205375994,0.1598384969002602,242.17986776730396,242.5416163402159,0.14162658304480594,0.004068204260915872,0.13702297654749593,0.14623018954211595,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static_screen,garrido_cf_s2,ppo,ReT_seq_v1,resilience_index,1,v1,1.0,0.02,0.0,3,130.98454211750908,1.208185504840049,129.61735151366628,132.35173272135188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7873181426142667,0.0032659224273940374,0.7836224034767543,0.7910138817517791,0.21268185738573323,0.003265922427394004,0.20898611824822083,0.21637759652324562,242.4258404623246,0.4621615539158596,241.90285543110227,242.94882549354693,0.19577169695680477,0.004766422170045371,0.19037798251582846,0.20116541139778107,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
static_screen,garrido_cf_s3,ppo,ReT_seq_v1,resilience_index,1,v1,1.0,0.02,0.0,3,132.17503140660526,3.808115078112856,127.86574352631634,136.48431928689416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7946254838274732,0.01461522909497832,0.7780867951810558,0.8111641724738906,0.20537451617252667,0.014615229094978371,0.1888358275261092,0.22191320481894414,242.45098965166957,0.21343477382396206,242.20946546839104,242.6925138349481,0.20476679014033686,0.009444543972250781,0.19407928253102247,0.21545429774965125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0
static_screen,static_s1,ppo,ReT_seq_v1,resilience_index,1,v1,1.0,0.02,0.0,3,98.22796037784337,3.6523049126058784,94.0949882979104,102.36093245777634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6435042787912637,0.015844391485861878,0.6255746619598277,0.6614338956226997,0.35649572120873635,0.01584439148586191,0.3385661043773003,0.3744253380401724,242.405886474108,0.6338172100121593,241.68865478194562,243.1231181662704,0.14139110333516616,0.007004688272578281,0.1334645523620317,0.14931765430830063,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static_screen,static_s2,ppo,ReT_seq_v1,resilience_index,1,v1,1.0,0.02,0.0,3,134.01672187558665,2.0461823853297343,131.7012485316635,136.3321952195098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7923327108980157,0.005358291922925457,0.7862692327811844,0.798396189014847,0.20766728910198431,0.005358291922925531,0.20160381098515293,0.2137307672188157,242.67508211862443,0.35939034301604234,242.2683936605069,243.08177057674197,0.20169827085645822,0.003550916101171489,0.1976800310173712,0.20571651069554525,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
