phase,risk_level,policy,algo,reward_mode,reward_family,frame_stack,observation_version,seed,episode,eval_seed,w_bo,w_cost,w_disr,step,shifts_active,fill_rate,backorder_rate,disruption_fraction,reward,service_loss
proof_increased,increased,ppo,ppo,ReT_garrido2024_raw,resilience_index,1,v1,11,1,80011,1.0,0.02,0.0,27,1,0.22842639684677124,0.7715736031532288,0.0,1.7361408952114432,0.0
proof_increased,increased,ppo,ppo,ReT_garrido2024_raw,resilience_index,1,v1,11,1,80011,1.0,0.02,0.0,28,1,0.2266009896993637,0.7733989953994751,0.0,1.7312873991044984,0.0
proof_increased,increased,ppo,ppo,ReT_garrido2024_raw,resilience_index,1,v1,11,1,80011,1.0,0.02,0.0,29,1,0.22966507077217102,0.7703348994255066,0.0,1.7268404832089443,0.0
proof_increased,increased,ppo,ppo,ReT_garrido2024_raw,resilience_index,1,v1,11,1,80011,1.0,0.02,0.0,30,1,0.2186046540737152,0.7813953757286072,0.0,1.722010092485762,0.0
proof_increased,increased,ppo,ppo,ReT_garrido2024_raw,resilience_index,1,v1,11,1,80011,1.0,0.02,0.0,31,2,0.22624434530735016,0.773755669593811,0.0,1.7170253064484222,0.0
proof_increased,increased,ppo,ppo,ReT_garrido2024_raw,resilience_index,1,v1,11,1,80011,1.0,0.02,0.0,32,1,0.22466960549354553,0.7753304243087769,0.0,1.7118476425925981,0.0
proof_increased,increased,ppo,ppo,ReT_garrido2024_raw,resilience_index,1,v1,11,1,80011,1.0,0.02,0.0,33,1,0.21888412535190582,0.7811158895492554,0.0,1.7068531091060846,0.0
proof_increased,increased,ppo,ppo,ReT_garrido2024_raw,resilience_index,1,v1,11,1,80011,1.0,0.02,0.0,34,2,0.21757322549819946,0.7824267745018005,0.0,1.700980961739229,0.0
proof_increased,increased,ppo,ppo,ReT_garrido2024_raw,resilience_index,1,v1,11,1,80011,1.0,0.02,0.0,35,1,0.2163265347480774,0.7836734652519226,0.0,1.695719111509611,0.0
proof_increased,increased,ppo,ppo,ReT_garrido2024_raw,resilience_index,1,v1,11,1,80011,1.0,0.02,0.0,36,1,0.22310757637023926,0.7768924236297607,0.0,1.6907539397825355,0.0
proof_increased,increased,ppo,ppo,ReT_garrido2024_raw,resilience_index,1,v1,11,1,80011,1.0,0.02,0.0,37,2,0.2217898815870285,0.7782101035118103,0.0,1.6857699499346481,0.0
proof_increased,increased,ppo,ppo,ReT_garrido2024_raw,resilience_index,1,v1,11,1,80011,1.0,0.02,0.0,38,2,0.2167300432920456,0.7832699418067932,0.0,1.680049634143382,0.0
proof_increased,increased,ppo,ppo,ReT_garrido2024_raw,resilience_index,1,v1,11,1,80011,1.0,0.02,0.0,39,2,0.2118959128856659,0.7881041169166565,0.0,1.6740996896047793,0.0
proof_increased,increased,ppo,ppo,ReT_garrido2024_raw,resilience_index,1,v1,11,1,80011,1.0,0.02,0.0,40,1,0.23636363446712494,0.7636363506317139,0.0,1.6693305017362132,0.0
proof_increased,increased,ppo,ppo,ReT_garrido2024_raw,resilience_index,1,v1,11,1,80011,1.0,0.02,0.0,41,1,0.24199287593364716,0.7580071091651917,0.0,1.6644708231892085,0.0
proof_increased,increased,ppo,ppo,ReT_garrido2024_raw,resilience_index,1,v1,11,1,80011,1.0,0.02,0.0,42,2,0.24390244483947754,0.7560975551605225,0.0,1.6594021689689813,0.0
proof_increased,increased,ppo,ppo,ReT_garrido2024_raw,resilience_index,1,v1,11,1,80011,1.0,0.02,0.0,43,1,0.2389078438282013,0.7610921263694763,0.0,1.6544645657203676,0.0
proof_increased,increased,ppo,ppo,ReT_garrido2024_raw,resilience_index,1,v1,11,1,80011,1.0,0.02,0.0,44,1,0.23745819926261902,0.7625418305397034,0.0,1.649568467456319,0.0
proof_increased,increased,ppo,ppo,ReT_garrido2024_raw,resilience_index,1,v1,11,1,80011,1.0,0.02,0.0,45,2,0.2360655665397644,0.7639344334602356,0.0,1.644348324894783,0.0
proof_increased,increased,ppo,ppo,ReT_garrido2024_raw,resilience_index,1,v1,11,1,80011,1.0,0.02,0.0,46,2,0.22829581797122955,0.7717041969299316,0.0,1.6388622026890096,0.0
proof_increased,increased,ppo,ppo,ReT_garrido2024_raw,resilience_index,1,v1,11,1,80011,1.0,0.02,0.0,47,2,0.23659305274486542,0.7634069323539734,0.0,1.6337202681263765,0.0
proof_increased,increased,ppo,ppo,ReT_garrido2024_raw,resilience_index,1,v1,11,1,80011,1.0,0.02,0.0,48,1,0.23839008808135986,0.7616099119186401,0.0,1.628767824378799,0.0
proof_increased,increased,ppo,ppo,ReT_garrido2024_raw,resilience_index,1,v1,11,1,80011,1.0,0.02,0.0,49,2,0.24316109716892242,0.7568389177322388,0.0,1.6241482894768102,0.0
proof_increased,increased,ppo,ppo,ReT_garrido2024_raw,resilience_index,1,v1,11,1,80011,1.0,0.02,0.0,50,1,0.24776118993759155,0.7522388100624084,0.0,1.6196010655935709,0.0
proof_increased,increased,ppo,ppo,ReT_garrido2024_raw,resilience_index,1,v1,11,1,80011,1.0,0.02,0.0,51,1,0.24633431434631348,0.7536656856536865,0.0,1.6151036764991695,0.0
proof_increased,increased,ppo,ppo,ReT_garrido2024_raw,resilience_index,1,v1,11,1,80011,1.0,0.02,0.0,52,2,0.24207492172718048,0.7579250931739807,0.0,1.6103636003432975,0.0
proof_increased,increased,ppo,ppo,ReT_garrido2024_raw,resilience_index,1,v1,11,1,80011,1.0,0.02,0.0,53,3,0.24362605810165405,0.756373941898346,0.0,1.6056254200832778,0.0
