phase,policy,algo,reward_mode,reward_family,frame_stack,observation_version,seed,episode,eval_seed,w_bo,w_cost,w_disr,steps,reward_total,service_loss_total,shift_cost_total,mean_disruption_fraction,fill_rate,backorder_rate,ret_thesis_corrected_total,order_level_ret_mean,demanded_total,delivered_total,backorder_qty_total,flow_fill_rate,flow_backorder_rate,fill_rate_state_terminal,backorder_rate_state_terminal,pct_steps_S1,pct_steps_S2,pct_steps_S3
ppo_eval,ppo,ppo,ReT_garrido2024_raw,resilience_index,1,v1,11,1,80011,1.0,0.02,0.0,260,369.30208059997796,0.0,0.0,0.0,0.6544996853366898,0.3455003146633102,242.42627288114474,0.15384294054677117,4590343.0,3273882.0,3172568.0,0.30886036185095533,0.6911396381490447,0.6551290119572057,0.3448709880427942,16.153846153846153,75.76923076923077,8.076923076923077
ppo_eval,ppo,ppo,ReT_garrido2024_raw,resilience_index,1,v1,11,2,80012,1.0,0.02,0.0,260,315.57228361176766,0.0,0.0,0.0,0.6979232221522971,0.3020767778477029,240.6990130838509,0.19468381221625908,4556185.0,3413656.0,2945163.0,0.3535901198041783,0.6464098801958217,0.698552548772813,0.3014474512271869,13.076923076923077,81.15384615384616,5.769230769230769
ppo_eval,ppo,ppo,ReT_garrido2024_raw,resilience_index,1,v1,11,3,80013,1.0,0.02,0.0,260,365.727780811394,0.0,0.0,0.0,0.670862177470107,0.329137822529893,241.2334236725809,0.1476540345185935,4565360.0,3317076.0,3256936.0,0.28659820912261025,0.7134017908773898,0.6714915040906231,0.328508495909377,14.23076923076923,72.6923076923077,13.076923076923077
ppo_eval,ppo,ppo,ReT_garrido2024_raw,resilience_index,1,v1,11,4,80014,1.0,0.02,0.0,260,316.1901379412073,0.0,0.0,0.0,0.6777847702957835,0.32221522970421645,241.78602214530602,0.16167991271472482,4555413.0,3328993.0,3154932.0,0.307432278917411,0.692567721082589,0.6777847702957835,0.3222152297042165,13.076923076923077,80.76923076923077,6.153846153846154
ppo_eval,ppo,ppo,ReT_garrido2024_raw,resilience_index,1,v1,11,5,80015,1.0,0.02,0.0,260,325.0868111912678,0.0,0.0,0.0,0.6645689112649464,0.33543108873505356,242.47060024296223,0.16559935494131173,4568432.0,3283617.0,3068484.0,0.32832884455760747,0.6716711554423925,0.6651982378854626,0.33480176211453744,16.923076923076923,77.6923076923077,5.384615384615385
ppo_eval,ppo,ppo,ReT_garrido2024_raw,resilience_index,1,v1,11,6,80016,1.0,0.02,0.0,260,313.2861363497212,0.0,0.0,0.0,0.7010698552548773,0.2989301447451227,241.89402146476854,0.1927414291670538,4514817.0,3392929.0,2982134.0,0.33947843290215307,0.6605215670978469,0.7016991818753933,0.2983008181246067,13.846153846153847,71.53846153846153,14.615384615384615
ppo_eval,ppo,ppo,ReT_garrido2024_raw,resilience_index,1,v1,11,7,80017,1.0,0.02,0.0,260,365.98772167881197,0.0,0.0,0.0,0.6696035242290749,0.3303964757709251,242.40425800910583,0.17432166533812052,4549059.0,3298909.0,3026947.0,0.3345993094396006,0.6654006905603994,0.6702328508495909,0.32976714915040906,15.76923076923077,77.3076923076923,6.923076923076923
ppo_eval,ppo,ppo,ReT_garrido2024_raw,resilience_index,1,v1,11,8,80018,1.0,0.02,0.0,260,314.9426946475348,0.0,0.0,0.0,0.6928886091881686,0.30711139081183136,243.1836622024451,0.16306312505680756,4569477.0,3409537.0,3067546.0,0.328687725094141,0.671312274905859,0.6935179358086847,0.3064820641913153,15.384615384615385,76.92307692307692,7.6923076923076925
ppo_eval,ppo,ppo,ReT_garrido2024_raw,resilience_index,1,v1,11,9,80019,1.0,0.02,0.0,260,365.8111428088982,0.0,0.0,0.0,0.6878539962240402,0.3121460037759598,242.50174225782519,0.1676442865157561,4581543.0,3396748.0,3071412.0,0.329611879665868,0.670388120334132,0.6884833228445564,0.3115166771554437,13.461538461538462,80.76923076923077,5.769230769230769
ppo_eval,ppo,ppo,ReT_garrido2024_raw,resilience_index,1,v1,11,10,80020,1.0,0.02,0.0,260,366.26204008959104,0.0,0.0,0.0,0.7035871617369415,0.29641283826305853,241.38937401939205,0.18753269581621784,4533889.0,3419089.0,3005045.0,0.3372036677563125,0.6627963322436875,0.7035871617369415,0.29641283826305853,14.615384615384615,80.76923076923077,4.615384615384615
