op3_inventory_target,op5_inventory_target,op9_inventory_target,risk_frequency_scale,risk_impact_scale,demand_level
0.0,0.0,36000.00000000001,1.1428571428571428,1.1428571428571428,0.75
0.0,70217.14285714286,36000.00000000001,1.1428571428571428,1.1428571428571428,0.75
70217.14285714286,70217.14285714286,36000.00000000001,1.1428571428571428,1.1428571428571428,0.75
70217.14285714286,70217.14285714286,36000.00000000001,2.0,1.1428571428571428,0.75
70217.14285714286,70217.14285714286,108000.00000000001,2.0,1.1428571428571428,0.75
70217.14285714286,70217.14285714286,108000.00000000001,2.0,2.0,0.75
70217.14285714286,70217.14285714286,108000.00000000001,2.0,2.0,1.1785714285714286
17554.285714285717,35108.571428571435,0.0,1.1428571428571428,1.1428571428571428,0.9642857142857143
17554.285714285717,35108.571428571435,72000.0,1.1428571428571428,1.1428571428571428,0.9642857142857143
17554.285714285717,35108.571428571435,72000.0,1.1428571428571428,2.0,0.9642857142857143
17554.285714285717,35108.571428571435,72000.0,1.1428571428571428,2.0,1.3928571428571428
87771.42857142858,35108.571428571435,72000.0,1.1428571428571428,2.0,1.3928571428571428
87771.42857142858,105325.71428571429,72000.0,1.1428571428571428,2.0,1.3928571428571428
87771.42857142858,105325.71428571429,72000.0,2.0,2.0,1.3928571428571428
17554.285714285717,52662.857142857145,54000.00000000001,0.5,1.1428571428571428,0.8571428571428572
17554.285714285717,52662.857142857145,54000.00000000001,0.5,1.1428571428571428,1.2857142857142856
17554.285714285717,52662.857142857145,54000.00000000001,1.3571428571428572,1.1428571428571428,1.2857142857142856
17554.285714285717,122880.0,54000.00000000001,1.3571428571428572,1.1428571428571428,1.2857142857142856
17554.285714285717,122880.0,126000.0,1.3571428571428572,1.1428571428571428,1.2857142857142856
17554.285714285717,122880.0,126000.0,1.3571428571428572,2.0,1.2857142857142856
87771.42857142858,122880.0,126000.0,1.3571428571428572,2.0,1.2857142857142856
0.0,35108.571428571435,18000.000000000004,0.7142857142857143,0.9285714285714286,0.75
0.0,35108.571428571435,18000.000000000004,1.5714285714285714,0.9285714285714286,0.75
70217.14285714286,35108.571428571435,18000.000000000004,1.5714285714285714,0.9285714285714286,0.75
