policy_id,inventory_threshold,maximum_wait_hours,mean_ret,ret_ci_low,ret_ci_high,mean_service_loss,mean_departures,mean_vehicle_hours,mean_load_factor,mean_dispatch_feasible_fraction,strong_live_fraction,mean_unavailable_hours,lost_deg_ci_high,service_deg_ci_high,backlog_deg_ci_high,admissible,pareto_nondominated
threshold_1000__wait_24h,1000.0,24.0,0.6322697922770326,0.5792888503619275,0.6846135084876847,63614298.5,54.31666666666667,2632.05,0.6942189111496153,0.48541666666666655,,2632.05,0.0,-0.014296901611290578,-0.015365193987140521,True,False
threshold_1000__wait_48h,1000.0,48.0,0.6338371961475495,0.5808511968616791,0.685857587049581,63571275.43333333,53.36666666666667,2570.616666666667,0.712822032037599,0.49270833333333325,,2570.616666666667,0.0,-0.014865989997534891,-0.015292022171248719,True,False
threshold_1000__wait_72h,1000.0,72.0,0.6338928541650662,0.5808915233165854,0.6858961682884743,63563298.233333334,53.333333333333336,2569.016666666667,0.7132753677451014,0.4930059523809523,,2569.016666666667,0.0,-0.014975926287754545,-0.01539750843913632,True,True
threshold_2500__wait_24h,2500.0,24.0,0.6317993653300051,0.5788127255978093,0.684065911210751,63623011.666666664,54.166666666666664,2624.45,0.6963983220021636,0.48630952380952375,,2624.45,0.0,-0.014132257528258039,-0.01519223190779786,True,False
threshold_2500__wait_48h,2500.0,48.0,0.6332600975754221,0.5801043852066811,0.6855588092284705,63582098.233333334,53.15,2560.2166666666667,0.715841343570717,0.49389880952380943,,2560.2166666666667,0.0,-0.014785503725728266,-0.015212507086285352,True,True
threshold_2500__wait_72h,2500.0,72.0,0.6331164328378857,0.5801160767285258,0.6853990569748466,63573196.63333333,53.11666666666667,2558.616666666667,0.7162946792782193,0.49419642857142854,,2558.616666666667,0.0,-0.014836810247415727,-0.01526104104749315,True,True
threshold_5000__wait_24h,5000.0,24.0,0.6287058156733825,0.575263984507031,0.6813861939263243,64205374.06666667,49.36666666666667,2377.4,0.7709762201255472,0.5288690476190475,,2377.4,0.0,-0.005194081691597104,-0.005345771327321875,True,True
threshold_5000__wait_48h,5000.0,48.0,0.6256034823831729,0.5720198438586862,0.6786761327785286,64590595.2,48.28333333333333,2346.7166666666667,0.7787067090541331,0.5321428571428571,,2346.7166666666667,0.0,0.0,0.0,True,True
threshold_5000__wait_72h,5000.0,72.0,0.6192628185582106,0.5644125800361555,0.6729648419107825,64868087.86666667,47.96666666666667,2331.45,0.7839321520484301,0.5504464285714286,,2331.45,0.0,0.005303659767981374,0.005491146433314381,True,True
