phase,policy,algo,reward_mode,reward_family,frame_stack,observation_version,w_bo,w_cost,w_disr,seed_count,reward_total_mean,reward_total_std,reward_total_ci95_low,reward_total_ci95_high,service_loss_total_mean,service_loss_total_std,service_loss_total_ci95_low,service_loss_total_ci95_high,shift_cost_total_mean,shift_cost_total_std,shift_cost_total_ci95_low,shift_cost_total_ci95_high,mean_disruption_fraction_mean,mean_disruption_fraction_std,mean_disruption_fraction_ci95_low,mean_disruption_fraction_ci95_high,fill_rate_mean,fill_rate_std,fill_rate_ci95_low,fill_rate_ci95_high,backorder_rate_mean,backorder_rate_std,backorder_rate_ci95_low,backorder_rate_ci95_high,ret_thesis_corrected_total_mean,ret_thesis_corrected_total_std,ret_thesis_corrected_total_ci95_low,ret_thesis_corrected_total_ci95_high,order_level_ret_mean_mean,order_level_ret_mean_std,order_level_ret_mean_ci95_low,order_level_ret_mean_ci95_high,pct_steps_S1_mean,pct_steps_S1_std,pct_steps_S1_ci95_low,pct_steps_S1_ci95_high,pct_steps_S2_mean,pct_steps_S2_std,pct_steps_S2_ci95_low,pct_steps_S2_ci95_high,pct_steps_S3_mean,pct_steps_S3_std,pct_steps_S3_ci95_low,pct_steps_S3_ci95_high
heuristic_eval,heuristic_disruption,ppo,ReT_garrido2024_raw,resilience_index,1,v1,1.0,0.02,0.0,3,338.6148019265679,9.01055772527985,328.4183959872195,348.8112078659163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7941262848751837,0.007654105520348983,0.7854648491053282,0.8027877206450391,0.20587371512481645,0.007654105520348963,0.19721227935496108,0.21453515089467182,242.48491115234947,0.4316307192109475,241.99647501297264,242.9733472917263,0.2025925424382574,0.0017876796514766876,0.20056959247536782,0.20461549240114696,0.0,0.0,0.0,0.0,77.56410256410257,1.0265220574915928,76.40248350310773,78.7257216250974,22.43589743589743,1.0265220574915865,21.274278374902593,23.59751649689227
heuristic_eval,heuristic_hysteresis,ppo,ReT_garrido2024_raw,resilience_index,1,v1,1.0,0.02,0.0,3,311.0377827188618,2.9155765006869934,307.73849731893324,314.3370681187904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7896790434235369,0.007181772159198291,0.7815521031683684,0.7978059836787054,0.21032095657646319,0.007181772159198324,0.20219401632129463,0.21844789683163174,242.6896335996898,0.40191137371873076,242.23482806566832,243.1444391337113,0.1995689300812272,0.0026678160617138215,0.19655001201132458,0.20258784815112982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0
heuristic_eval,heuristic_tuned,ppo,ReT_garrido2024_raw,resilience_index,1,v1,1.0,0.02,0.0,3,311.0377827188618,2.9155765006869934,307.73849731893324,314.3370681187904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7896790434235369,0.007181772159198291,0.7815521031683684,0.7978059836787054,0.21032095657646319,0.007181772159198324,0.20219401632129463,0.21844789683163174,242.6896335996898,0.40191137371873076,242.23482806566832,243.1444391337113,0.1995689300812272,0.0026678160617138215,0.19655001201132458,0.20258784815112982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0
random_eval,random,ppo,ReT_garrido2024_raw,resilience_index,1,v1,1.0,0.02,0.0,3,343.75786867366475,2.38489351774129,341.05910760132997,346.4566297459995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7938745542269773,0.007422942392210959,0.785474704161866,0.8022744042920885,0.20612544577302286,0.007422942392211016,0.1977255957079115,0.2145252958381342,242.63731499304268,0.6145070681438296,241.94193478346762,243.33269520261774,0.19933022656946311,0.003248388678530391,0.19565432873661828,0.20300612440230795,33.60256410256411,0.7500821782723115,32.75376621338599,34.45136199174223,33.205128205128204,0.5443813780913439,32.5891026841698,33.82115372608661,33.192307692307686,1.2480754415067636,31.77997737574682,34.604638008868555
static_screen,static_s1,ppo,ReT_garrido2024_raw,resilience_index,1,v1,1.0,0.02,0.0,3,408.1989931416062,1.4132916810858625,406.5997030498702,409.7982832333422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6097126075099644,0.005040247528765626,0.6040090305056346,0.6154161845142941,0.39028739249003563,0.005040247528765608,0.3845838154857059,0.39599096949436535,242.5988855801497,0.9536583726573761,241.51971954053909,243.6780516197603,0.13494765601542336,0.00213926949552028,0.13252684468997208,0.13736846734087463,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static_screen,static_s2,ppo,ReT_garrido2024_raw,resilience_index,1,v1,1.0,0.02,0.0,3,343.9220050956242,5.677846741911239,337.4969166596988,350.34709353154955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7977344241661423,0.0008810572687224675,0.7967374140096563,0.7987314343226283,0.20226557583385776,0.0008810572687224874,0.2012685656773717,0.20326258599034383,242.66932541443506,0.6265265871818363,241.96034383865785,243.37830699021228,0.19997028837317146,0.0032805580534201666,0.19625798746571219,0.20368258928063074,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
static_screen,static_s3,ppo,ReT_garrido2024_raw,resilience_index,1,v1,1.0,0.02,0.0,3,311.0377827188618,2.9155765006869934,307.73849731893324,314.3370681187904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7896790434235369,0.007181772159198291,0.7815521031683684,0.7978059836787054,0.21032095657646319,0.007181772159198324,0.20219401632129463,0.21844789683163174,242.6896335996898,0.40191137371873076,242.23482806566832,243.1444391337113,0.1995689300812272,0.0026678160617138215,0.19655001201132458,0.20258784815112982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0
