phase,policy,algo,reward_mode,reward_family,frame_stack,observation_version,seed,episode,eval_seed,w_bo,w_cost,w_disr,steps,reward_total,service_loss_total,shift_cost_total,mean_disruption_fraction,fill_rate,backorder_rate,ret_thesis_corrected_total,ret_unified_total,ret_garrido2024_raw_total,ret_garrido2024_train_total,ret_garrido2024_sigmoid_total,order_level_ret_mean,demanded_total,delivered_total,backorder_qty_total,flow_fill_rate,flow_backorder_rate,fill_rate_state_terminal,backorder_rate_state_terminal,pct_steps_S1,pct_steps_S2,pct_steps_S3
static_screen,static_s1,ppo,ReT_unified_v1,resilience_index,1,v5,11,1,80011,1.0,0.02,0.0,910,373.8434997183797,0.0,0.0,0.0,0.6586102719033233,0.34138972809667667,843.2432383138956,373.8434997183797,1323.4280141919069,920.4846945984262,539.1525506551218,0.1252828935733349,4508247.0,3205547.0,3262787.0,0.2762625916459325,0.7237374083540675,0.659214501510574,0.34078549848942596,100.0,0.0,0.0
static_screen,static_s1,ppo,ReT_unified_v1,resilience_index,1,v5,11,2,80012,1.0,0.02,0.0,910,342.58829299157276,0.0,0.0,0.0,0.6164960866947622,0.3835039133052378,846.3021634504915,342.58829299157276,1350.2701944289074,888.6372515784592,543.5923423822919,0.11353778887975437,4575454.0,3120395.0,3461841.0,0.2433885249420058,0.7566114750579942,0.617098133654425,0.38290186634557494,100.0,0.0,0.0
static_screen,static_s1,ppo,ReT_unified_v1,resilience_index,1,v5,11,3,80013,1.0,0.02,0.0,910,344.1254893180351,0.0,0.0,0.0,0.6215888417222559,0.3784111582777441,849.0580563041842,344.1254893180351,1338.391585803881,905.5123200908826,541.6142242016614,0.11935849908876821,4589649.0,3130456.0,3425506.0,0.2536453223329278,0.7463546776670722,0.6215888417222559,0.3784111582777441,100.0,0.0,0.0
static_screen,static_s1,ppo,ReT_unified_v1,resilience_index,1,v5,11,4,80014,1.0,0.02,0.0,910,336.9036440200148,0.0,0.0,0.0,0.6189042745334137,0.3810957254665863,843.1871849927259,336.9036440200148,1305.3424385286871,904.2999045299345,536.0616329677799,0.12358255974500418,4565248.0,3127718.0,3423667.0,0.25005892341445635,0.7499410765855437,0.6195063214930765,0.38049367850692356,100.0,0.0,0.0
static_screen,static_s1,ppo,ReT_unified_v1,resilience_index,1,v5,11,5,80015,1.0,0.02,0.0,910,340.92807246147976,0.0,0.0,0.0,0.6008428657435281,0.3991571342564719,845.0636250782551,340.92807246147976,1347.9850958640493,887.4716135345408,543.227014099629,0.11346633864113853,4591417.0,3044857.0,3469187.0,0.24441909763369352,0.7555809023663065,0.6014449127031909,0.39855508729680916,100.0,0.0,0.0
static_screen,static_s1,ppo,ReT_unified_v1,resilience_index,1,v5,11,6,80016,1.0,0.02,0.0,910,368.0837331506327,0.0,0.0,0.0,0.6381697772426249,0.3618302227573751,851.8698361225893,368.0837331506327,1283.0379370365401,923.440218577107,532.3742371296414,0.11478625676969252,4579531.0,3284978.0,3224005.0,0.29599668612353536,0.7040033138764646,0.6387718242022877,0.3612281757977122,100.0,0.0,0.0
static_screen,static_s1,ppo,ReT_unified_v1,resilience_index,1,v5,11,7,80017,1.0,0.02,0.0,910,354.8232586524052,0.0,0.0,0.0,0.6086694762191451,0.39133052378085487,845.2018270200534,354.8232586524052,1330.1391593408541,885.0143016738156,540.2957488406888,0.11771359219173304,4553279.0,3060075.0,3363758.0,0.2612449182226698,0.7387550817773302,0.609271523178808,0.39072847682119205,100.0,0.0,0.0
static_screen,static_s1,ppo,ReT_unified_v1,resilience_index,1,v5,11,8,80018,1.0,0.02,0.0,910,371.32438976523144,0.0,0.0,0.0,0.6315472606863335,0.3684527393136665,847.9378631291667,371.32438976523144,1352.0148834969534,888.6278004766439,543.8764480840662,0.12760115004348496,4534419.0,3154996.0,3194635.0,0.2954698275567388,0.7045301724432612,0.6321493076459963,0.36785069235400364,100.0,0.0,0.0
static_screen,static_s1,ppo,ReT_unified_v1,resilience_index,1,v5,11,9,80019,1.0,0.02,0.0,910,361.0694365608306,0.0,0.0,0.0,0.6628119293974437,0.3371880706025563,849.9745096720129,361.0694365608306,1344.2790468907867,906.8992893004058,542.6249363868841,0.12883656907988564,4559829.0,3262508.0,3273120.0,0.282183608201097,0.717816391798903,0.663420572124163,0.3365794278758369,100.0,0.0,0.0
static_screen,static_s1,ppo,ReT_unified_v1,resilience_index,1,v5,11,10,80020,1.0,0.02,0.0,910,345.06930882055,0.0,0.0,0.0,0.6116797110174594,0.38832028898254056,844.8072172643975,345.06930882055,1324.6983798968104,886.0454495804074,539.3856800236686,0.099906405369221,4531920.0,3044800.0,3414404.0,0.24658775971332236,0.7534122402866776,0.6122817579771223,0.3877182420228778,100.0,0.0,0.0
