seed,algo,reward_mode,reward_family,w_bo,w_cost,w_disr,episode_index,timesteps,progress_fraction,episode_reward,episode_length,time_elapsed_seconds
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,49,44590,0.4459,420.011495,910,89.796251
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,50,45500,0.455,454.117879,910,91.716337
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,51,46410,0.4641,455.195799,910,93.655942
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,52,47320,0.4732,445.985763,910,96.109544
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,53,48230,0.4823,431.427013,910,98.088959
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,54,49140,0.4914,457.310399,910,99.722927
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,55,50050,0.5005,419.000883,910,101.512987
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,56,50960,0.5096,447.369839,910,103.36564
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,57,51870,0.5187,446.448618,910,105.250574
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,58,52780,0.5278,473.836115,910,107.112667
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,59,53690,0.5369,447.340023,910,109.042975
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,60,54600,0.546,443.524145,910,111.008479
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,61,55510,0.5551,469.804189,910,112.857901
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,62,56420,0.5642,458.936993,910,114.768951
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,63,57330,0.5733,446.721015,910,116.382844
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,64,58240,0.5824,452.257526,910,118.359785
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,65,59150,0.5915,454.866983,910,120.194276
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,66,60060,0.6006,442.829495,910,122.02513
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,67,60970,0.6097,480.950741,910,123.910001
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,68,61880,0.6188,469.264544,910,125.798838
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,69,62790,0.6279,408.734266,910,127.606405
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,70,63700,0.637,442.916224,910,129.396891
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,71,64610,0.6461,459.946258,910,131.209331
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,72,65520,0.6552,410.047374,910,132.799509
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,73,66430,0.6643,445.283537,910,134.698665
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,74,67340,0.6734,482.327405,910,136.570468
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,75,68250,0.6825,410.726031,910,138.461342
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,76,69160,0.6916,483.979897,910,140.322622
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,77,70070,0.7007,471.709027,910,142.222425
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,78,70980,0.7098,440.497543,910,144.118414
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,79,71890,0.7189,451.468021,910,145.947334
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,80,72800,0.728,489.695736,910,147.725111
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,81,73710,0.7371,443.050219,910,149.348845
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,82,74620,0.7462,449.871561,910,151.189832
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,83,75530,0.7553,469.135984,910,153.03678
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,84,76440,0.7644,474.743727,910,154.831697
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,85,77350,0.7735,456.366685,910,156.611685
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,86,78260,0.7826,477.793097,910,158.51753
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,87,79170,0.7917,483.955796,910,160.416214
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,88,80080,0.8008,408.48551,910,162.264531
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,89,80990,0.8099,486.771924,910,164.135872
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,90,81900,0.819,468.597348,910,165.711777
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,91,82810,0.8281,485.822202,910,167.849284
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,92,83720,0.8372,445.318187,910,169.854574
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,93,84630,0.8463,463.429596,910,171.703197
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,94,85540,0.8554,438.514307,910,173.524913
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,95,86450,0.8645,417.837657,910,175.371015
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,96,87360,0.8736,492.139186,910,177.299714
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,97,88270,0.8827,444.845233,910,179.209039
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,98,89180,0.8918,432.985952,910,181.053353
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,99,90090,0.9009,470.166637,910,182.646069
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,100,91000,0.91,482.298612,910,184.535647
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,101,91910,0.9191,470.426484,910,186.417122
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,102,92820,0.9282,446.862084,910,188.29558
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,103,93730,0.9373,453.848144,910,190.110544
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,104,94640,0.9464,483.260405,910,191.961491
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,105,95550,0.9555,442.993186,910,193.80474
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,106,96460,0.9646,471.152198,910,195.698242
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,107,97370,0.9737,439.618217,910,197.711191
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,108,98280,0.9828,417.932102,910,199.263152
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,109,99190,0.9919,487.080178,910,201.075411
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,110,100100,1.0,431.568655,910,202.946607
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,1,910,0.0091,460.052174,910,1.573405
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,2,1820,0.0182,443.177575,910,3.553733
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,3,2730,0.0273,493.238916,910,5.466869
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,4,3640,0.0364,479.741278,910,7.30334
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,5,4550,0.0455,464.983815,910,9.085776
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,6,5460,0.0546,455.662795,910,10.909914
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,7,6370,0.0637,430.774414,910,12.811465
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,8,7280,0.0728,446.052482,910,14.704876
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,9,8190,0.0819,460.524885,910,16.224166
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,10,9100,0.091,456.358466,910,18.00512
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,11,10010,0.1001,471.450154,910,19.906458
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,12,10920,0.1092,461.534011,910,21.790917
