risk_level,learned_phase,static_phase,learned_policy,best_static_policy,learned_fill_rate,static_s2_fill_rate,best_static_fill_rate,delta_fill_rate_vs_static_s2,delta_fill_rate_vs_best_static,learned_backorder_rate,static_s2_backorder_rate,best_static_backorder_rate,delta_backorder_rate_vs_static_s2,delta_backorder_rate_vs_best_static,learned_order_level_ret_mean,static_s2_order_level_ret_mean,best_static_order_level_ret_mean,delta_order_level_ret_mean_vs_static_s2,delta_order_level_ret_mean_vs_best_static,learned_pct_steps_S1,learned_pct_steps_S2,learned_pct_steps_S3
increased,ppo_eval,static_screen,ppo,static_s3,0.7548772813089994,0.7957835116425425,0.8042794210195091,-0.040906230333543014,-0.04940213971050966,0.2451227186910006,0.20421648835745754,0.1957205789804909,0.04090623033354307,0.04940213971050972,0.18565409708382935,0.1940905715111197,0.20678751375379076,-0.008436474427290341,-0.021133416669961408,0.0,100.0,0.0
current,cross_eval_current,cross_eval_current,ppo,static_s2,0.9933920704845816,0.9952800503461297,0.9952800503461297,-0.0018879798615480947,-0.0018879798615480947,0.006607929515418498,0.004719949653870348,0.004719949653870348,0.0018879798615481502,0.0018879798615481502,0.5653277157714969,0.6491804151072678,0.6491804151072678,-0.08385269933577089,-0.08385269933577089,0.0,100.0,0.0
severe,cross_eval_severe,cross_eval_severe,ppo,static_s3,0.5072372561359345,0.4974826935179358,0.47388294524858404,0.00975456261799873,0.03335431088735047,0.4927627438640655,0.5025173064820643,0.526117054751416,-0.009754562617998785,-0.033354310887350525,0.16749762708855884,0.163183979267427,0.16368864594344362,0.004313647821131833,0.0038089811451152145,0.0,100.0,0.0
