comparator,n_pairs,ppo_mean,comparator_mean,delta_mean,delta_ci95_low,delta_ci95_high,paired_cohens_d,ppo_wins,ppo_wins_ci95
regime_table_nominal:S3_op10_2.00_op12_1.50__strained:S2_op10_2.00_op12_1.50__pre_disruption:S2_op10_1.50_op12_1.00__disrupted:S2_op10_2.00_op12_1.50__recovery:S1_op10_2.00_op12_1.50,60,0.005892652189433801,0.005493946289589255,0.0003987058998445452,0.0003693285118490827,0.0004302701700207117,3.3100794973284864,True,True
heur_disruption_aware,60,0.005892652189433801,0.00539943842429663,0.0004932137651371716,0.00045635875278222243,0.0005305138421704498,3.2550723494407263,True,True
heur_downstream_reactive,60,0.005892652189433801,0.0044842295579084,0.0014084226315254015,0.0013698289480185196,0.0014494340031239294,8.821445159060445,True,True
heur_forecast_threshold,60,0.005892652189433801,0.005388717699627943,0.0005039344898058585,0.0004678996005993083,0.0005417199362389576,3.395624961334175,True,True
heur_hysteresis,60,0.005892652189433801,0.005423257333749984,0.00046939485568381817,0.0004235659902224362,0.0005186047889042568,2.478410434074012,True,True
heur_s1_max_downstream,60,0.005892652189433801,0.004572864626052737,0.0013197875633810649,0.001280387979001512,0.0013623765695973539,8.085157627558008,True,True
heur_tuned,60,0.005892652189433801,0.005435802142675475,0.00045685004675832667,0.00042699200875027655,0.00048770509031702286,3.760566121998951,True,True
S1_op10_0.50_op12_0.50,60,0.005892652189433801,0.0022754946588504302,0.0036171575305833717,0.003583287435696007,0.0036494112823184147,27.392578035199165,True,True
S1_op10_0.50_op12_1.00,60,0.005892652189433801,0.0023766301485419546,0.0035160220408918465,0.00348771263477283,0.003542977516971005,31.74505109127837,True,True
S1_op10_0.50_op12_1.50,60,0.005892652189433801,0.0023557166894901667,0.0035369354999436353,0.0034965707478026727,0.0035777947814584284,21.793699976537393,True,True
S1_op10_0.50_op12_2.00,60,0.005892652189433801,0.0023660505640570695,0.003526601625376732,0.003484950230984255,0.003568556241956392,20.9583838460127,True,True
S1_op10_0.50_op12_2.50,60,0.005892652189433801,0.002367073258695305,0.0035255789307384973,0.0034827519229136358,0.003569355667192775,20.240455104185216,True,True
S1_op10_1.00_op12_0.50,60,0.005892652189433801,0.0023483370403480828,0.0035443151490857183,0.0035145303338988045,0.003574298403057195,29.315087009177013,True,True
S1_op10_1.00_op12_1.00,60,0.005892652189433801,0.00455891961170064,0.0013337325777331634,0.0012874072456472193,0.0013837958205945838,6.849591580704986,True,True
S1_op10_1.00_op12_1.50,60,0.005892652189433801,0.004587789542120636,0.001304862647313165,0.0012676092966918764,0.0013417591046550783,8.811821627164587,True,True
S1_op10_1.00_op12_2.00,60,0.005892652189433801,0.00454895251952445,0.0013436996699093503,0.0013119472585564008,0.0013776323317628582,10.333368094662926,True,True
S1_op10_1.00_op12_2.50,60,0.005892652189433801,0.0045626522546674065,0.0013299999347663946,0.0012816776158245519,0.001379431691272887,6.755563668511208,True,True
S1_op10_1.50_op12_0.50,60,0.005892652189433801,0.002327790009240883,0.0035648621801929186,0.003531282554972001,0.0035959609278436986,27.60683369799231,True,True
S1_op10_1.50_op12_1.00,60,0.005892652189433801,0.004567628735699879,0.0013250234537339216,0.0012751790706061069,0.0013788423625823122,6.450046704943906,True,True
S1_op10_1.50_op12_1.50,60,0.005892652189433801,0.004494781383809169,0.0013978708056246317,0.0013671377091008855,0.0014291011248496871,11.375108856039438,True,True
S1_op10_1.50_op12_2.00,60,0.005892652189433801,0.004526865159523501,0.0013657870299103,0.0013214786389576475,0.0014120720436895408,7.5208921654055025,True,True
S1_op10_1.50_op12_2.50,60,0.005892652189433801,0.004523948647916865,0.0013687035415169367,0.0013292118018856378,0.0014080233270672145,8.651243550549776,True,True
S1_op10_2.00_op12_0.50,60,0.005892652189433801,0.0022505068807214135,0.0036421453087123884,0.0036106646731713754,0.0036751456749593773,27.516938700927792,True,True
S1_op10_2.00_op12_1.00,60,0.005892652189433801,0.004564313645648073,0.0013283385437857288,0.001273143219327277,0.0013851855182899506,5.927923482032673,True,True
S1_op10_2.00_op12_1.50,60,0.005892652189433801,0.004533192296741831,0.0013594598926919698,0.0013258748380081961,0.0013967622969828833,9.47592073359922,True,True
S1_op10_2.00_op12_2.00,60,0.005892652189433801,0.0044666577463062795,0.0014259944431275215,0.001380305751859722,0.0014739726104495662,7.601865221985515,True,True
S1_op10_2.00_op12_2.50,60,0.005892652189433801,0.004520236316796611,0.0013724158726371898,0.00133523729362707,0.0014105191276151863,9.239892082101292,True,True
S1_op10_2.50_op12_0.50,60,0.005892652189433801,0.002315012211870513,0.003577639977563288,0.003549211690993499,0.0036062621023209215,31.050731167355014,True,True
S1_op10_2.50_op12_1.00,60,0.005892652189433801,0.004488457978877393,0.001404194210556408,0.001359332494712501,0.0014492096376955632,7.972356336074204,True,True
S1_op10_2.50_op12_1.50,60,0.005892652189433801,0.004509445953147329,0.0013832062362864716,0.0013538182440942853,0.0014139811464973263,11.462397540456728,True,True
S1_op10_2.50_op12_2.00,60,0.005892652189433801,0.004553078247875017,0.0013395739415587831,0.0012991790124405253,0.0013804533882770845,8.30113528465926,True,True
S1_op10_2.50_op12_2.50,60,0.005892652189433801,0.004445128557200359,0.0014475236322334434,0.0013938081261477108,0.001504512165990455,6.514079467182533,True,True
