risk_level,best_static_policy,ppo_fill_rate,ppo_backorder_rate,ppo_order_level_ret,ppo_service_continuity,ppo_pct_recovery,best_static_fill_rate,best_static_backorder_rate,best_static_order_level_ret,best_static_service_continuity,best_static_pct_recovery,ppo_fill_gap_vs_best_static_pp,ppo_ret_gap_vs_best_static
current,s3_d1.50,0.006061666940853176,0.9939383330591468,0.005315515830991707,0.9677432135298909,8.814102564102564,0.00584744243356955,0.9941525575664304,0.0048323830593331625,0.7011490758975464,78.01282051282051,0.02142245072836264,0.0004831327716585442
increased,s3_d1.00,0.005737538485298425,0.9942624615147015,0.0032588160572412533,0.8823121108677286,27.53205128205128,0.005535762859793984,0.994464237140206,0.0025171950787284685,0.5582672675647534,94.58333333333333,0.020177562550444117,0.0007416209785127848
severe,s2_d1.00,0.0009963373186337387,0.9990036626813662,0.00011928687737883957,0.08030655020099296,99.96794871794872,0.0015396749563843996,0.9984603250436156,0.0001797070545441558,0.1072461184959932,100.0,-0.054333763775066095,-6.0420177165316225e-05
