dispatch_charge_per_multiplier_step,ppo_dispatch_inclusive_cost_mean,static_dispatch_inclusive_cost_mean,ppo_minus_static_delta,delta_ci95_low,delta_ci95_high,ppo_cheaper
0.0,0.682051282051282,0.6666666666666664,0.015384615384615418,-0.014103899572649533,0.04588675213675218,False
0.01,0.6878170881488709,0.6816666666666665,0.006150421482204184,-0.024664967133699985,0.038251340212892136,False
0.025,0.6964657972952539,0.7041666666666665,-0.007700869371412625,-0.03985576609594869,0.024972217971104244,True
0.05,0.7108803125392258,0.7416666666666667,-0.030786354127440796,-0.0643021633636363,0.0032438570527541515,True
0.075,0.7252948277831979,0.7791666666666668,-0.053871838883468734,-0.08907523985744562,-0.018883019824536485,True
0.1,0.73970934302717,0.8166666666666668,-0.0769573236394969,-0.11324914427472633,-0.04051806099615147,True
0.15,0.7685383735151136,0.8916666666666665,-0.123128293151553,-0.1627845437489517,-0.08427101159998995,True
0.2,0.7973674040030576,0.9666666666666668,-0.16929926266360923,-0.21179695777989335,-0.124779039210993,True
