arm,ppo_order_level_ret_mean,best_comparator_policy,best_comparator_order_level_ret_mean,delta_vs_best_comparator,ppo_fill_rate_mean,ppo_assembly_cost_index_mean
joint,0.0055874344479819,heur_tuned,0.0052209330608115,0.00036650138717040075,0.0033736427966617,0.6758547008547009
downstream_only,0.0056777158463663,heur_s1_max_downstream,0.0052486661600557,0.0004290496863105994,0.0033736427966617,0.6666666666666666
shift_only,0.0056070967597727,heur_forecast_threshold,0.0052305643107375,0.00037653244903520025,0.0033736427966617,0.6631944444444444
