horizon,risk_level,best_static_policy,ppo_fill_rate,ppo_backorder_rate,ppo_order_level_ret,ppo_service_continuity,ppo_pct_recovery,best_static_fill_rate,best_static_backorder_rate,best_static_order_level_ret,best_static_service_continuity,best_static_pct_recovery,ppo_fill_gap_vs_best_static_pp,ppo_ret_gap_vs_best_static
52,current,s3_d1.50,0.0060616669408531,0.9939383330591468,0.0053155158309917,0.9677432135298908,8.814102564102564,0.0058474424335695,0.9941525575664304,0.0048323830593331,0.7011490758975464,78.01282051282051,0.0214224507283626,0.0004831327716585
52,increased,s3_d1.00,0.0057375384852984,0.9942624615147015,0.0032588160572412,0.8823121108677286,27.53205128205128,0.0055357628597939,0.994464237140206,0.0025171950787284,0.5582672675647534,94.58333333333331,0.0201775625504441,0.0007416209785127
52,severe,s2_d1.00,0.0009963373186337,0.9990036626813662,0.0001192868773788,0.0803065502009929,99.96794871794872,0.0015396749563843,0.9984603250436156,0.0001797070545441,0.1072461184959932,100.0,-0.054333763775066,-6.042017716531623e-05
104,current,s3_d2.00,0.0033795405977145,0.9966204594022856,0.0056481230284677,0.9838716067649452,4.407051282051282,0.0033795405977145,0.9966204594022856,0.0054392513641798,0.8247093541971562,45.785256410256416,0.0,0.0002088716642878
104,increased,s3_d1.50,0.0031840989879342,0.996815901012066,0.0036601030843726,0.9411560554338644,13.76602564102564,0.0031115300474407,0.9968884699525592,0.0030951825135734,0.6051802964304376,87.86858974358975,0.0072568940493466,0.0005649205707991
104,severe,s3_d1.00,0.0007222761692769,0.9992777238307232,0.0001282286751651,0.0759052284375349,99.74358974358977,0.0009397806837492,0.9990602193162508,0.0001188033237087,0.0756242763130565,99.88782051282053,-0.0217504514472283,9.425351456383375e-06
