horizon,risk,best_comparator,n_seeds,delta_mean,ci_lo,ci_hi,seeds_positive
h52,current,s3_d2.00,5,0.0003594371460371367,0.000312566076261188,0.00040630821581308537,5
h52,increased,s3_d2.00,5,0.0005374896286340367,0.0005038800725984209,0.0005710991846696524,5
h52,severe,s2_d1.00,5,-6.0420177165309815e-05,-9.992186569411926e-05,-2.0918488636500367e-05,0
h104,current,s3_d2.00,5,0.00020887166428789172,0.0001712013011645997,0.00024654202741118377,5
h104,increased,s3_d2.00,5,0.0005515742695782133,0.0005225507855504733,0.0005805977536059532,5
h104,severe,s1_d1.00,5,-7.474936961976151e-05,-0.0001447200558935097,-4.7786833460133476e-06,0
