stage,policy,order_ret_excel_mean,gap_vs_common_static
common_static,S2_op10_2.00_op12_1.50,0.0054662556612321955,0.0
regime_table,regime_table_nominal:S3_op10_2.00_op12_1.50__strained:S2_op10_2.00_op12_1.50__pre_disruption:S2_op10_1.50_op12_1.00__disrupted:S2_op10_2.00_op12_1.50__recovery:S1_op10_2.00_op12_1.50,0.005493946289589295,2.7690628357099345e-05
best_heuristic,heur_tuned,0.005435802142675536,-3.0453518556659148e-05
