state_id,campaign_id,buffer_level,reference_action,optimal_action,budget_lambda,obs_buffer_level_fraction,obs_effective_shift_fraction,obs_pending_shift_fraction,obs_raw_material_wdc,obs_raw_material_al,obs_rations_al,obs_rations_sb,obs_rations_sb_dispatch,obs_rations_cssu,obs_rations_theatre,obs_pending_batch,obs_in_transit,obs_pending_backorder_qty,obs_pending_backorder_count,obs_oldest_backorder_age_hours,obs_previous_week_demanded,obs_previous_week_produced,obs_previous_week_delivered,obs_rolling_fill_rate_4w,obs_previous_week_capacity_utilization,obs_fraction_operations_down,obs_previous_week_downtime_hours,obs_week_phase_sin,obs_week_phase_cos
I0:l-cal-007-700007:w99,l-cal-007-700007,0,1,0,0.0,0.0,0.5,0.5,1908000.0,141240.0,0.0,803316.0,0.0,0.0,0.0,837.5,25112.0,0.0,0.0,0.0,15117.0,25640.0,0.0,1.0,0.8333333134651184,0.07692307978868484,168.0,-0.5680647492408752,0.8229838609695435
I0:l-cal-008-700008:w1,l-cal-008-700008,0,1,0,0.0,0.0,0.5,0.5,1546464.0,0.0,0.0,12803.0,0.0,0.0,0.0,1000.0,7432.0,0.0,0.0,0.0,17197.0,20872.0,9765.0,1.0,0.7078613638877869,0.0,29.627811431884766,0.1205366775393486,0.9927088618278503
I0:l-cal-008-700008:w99,l-cal-008-700008,0,1,0,0.0,0.0,0.5,0.5,1201992.0,235458.0,0.0,755030.0,0.0,0.0,0.0,2324.0,10092.0,0.0,0.0,0.0,14845.0,21332.5,14803.0,1.0,0.7156996130943298,0.0,27.757999420166016,-0.5680647492408752,0.8229838609695435
I0:l-cal-009-700009:w1,l-cal-009-700009,0,1,0,0.0,0.0,0.5,0.5,1559610.0,0.0,0.0,17252.0,0.0,0.0,0.0,1000.0,5042.0,0.0,0.0,0.0,12748.0,20872.0,7706.0,1.0,0.700249969959259,0.07692307978868484,175.572265625,0.1205366775393486,0.9927088618278503
I0:l-cal-009-700009:w99,l-cal-009-700009,0,1,0,0.0,0.0,0.5,0.5,1956948.0,209310.0,0.0,745758.0,0.0,0.0,0.0,4076.5,10113.0,0.0,0.0,0.0,15027.0,22434.5,14950.0,1.0,0.7526714205741882,0.07692307978868484,131.9191131591797,-0.5680647492408752,0.8229838609695435
I0:l-cal-010-700010:w1,l-cal-010-700010,0,1,0,0.0,0.0,0.5,0.5,1538784.0,330756.0,0.0,9665.0,0.0,0.0,0.0,4205.0,5141.0,0.0,0.0,0.0,20335.0,23949.0,15194.0,1.0,0.778373658657074,0.0,0.0,0.1205366775393486,0.9927088618278503
I0:l-cal-010-700010:w99,l-cal-010-700010,0,1,0,0.0,0.0,0.5,0.5,1910784.0,307680.0,0.0,611615.0,0.0,0.0,0.0,1804.0,7502.0,0.0,0.0,0.0,17294.0,25872.0,17355.0,1.0,0.840873658657074,0.0,0.0,-0.5680647492408752,0.8229838609695435
I0:l-cal-011-700011:w1,l-cal-011-700011,0,1,0,0.0,0.0,0.5,0.5,1603866.0,299142.0,0.0,4969.0,0.0,0.0,0.0,1416.0,10063.0,0.0,0.0,0.0,20031.0,21627.5,14968.0,1.0,0.8330925703048706,0.07692307978868484,111.72113800048828,0.1205366775393486,0.9927088618278503
I0:l-cal-011-700011:w99,l-cal-011-700011,0,1,2,0.0,0.0,0.5,0.5,1615020.0,77616.0,0.0,458183.0,0.0,0.0,0.0,4788.5,4870.0,0.0,0.0,0.0,14932.0,24268.5,15098.0,1.0,0.8230516314506531,0.07692307978868484,103.96604919433594,-0.5680647492408752,0.8229838609695435
I0:l-cal-012-700012:w1,l-cal-012-700012,0,1,0,0.0,0.0,0.5,0.5,1546464.0,0.0,0.0,17514.0,0.0,0.0,0.0,1000.0,4943.0,0.0,0.0,0.0,12486.0,20872.0,7543.0,1.0,0.6783671379089355,0.0,0.0,0.1205366775393486,0.9927088618278503
I0:l-cal-012-700012:w99,l-cal-012-700012,0,1,0,0.0,0.0,0.5,0.5,826710.0,255366.0,0.0,846931.0,0.0,0.0,0.0,1265.0,10019.0,0.0,0.0,0.0,14946.0,19365.0,14877.0,1.0,0.656752347946167,0.0,75.19239807128906,-0.5680647492408752,0.8229838609695435
I0:l-cal-013-700013:w1,l-cal-013-700013,0,1,0,0.0,0.0,0.5,0.5,1538784.0,0.0,0.0,14952.0,0.0,0.0,0.0,1000.0,4903.0,0.0,0.0,0.0,15048.0,20744.0,10145.0,1.0,0.6742069721221924,0.0,0.0,0.1205366775393486,0.9927088618278503
I0:l-cal-013-700013:w99,l-cal-013-700013,0,1,0,0.0,0.0,0.5,0.5,1908000.0,248928.0,0.0,780800.0,0.0,0.0,0.0,4492.0,10107.0,0.0,0.0,0.0,15101.0,20512.0,15101.0,1.0,0.6666666865348816,0.0,0.0,-0.5680647492408752,0.8229838609695435
I0:l-cal-014-700014:w1,l-cal-014-700014,0,1,0,0.0,0.0,0.5,0.5,1565610.0,0.0,0.0,12641.0,0.0,0.0,0.0,1000.0,5005.0,0.0,0.0,0.0,17359.0,20872.0,12354.0,1.0,0.7235916256904602,0.0,36.5522346496582,0.1205366775393486,0.9927088618278503
I0:l-cal-014-700014:w99,l-cal-014-700014,0,1,1,0.0,0.0,0.5,0.5,2280000.0,332622.0,0.0,751508.0,0.0,0.0,0.0,4207.0,5027.0,0.0,0.0,0.0,17519.0,20628.5,17531.0,1.0,0.6847180128097534,0.0,49.13427734375,-0.5680647492408752,0.8229838609695435
I0:l-cal-015-700015:w1,l-cal-015-700015,0,1,0,0.0,0.0,0.5,0.5,1569660.0,330828.0,0.0,17413.0,0.0,0.0,0.0,1626.0,5051.0,0.0,0.0,0.0,12587.0,21866.5,7536.0,1.0,0.725810706615448,0.07692307978868484,104.94426727294922,0.1205366775393486,0.9927088618278503
I0:l-cal-015-700015:w99,l-cal-015-700015,0,1,0,0.0,0.0,0.5,0.5,1237668.0,252294.0,0.0,748283.0,0.0,0.0,0.0,3742.5,9981.0,0.0,0.0,0.0,15017.0,19191.5,15116.0,1.0,0.6882744431495667,0.0,132.02505493164062,-0.5680647492408752,0.8229838609695435
