state_id,campaign_id,campaign_sha256,family,risk_level,buffer_level,reference_shift,decision_week,branch_action,branch_shift,late_backlog_hours_increment,total_backlog_hours_increment,shift_hours_increment,extra_shift_hours_increment,ret_excel_final,obs_buffer_level_fraction,obs_effective_shift_fraction,obs_pending_shift_fraction,obs_raw_material_wdc,obs_raw_material_al,obs_rations_al,obs_rations_sb,obs_rations_sb_dispatch,obs_rations_cssu,obs_rations_theatre,obs_pending_batch,obs_in_transit,obs_pending_backorder_qty,obs_pending_backorder_count,obs_oldest_backorder_age_hours,obs_previous_week_demanded,obs_previous_week_produced,obs_previous_week_delivered,obs_rolling_fill_rate_4w,obs_previous_week_capacity_utilization,obs_fraction_operations_down,obs_previous_week_downtime_hours,obs_week_phase_sin,obs_week_phase_cos
I0:l-cal-001-700001:w99,l-cal-001-700001,4509c314af5410cc3ab765dc9f53789ceec540267caa5b1ca3ed4967ddfbf69f,R2,current,0,2,99,1,2,873040.0,3863159.799999997,1344.0,672.0,0.44297437433984216,0.0,0.5,0.5,1908000.0,172008.0,0.0,781784.0,0.0,0.0,0.0,966.5,10057.0,0.0,0.0,0.0,14973.0,25640.0,14856.0,1.0,0.8333333134651184,0.0,0.0,-0.5680647492408752,0.8229838609695435
I0:l-cal-001-700001:w99,l-cal-001-700001,4509c314af5410cc3ab765dc9f53789ceec540267caa5b1ca3ed4967ddfbf69f,R2,current,0,2,99,2,3,873040.0,3863159.799999997,1512.0,840.0,0.44297437433984216,0.0,0.5,0.5,1908000.0,172008.0,0.0,781784.0,0.0,0.0,0.0,966.5,10057.0,0.0,0.0,0.0,14973.0,25640.0,14856.0,1.0,0.8333333134651184,0.0,0.0,-0.5680647492408752,0.8229838609695435
I0:l-cal-002-700002:w1,l-cal-002-700002,58a3ba073bb27ad05d79d9149399824b88ea7d588a088255a854b10136e4def1,mixed,current,0,2,1,0,1,875476.0,3872769.1999999997,1176.0,504.0,0.007508342602892101,0.0,0.5,0.5,1546464.0,0.0,0.0,12537.0,0.0,0.0,0.0,1000.0,5108.0,0.0,0.0,0.0,17463.0,20872.0,12355.0,1.0,0.6783671379089355,0.0,24.0,0.1205366775393486,0.9927088618278503
I0:l-cal-002-700002:w1,l-cal-002-700002,58a3ba073bb27ad05d79d9149399824b88ea7d588a088255a854b10136e4def1,mixed,current,0,2,1,1,2,875994.0,3875063.1999999997,1344.0,672.0,0.007508342602892101,0.0,0.5,0.5,1546464.0,0.0,0.0,12537.0,0.0,0.0,0.0,1000.0,5108.0,0.0,0.0,0.0,17463.0,20872.0,12355.0,1.0,0.6783671379089355,0.0,24.0,0.1205366775393486,0.9927088618278503
I0:l-cal-002-700002:w1,l-cal-002-700002,58a3ba073bb27ad05d79d9149399824b88ea7d588a088255a854b10136e4def1,mixed,current,0,2,1,2,3,877268.0,3880705.1999999997,1512.0,840.0,0.007508342602892101,0.0,0.5,0.5,1546464.0,0.0,0.0,12537.0,0.0,0.0,0.0,1000.0,5108.0,0.0,0.0,0.0,17463.0,20872.0,12355.0,1.0,0.6783671379089355,0.0,24.0,0.1205366775393486,0.9927088618278503
I0:l-cal-002-700002:w99,l-cal-002-700002,58a3ba073bb27ad05d79d9149399824b88ea7d588a088255a854b10136e4def1,mixed,current,0,2,99,0,1,901122.0,3903851.000000015,1176.0,504.0,0.007839174292415048,0.0,0.5,0.5,2280000.0,236532.0,0.0,772180.0,0.0,0.0,0.0,2174.5,10009.0,0.0,0.0,0.0,15122.0,21278.0,14944.0,1.0,0.6915626525878906,0.0,25.0,-0.5680647492408752,0.8229838609695435
I0:l-cal-002-700002:w99,l-cal-002-700002,58a3ba073bb27ad05d79d9149399824b88ea7d588a088255a854b10136e4def1,mixed,current,0,2,99,1,2,901122.0,3903851.000000015,1344.0,672.0,0.007839174292415048,0.0,0.5,0.5,2280000.0,236532.0,0.0,772180.0,0.0,0.0,0.0,2174.5,10009.0,0.0,0.0,0.0,15122.0,21278.0,14944.0,1.0,0.6915626525878906,0.0,25.0,-0.5680647492408752,0.8229838609695435
I0:l-cal-002-700002:w99,l-cal-002-700002,58a3ba073bb27ad05d79d9149399824b88ea7d588a088255a854b10136e4def1,mixed,current,0,2,99,2,3,890858.0,3893587.000000015,1512.0,840.0,0.00783983636167279,0.0,0.5,0.5,2280000.0,236532.0,0.0,772180.0,0.0,0.0,0.0,2174.5,10009.0,0.0,0.0,0.0,15122.0,21278.0,14944.0,1.0,0.6915626525878906,0.0,25.0,-0.5680647492408752,0.8229838609695435
I0:l-cal-003-700003:w1,l-cal-003-700003,a2539084a786e2fbdf251cbe7a100ce05bb0418a3fe4b4241c72e2e8281e3fe2,R1,increased,0,2,1,0,1,838502.0,3716454.4,1176.0,504.0,0.007508342602892101,0.0,0.5,0.5,1584690.0,0.0,0.0,17472.0,0.0,0.0,0.0,1000.0,5058.0,0.0,0.0,0.0,12528.0,21833.5,7470.0,1.0,0.7404700517654419,0.07692307978868484,93.30183410644531,0.1205366775393486,0.9927088618278503
I0:l-cal-003-700003:w1,l-cal-003-700003,a2539084a786e2fbdf251cbe7a100ce05bb0418a3fe4b4241c72e2e8281e3fe2,R1,increased,0,2,1,1,2,838502.0,3716454.4,1344.0,672.0,0.007508342602892101,0.0,0.5,0.5,1584690.0,0.0,0.0,17472.0,0.0,0.0,0.0,1000.0,5058.0,0.0,0.0,0.0,12528.0,21833.5,7470.0,1.0,0.7404700517654419,0.07692307978868484,93.30183410644531,0.1205366775393486,0.9927088618278503
