time_offset,sb_inventory,queue_qty,queue_count,queue_occupancy,contingent_share,size_p25,size_p50,size_p75,age_p25,age_p50,age_p75,oldest_age,in_transit,op9_down,op10_down,op11_down,op12_down,recent_demand,recent_delivered,recent_fill,prior_rule,operational_day,day,state_sha256,r24,downstream,stratum,fallback,state_id,tape_id,tape_sha256,seed,family,risk_level
0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,spt_flat,0.0,0,29e49acdb1211bacd00b799607cd9b125d749c27a60a986d206370454301500c,0.0,0.0,nominal,False,d1v2-selection-R1-current-810002:nominal:0:0,d1v2-selection-R1-current-810002,fc93a6f2690bbda9ad7f6837780032b99f98128f18d0cc85808ec2bce776a4e8,810002,R1,current
816.0,35.0,10161.0,4.0,0.06666666666666667,0.0,2521.25,2551.5,2570.5,114.0,192.0,258.0,312.0,2481.0,0,0,0,0,15039.0,12558.0,0.8350289247955316,spt_flat,6.0,34,5b83e3a39a560e836bdb61daf45ae4a0cf76e17f8dc5240d2d4db02c9baab773,0.0,0.0,nominal,False,d1v2-selection-R1-current-810002:nominal:1:34,d1v2-selection-R1-current-810002,fc93a6f2690bbda9ad7f6837780032b99f98128f18d0cc85808ec2bce776a4e8,810002,R1,current
6432.0,1813.0,123699.0,48.0,0.8,0.0,2567.0,2580.0,2591.75,1320.0,2724.0,4566.0,5928.0,0.0,0,0,0,0,15136.0,14847.0,0.9809064482029598,spt_flat,2.0,268,0843e64279d4ae4e914145d7d54f84cd79ba8aa453175cf11492ac66f4431c1c,0.0,0.0,high_occupancy,False,d1v2-selection-R1-current-810002:high_occupancy:0:268,d1v2-selection-R1-current-810002,fc93a6f2690bbda9ad7f6837780032b99f98128f18d0cc85808ec2bce776a4e8,810002,R1,current
16776.0,1211.0,153868.0,60.0,1.0,0.0,2562.0,2567.0,2572.25,3300.0,7692.0,11508.0,16200.0,2495.0,0,0,0,0,15062.0,12354.0,0.820209799495419,spt_flat,6.0,699,0d3c5b5daa11cd6f6c24997bc300d7c66aecbbc605774153c4f25e7c6ecfba75,0.0,0.0,high_occupancy,False,d1v2-selection-R1-current-810002:high_occupancy:1:699,d1v2-selection-R1-current-810002,fc93a6f2690bbda9ad7f6837780032b99f98128f18d0cc85808ec2bce776a4e8,810002,R1,current
840.0,35.0,12680.0,5.0,0.08333333333333333,0.0,2519.0,2541.0,2562.0,48.0,168.0,264.0,336.0,5000.0,0,0,0,0,15035.0,15039.0,1.0002660458929165,spt_flat,0.0,35,475f460dfc6e0e50a8a92e1f96ca551b8470fa19812f0e8dbbbcf4ba51bc4c6c,0.0,0.0,high_age,False,d1v2-selection-R1-current-810002:high_age:0:35,d1v2-selection-R1-current-810002,fc93a6f2690bbda9ad7f6837780032b99f98128f18d0cc85808ec2bce776a4e8,810002,R1,current
16752.0,1211.0,151428.0,59.0,0.9833333333333333,0.0,2562.5,2567.0,2572.5,3408.0,7752.0,11952.0,16176.0,5012.0,0,0,0,0,15032.0,9837.0,0.6544039382650346,spt_flat,5.0,698,b9523a7b75be077d0fa4229f69b63da68d59c1b8eb5e2e3075269f7a2605847c,0.0,0.0,high_age,False,d1v2-selection-R1-current-810002:high_age:1:698,d1v2-selection-R1-current-810002,fc93a6f2690bbda9ad7f6837780032b99f98128f18d0cc85808ec2bce776a4e8,810002,R1,current
24.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0,0,0,0,0,0,0.0,spt_flat,1.0,1,2e8d2a6e0f556c225fb498cfd6a39f8ff9b7c50e11be32dd347e6a846af42efc,0.0,0.0,r24,True,d1v2-selection-R1-current-810002:r24:0:1,d1v2-selection-R1-current-810002,fc93a6f2690bbda9ad7f6837780032b99f98128f18d0cc85808ec2bce776a4e8,810002,R1,current
16728.0,3706.0,151428.0,59.0,0.9833333333333333,0.0,2562.5,2567.0,2572.5,3384.0,7728.0,11928.0,16152.0,2517.0,0,0,0,0,14981.0,9837.0,0.656631733529137,spt_flat,4.0,697,2432dc27124a62e077a4e3398fd0390401d9e898f24bfcd37babce495f2c03f9,0.0,0.0,r24,True,d1v2-selection-R1-current-810002:r24:1:697,d1v2-selection-R1-current-810002,fc93a6f2690bbda9ad7f6837780032b99f98128f18d0cc85808ec2bce776a4e8,810002,R1,current
48.0,7468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2532.0,0,0,0,0,2532.0,0,0.0,spt_flat,2.0,2,c84dc63d83093e3e81c6b7aac642ecc74edc5624a65f35021f55e4493e135918,0.0,0.0,downstream,True,d1v2-selection-R1-current-810002:downstream:0:2,d1v2-selection-R1-current-810002,fc93a6f2690bbda9ad7f6837780032b99f98128f18d0cc85808ec2bce776a4e8,810002,R1,current
16704.0,1223.0,151352.0,59.0,0.9833333333333333,0.0,2562.0,2567.0,2571.5,3360.0,7704.0,11904.0,16128.0,7516.0,0,0,0,0,14980.0,9832.0,0.6563417890520694,spt_flat,3.0,696,2f25bf4cfdd061257f92e39e2bf6b8bbc60fc5c8358dad367c6f9e616cece310,0.0,0.0,downstream,True,d1v2-selection-R1-current-810002:downstream:1:696,d1v2-selection-R1-current-810002,fc93a6f2690bbda9ad7f6837780032b99f98128f18d0cc85808ec2bce776a4e8,810002,R1,current
