phase,policy,algo,reward_mode,reward_family,frame_stack,observation_version,seed,episode,eval_seed,w_bo,w_cost,w_disr,steps,reward_total,service_loss_total,shift_cost_total,mean_disruption_fraction,fill_rate,backorder_rate,ret_thesis_corrected_total,ret_unified_total,ret_garrido2024_raw_total,ret_garrido2024_train_total,ret_garrido2024_sigmoid_total,order_level_ret_mean,demanded_total,delivered_total,backorder_qty_total,flow_fill_rate,flow_backorder_rate,fill_rate_state_terminal,backorder_rate_state_terminal,pct_steps_S1,pct_steps_S2,pct_steps_S3
static_screen,static_s1,recurrent_ppo,control_v1,operational_penalty,1,v4,11,1,80011,4.0,0.02,0.0,260,-753.057767959403,188.26444198985075,0.0,0.08650120578897418,0.6586102719033233,0.34138972809667667,240.68024066428612,101.27428734267764,398.12168954784175,279.2584377095766,157.1722100582157,0.14182734108208628,4508247.0,3205547.0,3262787.0,0.2762625916459325,0.7237374083540675,0.659214501510574,0.34078549848942596,100.0,0.0,0.0
static_screen,static_s1,recurrent_ppo,control_v1,operational_penalty,1,v4,11,2,80012,4.0,0.02,0.0,260,-788.5687750228693,197.14219375571733,0.0,0.08138256468359015,0.6164960866947622,0.3835039133052378,241.49215733503166,93.44007612142163,405.56285462604956,269.2607366418748,158.31308065846827,0.13267976485330685,4575454.0,3120395.0,3461841.0,0.2433885249420058,0.7566114750579942,0.617098133654425,0.38290186634557494,100.0,0.0,0.0
static_screen,static_s1,recurrent_ppo,control_v1,operational_penalty,1,v4,11,3,80013,4.0,0.02,0.0,260,-779.7284123154673,194.93210307886682,0.0,0.07684519720783141,0.6215888417222559,0.3784111582777441,242.30758811495295,93.66251566001934,407.8703820513774,278.1931270450776,158.63776810382336,0.13241316274010026,4589649.0,3130456.0,3425506.0,0.2536453223329278,0.7463546776670722,0.6215888417222559,0.3784111582777441,100.0,0.0,0.0
static_screen,static_s1,recurrent_ppo,control_v1,operational_penalty,1,v4,11,4,80014,4.0,0.02,0.0,260,-782.2924562558896,195.5731140639724,0.0,0.08400734441075196,0.6189042745334137,0.3810957254665863,240.9880742323467,93.52881360286054,384.14777861897545,267.67656040270947,155.01653249664867,0.13532422174040037,4565248.0,3127718.0,3423667.0,0.25005892341445635,0.7499410765855437,0.6195063214930765,0.38049367850692356,100.0,0.0,0.0
static_screen,static_s1,recurrent_ppo,control_v1,operational_penalty,1,v4,11,5,80015,4.0,0.02,0.0,260,-785.5738120500384,196.3934530125096,0.0,0.08360765303730289,0.6008428657435281,0.3991571342564719,241.06436611842298,91.36700817432683,401.13260336328494,266.360825555844,157.70569244560983,0.12893093448914347,4591417.0,3044857.0,3469187.0,0.24441909763369352,0.7555809023663065,0.6014449127031909,0.39855508729680916,100.0,0.0,0.0
static_screen,static_s1,recurrent_ppo,control_v1,operational_penalty,1,v4,11,6,80016,4.0,0.02,0.0,260,-736.6431462337706,184.16078655844265,0.0,0.0733895470928856,0.6381697772426249,0.3618302227573751,243.1119680947837,106.27379665314582,379.9788587690759,275.05345116767796,154.3619471585876,0.12974513101681714,4579531.0,3284978.0,3224005.0,0.29599668612353536,0.7040033138764646,0.6387718242022877,0.3612281757977122,100.0,0.0,0.0
static_screen,static_s1,recurrent_ppo,control_v1,operational_penalty,1,v4,11,7,80017,4.0,0.02,0.0,260,-769.1932780448665,192.29831951121662,0.0,0.08271984201035486,0.6086694762191451,0.39133052378085487,241.15976129566798,96.90018747044427,392.431493627839,263.16499552563243,156.37340078992992,0.13822282647744968,4553279.0,3060075.0,3363758.0,0.2612449182226698,0.7387550817773302,0.609271523178808,0.39072847682119205,100.0,0.0,0.0
static_screen,static_s1,recurrent_ppo,control_v1,operational_penalty,1,v4,11,8,80018,4.0,0.02,0.0,260,-734.7522868428816,183.6880717107204,0.0,0.07853135927079989,0.6315472606863335,0.3684527393136665,242.3117022431655,106.99395516518858,397.7584174706942,263.6994404595631,157.21425584845426,0.14468180894612015,4534419.0,3154996.0,3194635.0,0.2954698275567388,0.7045301724432612,0.6321493076459963,0.36785069235400364,100.0,0.0,0.0
static_screen,static_s1,recurrent_ppo,control_v1,operational_penalty,1,v4,11,9,80019,4.0,0.02,0.0,260,-748.2511465208169,187.06278663020422,0.0,0.07558253822793791,0.6628119293974437,0.3371880706025563,242.60354351250356,102.48799003698345,412.6458547437278,280.91032187389044,159.3670772475107,0.1467970373941945,4559829.0,3262508.0,3273120.0,0.282183608201097,0.717816391798903,0.663420572124163,0.3365794278758369,100.0,0.0,0.0
static_screen,static_s1,recurrent_ppo,control_v1,operational_penalty,1,v4,11,10,80020,4.0,0.02,0.0,260,-786.4389803654949,196.60974509137372,0.0,0.08396849561951486,0.6116797110174594,0.38832028898254056,241.08667367003204,93.08040156006051,391.24349632045295,263.57183973007784,156.1805583678535,0.11392856442819616,4531920.0,3044800.0,3414404.0,0.24658775971332236,0.7534122402866776,0.6122817579771223,0.3877182420228778,100.0,0.0,0.0
