phase,policy,algo,reward_mode,reward_family,frame_stack,observation_version,w_bo,w_cost,w_disr,seed_count,reward_total_mean,reward_total_std,reward_total_ci95_low,reward_total_ci95_high,service_loss_total_mean,service_loss_total_std,service_loss_total_ci95_low,service_loss_total_ci95_high,shift_cost_total_mean,shift_cost_total_std,shift_cost_total_ci95_low,shift_cost_total_ci95_high,mean_disruption_fraction_mean,mean_disruption_fraction_std,mean_disruption_fraction_ci95_low,mean_disruption_fraction_ci95_high,fill_rate_mean,fill_rate_std,fill_rate_ci95_low,fill_rate_ci95_high,backorder_rate_mean,backorder_rate_std,backorder_rate_ci95_low,backorder_rate_ci95_high,ret_thesis_corrected_total_mean,ret_thesis_corrected_total_std,ret_thesis_corrected_total_ci95_low,ret_thesis_corrected_total_ci95_high,ret_unified_total_mean,ret_unified_total_std,ret_unified_total_ci95_low,ret_unified_total_ci95_high,ret_garrido2024_raw_total_mean,ret_garrido2024_raw_total_std,ret_garrido2024_raw_total_ci95_low,ret_garrido2024_raw_total_ci95_high,ret_garrido2024_train_total_mean,ret_garrido2024_train_total_std,ret_garrido2024_train_total_ci95_low,ret_garrido2024_train_total_ci95_high,ret_garrido2024_sigmoid_total_mean,ret_garrido2024_sigmoid_total_std,ret_garrido2024_sigmoid_total_ci95_low,ret_garrido2024_sigmoid_total_ci95_high,order_level_ret_mean_mean,order_level_ret_mean_std,order_level_ret_mean_ci95_low,order_level_ret_mean_ci95_high,pct_steps_S1_mean,pct_steps_S1_std,pct_steps_S1_ci95_low,pct_steps_S1_ci95_high,pct_steps_S2_mean,pct_steps_S2_std,pct_steps_S2_ci95_low,pct_steps_S2_ci95_high,pct_steps_S3_mean,pct_steps_S3_std,pct_steps_S3_ci95_low,pct_steps_S3_ci95_high
cross_eval_severe,garrido_cf_s1,recurrent_ppo,control_v1,operational_penalty,1,v4,4.0,0.02,0.0,5,-878.9062603823124,4.123113299500008,-882.5203285360257,-875.2921922285992,219.7265650955781,1.030778324875002,218.8230480571498,220.63008213400641,0.0,0.0,0.0,0.0,0.13889106819893207,0.001135382342355593,0.13789586169653173,0.1398862747013324,0.30493790380011576,0.003046147927973158,0.30226783741622026,0.30760797018401126,0.6950620961998842,0.0030461479279731743,0.6923920298159887,0.6977321625837798,229.5819910656803,0.17309215863031235,229.43026909911706,229.73371303224357,68.91532321899575,1.1895045105479005,67.87267654450568,69.95796989348582,376.77374269037557,1.3815494147547842,375.56276123535423,377.9847241453969,259.3298044069926,0.3536140155210835,259.0198480562039,259.6397607577813,153.74799305846958,0.24001600561922345,153.53760975360257,153.95837636333658,0.13809497568546875,0.0015347216922462124,0.13674973280954958,0.1394402185613879,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cross_eval_severe,garrido_cf_s2,recurrent_ppo,control_v1,operational_penalty,1,v4,4.0,0.02,0.0,5,-806.9242261260615,5.650267899317286,-811.8769043067332,-801.9715479453898,200.43105653151542,1.4125669748293361,199.1928869863475,201.66922607668334,260.0,0.0,260.0,260.0,0.13918171135062166,0.0005653895446813195,0.138686125563997,0.1396772971372463,0.49445331303769124,0.00743772507558771,0.48793385956183943,0.500972766513543,0.5055466869623088,0.007437725075587721,0.49902723348645694,0.5120661404381606,229.47103261160822,0.1597218799740173,229.33103021101076,229.6110350122057,91.5529160698503,1.5775564742111303,90.17012685209535,92.93570528760524,337.4629810020104,5.90403637023766,332.28786494914124,342.63809705487955,279.7543911212954,5.48825193384483,274.9437261958205,284.5650560467703,146.42541860359535,1.0905472438709016,145.46951179776696,147.38132540942374,0.16288450925208858,0.004008171275698736,0.1593711922244222,0.16639782627975497,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
cross_eval_severe,garrido_cf_s3,recurrent_ppo,control_v1,operational_penalty,1,v4,4.0,0.02,0.0,5,-806.5959664429562,3.203840888023885,-809.4042568007244,-803.787676085188,199.04899161073905,0.8009602220059914,198.346919021297,199.7510642001811,520.0,0.0,520.0,520.0,0.13879238053227427,0.00032678203635489746,0.13850594344820505,0.1390788176163435,0.49993495784063224,0.0038777675379863376,0.4965359447288075,0.503333970952457,0.5000650421593676,0.0038777675379863255,0.4966660290475429,0.5034640552711924,229.6065201621981,0.07172653301001303,229.5436490839866,229.66939124040962,93.31041773189978,0.9082103007645042,92.51433630351279,94.10649916028676,307.18515392613136,3.698495102002991,303.9432800328201,310.4270278194426,289.7304430766936,4.825407625292713,285.50078680472785,293.9600993486593,140.00115163447302,0.7988888688213778,139.30089466614925,140.7014086027968,0.16705263204471227,0.0015367670882883197,0.16570559630011342,0.16839966778931112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0
cross_eval_severe,heuristic_cycle_guard,recurrent_ppo,control_v1,operational_penalty,1,v4,4.0,0.02,0.0,5,-809.834189524459,5.603432346376794,-814.7458145329164,-804.9225645160017,200.63604738111476,1.4069512029302684,199.40280027705012,201.8692944851794,364.49999999999994,1.8176220729293562,362.9067840071101,366.0932159928898,0.13884582783755603,0.000997958255398355,0.13797107885842713,0.13972057681668493,0.4913999293773664,0.010906651191651132,0.4818398280965733,0.5009600306581595,0.5086000706226337,0.010906651191651158,0.49903996934184053,0.5181601719034268,229.51174097472784,0.19960519808875918,229.33677930442505,229.68670264503064,91.8163874909747,1.437070683267104,90.55673949836184,93.07603548358757,337.8575486422387,0.5969628431984615,337.33428763924485,338.3808096452326,292.4707322452309,1.8116081507122748,290.88278768758545,294.0586768028764,146.39640020958603,0.1358257638527071,146.2773436782864,146.51545674088567,0.16365264213263875,0.0027196516180181,0.16126876238258048,0.16603652188269702,0.0,0.0,0.0,0.0,59.80769230769231,0.6990854126651358,59.1949169258116,60.420467689573016,40.19230769230769,0.6990854126651352,39.579532310426984,40.8050830741884
cross_eval_severe,heuristic_disruption,recurrent_ppo,control_v1,operational_penalty,1,v4,4.0,0.02,0.0,5,-812.1428798837412,4.042902000193947,-815.6866397336722,-808.5991200338102,201.21866997093534,1.0061829923213779,200.33671169203052,202.10062824984016,363.41,2.196132965009174,361.48500458182366,365.3349954181764,0.1405952061447594,0.002173993873011087,0.13868961649633282,0.14250079579318597,0.49106316309787224,0.0074865295548594635,0.4845009306097833,0.4976253955859612,0.5089368369021277,0.007486529554859461,0.5023746044140387,0.5154990693902166,229.17457408905526,0.4265076671596446,228.8007236354713,229.54842454263922,90.93775309409082,1.1638090802365704,89.91762945732455,91.9578767308571,332.30764414270914,3.1593869682913303,329.5383193636052,335.0769689218131,287.9711441030855,2.139087810287167,286.09615096765737,289.8461372385137,145.3435354292379,0.5896772755282763,144.8266605078736,145.8604103506022,0.1637333220927351,0.0027777140395090416,0.16129854838629118,0.16616809579917904,0.0,0.0,0.0,0.0,60.226923076923086,0.8446665250035343,59.48654022377833,60.967305930067845,39.773076923076914,0.8446665250035371,39.03269406993215,40.51345977622168
cross_eval_severe,heuristic_hysteresis,recurrent_ppo,control_v1,operational_penalty,1,v4,4.0,0.02,0.0,5,-814.1846286888778,2.442794697664923,-816.3258326485072,-812.0434247292483,200.94615717221944,0.6106986744162357,200.41085618231207,201.4814581621268,520.0,0.0,520.0,520.0,0.14023078036867026,0.00134374888058519,0.1390529325427326,0.14140862819460792,0.49326798868680133,0.004265704351313043,0.4895289339654319,0.49700704340817076,0.5067320113131987,0.004265704351313042,0.5029929565918293,0.510471066034568,229.30816415014232,0.24956277537982452,229.08941273262442,229.5269155676602,91.14574229075942,0.652726814055232,90.57360201218938,91.71788256932945,314.9912106702667,3.087829005104879,312.28460921140913,317.69781212912426,293.18207639815347,3.638928695590285,289.9924147621366,296.37173803417033,141.7393409685573,0.6417890071133459,141.17678810048722,142.30189383662736,0.16276121228450027,0.0021765095473112663,0.1608534175503259,0.16466900701867465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0
cross_eval_severe,heuristic_tuned,recurrent_ppo,control_v1,operational_penalty,1,v4,4.0,0.02,0.0,5,-814.1846286888778,2.442794697664923,-816.3258326485072,-812.0434247292483,200.94615717221944,0.6106986744162357,200.41085618231207,201.4814581621268,520.0,0.0,520.0,520.0,0.14023078036867026,0.00134374888058519,0.1390529325427326,0.14140862819460792,0.49326798868680133,0.004265704351313043,0.4895289339654319,0.49700704340817076,0.5067320113131987,0.004265704351313042,0.5029929565918293,0.510471066034568,229.30816415014232,0.24956277537982452,229.08941273262442,229.5269155676602,91.14574229075942,0.652726814055232,90.57360201218938,91.71788256932945,314.9912106702667,3.087829005104879,312.28460921140913,317.69781212912426,293.18207639815347,3.638928695590285,289.9924147621366,296.37173803417033,141.7393409685573,0.6417890071133459,141.17678810048722,142.30189383662736,0.16276121228450027,0.0021765095473112663,0.1608534175503259,0.16466900701867465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0
cross_eval_severe,random,recurrent_ppo,control_v1,operational_penalty,1,v4,4.0,0.02,0.0,5,-807.7070917548386,2.6399681634715457,-810.021125877446,-805.3930576322313,200.63282293870967,0.6603300227643408,200.05401815386352,201.2116277235558,258.79,3.276316529274907,255.9181819416962,261.6618180583038,0.1404340696648281,0.0007458498708819502,0.13978030342800593,0.14108783590165028,0.48899827725032347,0.0019309377292412013,0.48730573570534574,0.4906908187953012,0.5110017227496766,0.0019309377292411971,0.5093091812046988,0.5126942642946544,229.29303049984992,0.1937466460342113,229.12320407683944,229.4628569228604,91.43375849360189,0.7819464190867897,90.74835223724837,92.1191647499554,345.00346019566905,2.171528671114334,343.10003139197806,346.90688899936004,284.72704727593145,1.6594722889351894,283.2724556807556,286.1816388711073,147.8636853779542,0.41262382146655874,147.5020046516917,148.2253661042167,0.16622674672924317,0.002353389948699485,0.16416390948732332,0.16828958397116303,33.91153846153846,0.6419448537579163,33.34884898786139,34.47422793521554,32.642307692307696,0.6396363149357749,32.08164174212674,33.20297364248865,33.44615384615385,0.7657855540508084,32.77491321257623,34.117394479731466
cross_eval_severe,recurrent_ppo,recurrent_ppo,control_v1,operational_penalty,1,v4,4.0,0.02,0.0,5,-832.5516994397797,26.716533635680218,-855.9697736901355,-809.1336251894238,207.6776248599449,6.917326140583055,201.61432116257595,213.74092855731385,92.06,57.896582368910174,41.311408014014816,142.80859198598517,0.14047232569156143,0.0009793603267477002,0.13961387851565232,0.14133077286747053,0.4219898381071324,0.071391819495847,0.35941214922652986,0.484567526987735,0.5780101618928676,0.07139181949584703,0.515432473012265,0.6405878507734701,229.19720462142226,0.22613113958343975,228.99899193824655,229.39541730459797,83.28798606457016,8.396255721371004,75.92834343318299,90.64762869595734,371.4620574266756,11.270675769245328,361.5828745350978,381.34124031825337,273.0845900165352,11.890632543425765,262.66199105280725,283.5071889802631,152.80432618271587,1.9839786199189196,151.06529224717826,154.54336011825347,0.1547007684772331,0.010415759741951833,0.14557095252367158,0.16383058443079462,74.05,13.239882538941592,62.444731270495126,85.65526872950487,16.49230769230769,6.735995223929775,10.5879475513139,22.396667833301482,9.457692307692309,9.763317789581318,0.8997669404250761,18.015617674959543
cross_eval_severe,static_s1,recurrent_ppo,control_v1,operational_penalty,1,v4,4.0,0.02,0.0,5,-880.9441484204906,2.341407989598491,-882.9964830121895,-878.8918138287917,220.23603710512265,0.5853519973996227,219.72295345719792,220.74912075304738,0.0,0.0,0.0,0.0,0.14085846130559623,0.0001275110385010429,0.14074669295240802,0.14097022965878445,0.30405055421748656,0.002495457639466329,0.30186318915409394,0.3062379192808792,0.6959494457825135,0.002495457639466331,0.6937620807191209,0.6981368108459061,229.1861808345904,0.053746204597024595,229.13907020912188,229.23329146005892,68.19099271199282,0.37254942033926214,67.86443874708098,68.51754667690466,376.287214371947,2.70208267021158,373.91873448363145,378.6556942602626,258.8504188637096,1.0294194617240522,257.9480929213493,259.75274480606987,153.6551133910625,0.4519441464294172,153.25896688035039,154.05125990177464,0.13719505359164313,0.0011668270137558997,0.13617228461951256,0.1382178225637737,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
