rule,seed,risk_level,ret_excel,unattended_orders,backorders,n_orders,cumulative_backorder_qty
fifo_flat,700014,current,0.5291697121869084,115,873,875,2184301.0
age_threshold,700014,current,0.5444627403037642,110,873,875,2184301.0
spt_contingent,700015,current,0.5104003802716555,108,873,875,2180820.0
fifo_contingent,700015,current,0.5308384251014174,114,873,875,2180820.0
lpt_contingent,700015,current,0.49560224856558915,120,873,875,2180820.0
spt_flat,700015,current,0.5104003802716555,108,873,875,2180820.0
fifo_flat,700015,current,0.5308384251014174,114,873,875,2180820.0
age_threshold,700015,current,0.5466005194568015,109,873,875,2180820.0
spt_contingent,700016,increased,0.511628607459757,110,873,875,2183517.0
fifo_contingent,700016,increased,0.5299209802099694,115,873,875,2183517.0
lpt_contingent,700016,increased,0.49137799469356636,121,873,875,2183517.0
spt_flat,700016,increased,0.511628607459757,110,873,875,2183517.0
fifo_flat,700016,increased,0.5299209802099694,115,873,875,2183517.0
age_threshold,700016,increased,0.5431235036008987,110,873,875,2183517.0
spt_contingent,700017,increased,0.5061865674128359,109,873,875,2182488.0
fifo_contingent,700017,increased,0.5299075320321854,115,873,875,2182488.0
lpt_contingent,700017,increased,0.4854360372186998,120,873,875,2182488.0
spt_flat,700017,increased,0.5061865674128359,109,873,875,2182488.0
fifo_flat,700017,increased,0.5299075320321854,115,873,875,2182488.0
age_threshold,700017,increased,0.5451736907213266,110,873,875,2182488.0
spt_contingent,700018,increased,0.5013834177035347,109,873,875,2183357.0
fifo_contingent,700018,increased,0.5294201037719495,115,873,875,2183357.0
lpt_contingent,700018,increased,0.49078453040774433,121,873,875,2183357.0
spt_flat,700018,increased,0.5013834177035347,109,873,875,2183357.0
fifo_flat,700018,increased,0.5294201037719495,115,873,875,2183357.0
age_threshold,700018,increased,0.5440948471669046,110,873,875,2183357.0
spt_contingent,700019,current,0.5094205308532319,109,873,875,2181968.0
fifo_contingent,700019,current,0.5309111248186293,114,873,875,2181968.0
lpt_contingent,700019,current,0.4830969273508797,120,873,875,2181968.0
spt_flat,700019,current,0.5094205308532319,109,873,875,2181968.0
fifo_flat,700019,current,0.5309111248186293,114,873,875,2181968.0
age_threshold,700019,current,0.5438373498837518,109,873,875,2181968.0
spt_contingent,700020,current,0.4978271317614708,110,873,875,2183878.0
fifo_contingent,700020,current,0.5291697121869084,115,873,875,2183878.0
lpt_contingent,700020,current,0.4871487298480589,121,873,875,2183878.0
spt_flat,700020,current,0.4978271317614708,110,873,875,2183878.0
fifo_flat,700020,current,0.5291697121869084,115,873,875,2183878.0
age_threshold,700020,current,0.5437641576586194,110,873,875,2183878.0
spt_contingent,700021,current,0.49491108796838645,109,873,875,2180858.0
fifo_contingent,700021,current,0.5301924009965112,114,873,875,2180858.0
lpt_contingent,700021,current,0.48942424870629264,120,873,875,2180858.0
spt_flat,700021,current,0.49491108796838645,109,873,875,2180858.0
fifo_flat,700021,current,0.5301924009965112,114,873,875,2180858.0
age_threshold,700021,current,0.5458563023830965,109,873,875,2180858.0
spt_contingent,700022,increased,0.5113703883181102,109,873,875,2182903.0
fifo_contingent,700022,increased,0.5309818530409626,114,873,875,2182903.0
lpt_contingent,700022,increased,0.4811201661837211,120,873,875,2182903.0
spt_flat,700022,increased,0.5113703883181102,109,873,875,2182903.0
fifo_flat,700022,increased,0.5309818530409626,114,873,875,2182903.0
age_threshold,700022,increased,0.5451175715890805,110,873,875,2182903.0
spt_contingent,700023,increased,0.5024027345896243,108,873,875,2178909.0
fifo_contingent,700023,increased,0.5319923424010398,113,873,875,2178909.0
lpt_contingent,700023,increased,0.4918675900092226,119,873,875,2178909.0
spt_flat,700023,increased,0.5024027345896243,108,873,875,2178909.0
fifo_flat,700023,increased,0.5319923424010398,113,873,875,2178909.0
age_threshold,700023,increased,0.5457375965346213,108,873,875,2178909.0
spt_contingent,700024,increased,0.5024132226654207,110,873,875,2184396.0
fifo_contingent,700024,increased,0.5291697121869084,115,873,875,2184396.0
lpt_contingent,700024,increased,0.4911458833600786,121,873,875,2184396.0
spt_flat,700024,increased,0.5024132226654207,110,873,875,2184396.0
fifo_flat,700024,increased,0.5291697121869084,115,873,875,2184396.0
age_threshold,700024,increased,0.5442269591943778,110,873,875,2184396.0
spt_contingent,700025,current,0.5038459763975663,110,873,875,2184727.0
fifo_contingent,700025,current,0.529529250677912,115,873,875,2184727.0
lpt_contingent,700025,current,0.48552327041669263,121,873,875,2184727.0
spt_flat,700025,current,0.5038459763975663,110,873,875,2184727.0
fifo_flat,700025,current,0.529529250677912,115,873,875,2184727.0
age_threshold,700025,current,0.5416349733526278,110,873,875,2184727.0
spt_contingent,700026,current,0.5083933324955128,109,873,875,2183762.0
fifo_contingent,700026,current,0.5298223784842723,115,873,875,2183762.0
lpt_contingent,700026,current,0.496618778311084,120,873,875,2183762.0
spt_flat,700026,current,0.5083933324955128,109,873,875,2183762.0
fifo_flat,700026,current,0.5298223784842723,115,873,875,2183762.0
age_threshold,700026,current,0.544613576374776,110,873,875,2183762.0
spt_contingent,700027,current,0.513614273157332,110,873,875,2184183.0
fifo_contingent,700027,current,0.5292666981185329,115,873,875,2184183.0
lpt_contingent,700027,current,0.4866732181250758,121,873,875,2184183.0
spt_flat,700027,current,0.513614273157332,110,873,875,2184183.0
fifo_flat,700027,current,0.5292666981185329,115,873,875,2184183.0
age_threshold,700027,current,0.5429787321323303,110,873,875,2184183.0
spt_contingent,700028,increased,0.5099084166021851,109,873,875,2180826.0
fifo_contingent,700028,increased,0.5309818530409626,114,873,875,2180826.0
lpt_contingent,700028,increased,0.486924656784081,120,873,875,2180826.0
spt_flat,700028,increased,0.5099084166021851,109,873,875,2180826.0
fifo_flat,700028,increased,0.5309818530409626,114,873,875,2180826.0
age_threshold,700028,increased,0.5447273121992556,109,873,875,2180826.0
spt_contingent,700029,increased,0.5029675193040767,109,873,875,2183268.0
fifo_contingent,700029,increased,0.5291697121869084,115,873,875,2183268.0
lpt_contingent,700029,increased,0.4988109227038151,120,873,875,2183268.0
spt_flat,700029,increased,0.5029675193040767,109,873,875,2183268.0
fifo_flat,700029,increased,0.5291697121869084,115,873,875,2183268.0
age_threshold,700029,increased,0.5444774273371104,110,873,875,2183268.0
spt_contingent,700030,increased,0.49803456896819576,110,873,875,2183667.0
fifo_contingent,700030,increased,0.5297309886417042,115,873,875,2183667.0
lpt_contingent,700030,increased,0.4885924956471078,121,873,875,2183667.0
spt_flat,700030,increased,0.49803456896819576,110,873,875,2183667.0
fifo_flat,700030,increased,0.5297309886417042,115,873,875,2183667.0
age_threshold,700030,increased,0.5441449585576537,110,873,875,2183667.0
