family,buffer,shifts,tape,ret_excel,placed,attended,lost,fill_qty,backlog_auc_qty_weeks,backlog_peak_qty,shift_hours_per_week,warmup_hours
R1,I1344,1,700003,0.008645022194411144,696,684,0,0.9832002032857159,830434.0,60191.0,48.0,74.0
R1,I1344,2,700003,0.008656741887180335,696,687,0,0.987244833143881,819871.0,60185.0,96.0,50.0
R1,I1344,3,700003,0.00840121333879564,696,687,0,0.9872438396964992,857825.0,62693.0,144.0,54.0
R1,B0,1,700004,0.005860788750413341,696,473,170,0.684160181644966,18198543.0,154977.0,48.0,962.0
R1,B0,2,700004,0.008901720130340907,696,694,0,0.9972959050858825,1971368.0,81960.0,96.0,938.0
R1,B0,3,700004,0.009051928772997412,696,694,0,0.9972950681749848,1726373.0,80539.0,144.0,935.0
R1,I168,1,700004,0.009127783835670537,696,694,0,0.9972958946463347,64174.0,15279.0,48.0,73.0
R1,I168,2,700004,0.009000676848229007,696,694,0,0.9972953591385749,7739.0,5140.0,96.0,49.0
R1,I168,3,700004,0.00918435223555224,696,694,0,0.9972947502816704,7739.0,5140.0,144.0,46.0
R1,I336,1,700004,0.009127783835670537,696,694,0,0.9972958946463347,64174.0,15279.0,48.0,73.0
R1,I336,2,700004,0.009233622619320501,696,694,0,0.9972953427269101,7739.0,5140.0,96.0,49.0
R1,I336,3,700004,0.009242767242649816,696,694,0,0.9959573884806808,0.0,0.0,144.0,46.0
R1,I504,1,700004,0.009127783835670537,696,694,0,0.9972958946463347,64174.0,15279.0,48.0,73.0
R1,I504,2,700004,0.009215291616406844,696,694,0,0.9972987029586998,0.0,0.0,96.0,49.0
R1,I504,3,700004,0.00920237030443773,696,694,0,0.997296121315531,23152.0,7786.0,144.0,46.0
R1,I672,1,700004,0.009127783835670537,696,694,0,0.9972958946463347,64174.0,15279.0,48.0,73.0
R1,I672,2,700004,0.009215291616406844,696,694,0,0.9972987029586998,0.0,0.0,96.0,49.0
R1,I672,3,700004,0.009253432535946248,696,694,0,0.9972953621224926,0.0,0.0,144.0,46.0
R1,I1344,1,700004,0.009127783835670537,696,694,0,0.9972958946463347,64174.0,15279.0,48.0,73.0
R1,I1344,2,700004,0.009215291616406844,696,694,0,0.9972987029586998,0.0,0.0,96.0,49.0
R1,I1344,3,700004,0.009243370302448112,696,694,0,0.99729580516119,2599.0,2599.0,144.0,46.0
R1,B0,1,700005,0.0056817756806300974,696,458,184,0.6641129107751135,18317867.0,155201.0,48.0,1296.0
R1,B0,2,700005,0.008591885759074602,696,694,0,0.9972004066128555,3178822.0,111483.0,96.0,1263.0
R1,B0,3,700005,0.008751275740453647,696,694,0,0.9972000489055187,2964237.0,110909.0,144.0,1269.0
R1,I168,1,700005,0.009054918794856487,696,689,0,0.9900633689795333,107107.0,20012.0,48.0,73.0
R1,I168,2,700005,0.008791560095682417,696,694,0,0.9971960957121884,443868.0,42659.0,96.0,49.0
R1,I168,3,700005,0.00923793148858446,696,685,0,0.9846972787258925,2565.0,2565.0,144.0,46.0
R1,I336,1,700005,0.009054918794856487,696,689,0,0.9900633689795333,107107.0,20012.0,48.0,73.0
R1,I336,2,700005,0.008386783307169902,696,692,0,0.9943445864334052,1025950.0,63184.0,96.0,49.0
R1,I336,3,700005,0.009070124189238632,696,694,0,0.9958055222419806,7597.0,5020.0,144.0,46.0
R1,I504,1,700005,0.009054918794856487,696,689,0,0.9900633689795333,107107.0,20012.0,48.0,73.0
R1,I504,2,700005,0.009097101460868024,696,694,0,0.9972003418622682,25703.0,10215.0,96.0,49.0
R1,I504,3,700005,0.009181357593101536,696,694,0,0.9971962039557569,5183.0,2594.0,144.0,46.0
R1,I672,1,700005,0.009054918794856487,696,689,0,0.9900633689795333,107107.0,20012.0,48.0,73.0
R1,I672,2,700005,0.009097101460868024,696,694,0,0.9972003418622682,25703.0,10215.0,96.0,49.0
R1,I672,3,700005,0.009233689448805768,696,694,0,0.9971967357741509,0.0,0.0,144.0,46.0
R1,I1344,1,700005,0.009054918794856487,696,689,0,0.9900633689795333,107107.0,20012.0,48.0,73.0
R1,I1344,2,700005,0.009097101460868024,696,694,0,0.9972003418622682,25703.0,10215.0,96.0,49.0
R1,I1344,3,700005,0.00900290471484843,696,694,0,0.9972002771086859,40849.0,10215.0,144.0,46.0
R1,B0,1,700006,0.0056159102344781435,696,467,179,0.6761683201510412,18183110.0,154570.0,48.0,1128.0
R1,B0,2,700006,0.008771639640855092,696,694,0,0.9958076398528346,2215522.0,94853.0,96.0,1095.0
R1,B0,3,700006,0.008626352789755333,696,694,0,0.9971848614975036,2228036.0,94853.0,144.0,1106.0
R1,I168,1,700006,0.009180046655847362,696,694,0,0.9971842461303394,2422.0,2422.0,48.0,74.0
R1,I168,2,700006,0.009133637948511901,696,694,0,0.9971846781586547,2422.0,2422.0,96.0,50.0
R1,I168,3,700006,0.009225595619782636,696,694,0,0.9971885217168922,0.0,0.0,144.0,50.0
R1,I336,1,700006,0.009180046655847362,696,694,0,0.9971842461303394,2422.0,2422.0,48.0,74.0
R1,I336,2,700006,0.008990072801563657,696,690,0,0.9916173276113275,40295.0,12489.0,96.0,50.0
R1,I336,3,700006,0.009097328048709896,696,694,0,0.9971844543907553,12559.0,5030.0,144.0,50.0
R1,I504,1,700006,0.009180046655847362,696,694,0,0.9971842461303394,2422.0,2422.0,48.0,74.0
R1,I504,2,700006,0.009184817897074439,696,694,0,0.9957892761749189,0.0,0.0,96.0,50.0
R1,I504,3,700006,0.009102929641212692,696,689,0,0.9887298882040232,43345.0,15223.0,144.0,50.0
R1,I672,1,700006,0.009180046655847362,696,694,0,0.9971842461303394,2422.0,2422.0,48.0,74.0
R1,I672,2,700006,0.009184817897074439,696,694,0,0.9957892761749189,0.0,0.0,96.0,50.0
R1,I672,3,700006,0.00918725629782104,696,694,0,0.9958376082197028,0.0,0.0,144.0,50.0
