state_id,sequence_days,family,best_sequence,optimal_first_action,long_ret,long_service,delta_ret_vs_all_hold,realized_departure_pattern
dra2-calibration-r24_mixed-850057|prefix=threshold_5000__wait_72h,7,r24_mixed,HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD,HOLD,0.8121912637201081,5346273.0,0.14675705368364567,"[false, true, false, true, false, true, false]"
dra2-calibration-routine-850012|prefix=threshold_5000__wait_72h,7,routine,HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|HOLD|DISPATCH_NOW,HOLD,0.9424314343922875,4331586.0,0.0937067737997942,"[false, true, false, true, false, false, true]"
dra2-calibration-assembly_scarcity-850028|prefix=threshold_1000__wait_24h,7,assembly_scarcity,HOLD|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|HOLD,HOLD,0.2974426989210802,12669732.0,0.0013781675810102256,"[false, false, true, false, true, false, false]"
dra2-calibration-op8_interruption-850043|prefix=threshold_1000__wait_24h,7,op8_interruption,HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD,HOLD,0.9330174043487977,7107703.0,0.03662597139171553,"[false, true, false, true, false, true, false]"
dra2-calibration-r24_mixed-850058|prefix=threshold_1000__wait_24h,7,r24_mixed,HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD,HOLD,0.45528057869681166,8563053.0,0.03877904922915926,"[false, true, false, true, false, true, false]"
dra2-calibration-routine-850013|prefix=threshold_1000__wait_24h,7,routine,HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD,HOLD,0.9330403901302358,7354094.0,0.039133994803879246,"[false, true, false, true, false, true, false]"
dra2-calibration-assembly_scarcity-850029|prefix=threshold_2500__wait_48h,7,assembly_scarcity,DISPATCH_NOW|HOLD|HOLD|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW,DISPATCH_NOW,0.60210812741711,6653128.0,0.13362252903269667,"[true, false, false, false, true, false, true]"
dra2-calibration-op8_interruption-850044|prefix=threshold_2500__wait_48h,7,op8_interruption,DISPATCH_NOW|HOLD|HOLD|DISPATCH_NOW|HOLD|HOLD|HOLD,DISPATCH_NOW,0.9659456118310944,5547093.0,0.03901223165235157,"[true, false, false, true, false, false, false]"
dra2-calibration-r24_mixed-850059|prefix=threshold_2500__wait_48h,7,r24_mixed,DISPATCH_NOW|HOLD|HOLD|DISPATCH_NOW|HOLD|HOLD|DISPATCH_NOW,DISPATCH_NOW,0.6539716019065075,6002689.0,0.30834407015742255,"[true, false, false, true, false, false, true]"
dra2-calibration-routine-850014|prefix=threshold_2500__wait_48h,7,routine,DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|HOLD|DISPATCH_NOW|HOLD,DISPATCH_NOW,0.972230702672586,5215581.0,0.052014642348804596,"[true, false, true, false, false, true, false]"
dra2-calibration-assembly_scarcity-850030|prefix=threshold_5000__wait_48h,7,assembly_scarcity,HOLD|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW,HOLD,0.3882110243245461,6101908.0,0.2039411080329845,"[false, false, true, false, true, false, true]"
dra2-calibration-op8_interruption-850045|prefix=threshold_5000__wait_48h,7,op8_interruption,HOLD|DISPATCH_NOW|HOLD|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW,HOLD,0.8978125264694908,4885602.0,0.0879858952804754,"[false, true, false, false, true, false, true]"
dra2-calibration-r24_mixed-850060|prefix=threshold_5000__wait_48h,7,r24_mixed,DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|HOLD|HOLD|HOLD,DISPATCH_NOW,0.4751377226967942,6709818.0,0.13856810108885687,"[true, false, true, false, false, false, false]"
dra2-calibration-routine-850015|prefix=threshold_5000__wait_48h,7,routine,HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|HOLD|DISPATCH_NOW,HOLD,0.9398579311674391,6219227.0,0.043747119400313395,"[false, true, false, true, false, false, true]"
