seed,algo,reward_mode,reward_family,w_bo,w_cost,w_disr,episode_index,timesteps,progress_fraction,episode_reward,episode_length,time_elapsed_seconds
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,58,580,0.29,1.446888,10,1.539264
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,59,590,0.295,0.517812,10,1.553175
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,60,600,0.3,2.753507,10,1.567146
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,61,610,0.305,1.871298,10,1.584283
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,62,620,0.31,1.520911,10,1.597338
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,63,630,0.315,2.645378,10,1.612416
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,64,640,0.32,1.491863,10,1.626245
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,65,650,0.325,1.682873,10,1.640599
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,66,660,0.33,1.255564,10,1.653045
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,67,670,0.335,2.454741,10,1.667315
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,68,680,0.34,1.514103,10,1.682305
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,69,690,0.345,1.955217,10,1.696565
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,70,700,0.35,1.450908,10,1.710145
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,71,710,0.355,1.776997,10,1.724184
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,72,720,0.36,0.735666,10,1.736624
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,73,730,0.365,1.90343,10,1.751661
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,74,740,0.37,1.865352,10,1.766253
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,75,750,0.375,1.040207,10,1.780358
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,76,760,0.38,0.89034,10,1.793948
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,77,770,0.385,1.349206,10,1.808213
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,78,780,0.39,1.099962,10,1.822856
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,79,790,0.395,2.320683,10,1.836192
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,80,800,0.4,1.072248,10,1.84977
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,81,810,0.405,2.184775,10,1.864685
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,82,820,0.41,2.177228,10,1.879088
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,83,830,0.415,1.358829,10,1.893292
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,84,840,0.42,3.368232,10,1.908521
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,85,850,0.425,2.565989,10,1.922648
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,86,860,0.43,0.309675,10,1.937004
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,87,870,0.435,2.289984,10,1.950986
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,88,880,0.44,2.110349,10,1.96473
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,89,890,0.445,1.16491,10,1.978005
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,90,900,0.45,1.428884,10,1.991064
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,91,910,0.455,1.155932,10,2.004624
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,92,920,0.46,1.295291,10,2.017706
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,93,930,0.465,2.889543,10,2.034003
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,94,940,0.47,2.628223,10,2.048113
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,95,950,0.475,0.515928,10,2.06132
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,96,960,0.48,1.165349,10,2.073389
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,97,970,0.485,2.669184,10,2.088138
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,98,980,0.49,1.001169,10,2.10118
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,99,990,0.495,2.72055,10,2.117234
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,100,1000,0.5,0.560231,10,2.131278
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,101,1010,0.505,1.911759,10,2.146272
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,102,1020,0.51,1.465351,10,2.16068
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,103,1030,0.515,0.904776,10,2.48746
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,104,1040,0.52,2.07226,10,2.501437
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,105,1050,0.525,2.016302,10,2.51513
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,106,1060,0.53,2.305091,10,2.528646
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,107,1070,0.535,0.916595,10,2.538875
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,108,1080,0.54,1.436377,10,2.554706
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,109,1090,0.545,2.711854,10,2.570206
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,110,1100,0.55,2.503019,10,2.585326
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,111,1110,0.555,2.155603,10,2.600349
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,112,1120,0.56,1.97319,10,2.615216
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,113,1130,0.565,3.890623,10,2.629598
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,114,1140,0.57,1.106125,10,2.642199
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,115,1150,0.575,1.289263,10,2.656961
