phase,policy,w_bo,w_cost,w_disr,seed_count,reward_total_mean,reward_total_std,reward_total_ci95_low,reward_total_ci95_high,service_loss_total_mean,service_loss_total_std,service_loss_total_ci95_low,service_loss_total_ci95_high,shift_cost_total_mean,shift_cost_total_std,shift_cost_total_ci95_low,shift_cost_total_ci95_high,mean_disruption_fraction_mean,mean_disruption_fraction_std,mean_disruption_fraction_ci95_low,mean_disruption_fraction_ci95_high,fill_rate_mean,fill_rate_std,fill_rate_ci95_low,fill_rate_ci95_high,backorder_rate_mean,backorder_rate_std,backorder_rate_ci95_low,backorder_rate_ci95_high,ret_thesis_corrected_total_mean,ret_thesis_corrected_total_std,ret_thesis_corrected_total_ci95_low,ret_thesis_corrected_total_ci95_high,pct_steps_S1_mean,pct_steps_S1_std,pct_steps_S1_ci95_low,pct_steps_S1_ci95_high,pct_steps_S2_mean,pct_steps_S2_std,pct_steps_S2_ci95_low,pct_steps_S2_ci95_high,pct_steps_S3_mean,pct_steps_S3_std,pct_steps_S3_ci95_low,pct_steps_S3_ci95_high
ppo_eval,ppo,4.0,0.01,0.0,3,-277.8473685638581,173.1207073202143,-473.75189103216144,-81.94284609555476,68.86709214096449,43.525875880514725,19.61292687455883,118.12125740737014,237.9,99.4341993481116,125.37961094983719,350.42038905016284,0.07513842016331625,0.0012622984069213866,0.0737099950462502,0.0765668452803823,0.7304671933654437,0.1674823016620885,0.5409431275451981,0.9199912591856894,0.26953280663455614,0.16748230166208847,0.08000874081431059,0.4590568724548017,242.80649863903454,0.20527644588264268,242.57420647290883,243.03879080516026,32.71794871794872,32.73077676338459,-4.320411921297534,69.75630935719498,43.06410256410256,29.962929101067232,9.157856406969316,76.97034872123581,24.21794871794872,10.434731869641952,12.409938020384395,36.02595941551304
ppo_eval,ppo,5.0,0.01,0.0,3,-268.41828773995036,92.75429866309399,-373.3796575711496,-163.4569179087511,53.18132421465676,18.523581973019752,32.21991793923782,74.1427304900757,251.16666666666666,32.33579028465724,214.5752753050666,287.7580580282667,0.07431220815631152,0.002242691399072421,0.07177436392970263,0.07685005238292042,0.7907508198374568,0.07207321171299431,0.7091923029970948,0.8723093366778187,0.20924918016254326,0.0720732117129944,0.12769066332218118,0.2908076970029053,242.96544945329458,0.40539811856212304,242.5066982960482,243.42420061054096,8.038461538461538,12.326968078641007,-5.91081600498927,21.987739081912345,87.32051282051282,12.269431716062014,73.43634380053143,101.2046818404942,4.641025641025641,0.8079975003378834,3.7266903953493826,5.5553608867019
ppo_eval,ppo,5.0,0.02,0.0,3,-239.18564142700725,45.91929262600585,-291.14821270590573,-187.22307014810877,46.95912828540139,9.705400379398283,35.97643386298955,57.94182270781323,219.5,131.13706569845155,71.10444044379227,367.89555955620773,0.07418227885921397,0.0014199366046805354,0.07257546932856272,0.07578908838986521,0.81524069057513,0.03843083046704273,0.7717521119570872,0.8587292691931729,0.18475930942486993,0.03843083046704278,0.141270730806827,0.22824788804291285,242.99755934034079,0.24410860253291153,242.7213244522684,243.27379422841318,29.28205128205128,38.0526794096869,-13.778609131064474,72.34271169516704,57.01282051282052,26.52536837921125,26.996540507600972,87.02910051804007,13.705128205128204,13.25720376536955,-1.2968101136419428,28.70706652389835
ppo_eval,ppo,5.0,0.03,0.0,3,-219.8035437592379,6.9663128490539075,-227.6866688526123,-211.92041866586348,42.828108751847566,0.8384928038330617,41.87926482167467,43.776952682020465,188.76666666666665,113.66799608215733,60.13922031956008,317.3941130137732,0.07478998578796703,0.004130658034379235,0.0701157061929319,0.07946426538300215,0.83040121189934,0.0038128116624048867,0.8260866093336088,0.8347158144650713,0.16959878810065998,0.0038128116624049145,0.16528418553492868,0.17391339066639128,242.86127505686684,0.8024880201937176,241.95317437488546,243.76937573884823,45.48717948717948,18.94152998533657,24.052820512820507,66.92153846153846,36.42307692307693,6.866865817375943,28.652486739900887,44.19366710625297,18.089743589743588,24.908778345370074,-10.097192580709315,46.27667976019649
static_screen,static_s1,3.0,0.01,0.0,3,-269.5545106410357,6.916839430546198,-277.38165129108353,-261.7273699909878,89.85150354701186,2.3056131435154286,87.24245666366255,92.46055043036117,0.0,0.0,0.0,0.0,0.07397209042954485,0.0021387434484651194,0.07155187438237504,0.07639230647671466,0.6495236310802083,0.00883615215249732,0.6395245836254724,0.6595226785349442,0.3504763689197918,0.008836152152497279,0.340477321465056,0.36047541637452757,243.00849141474202,0.4201934083827746,242.5329978109567,243.48398501852736,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static_screen,static_s1,3.0,0.02,0.0,3,-269.5545106410357,6.916839430546198,-277.38165129108353,-261.7273699909878,89.85150354701186,2.3056131435154286,87.24245666366255,92.46055043036117,0.0,0.0,0.0,0.0,0.07397209042954485,0.0021387434484651194,0.07155187438237504,0.07639230647671466,0.6495236310802083,0.00883615215249732,0.6395245836254724,0.6595226785349442,0.3504763689197918,0.008836152152497279,0.340477321465056,0.36047541637452757,243.00849141474202,0.4201934083827746,242.5329978109567,243.48398501852736,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static_screen,static_s1,3.0,0.03,0.0,3,-269.5545106410357,6.916839430546198,-277.38165129108353,-261.7273699909878,89.85150354701186,2.3056131435154286,87.24245666366255,92.46055043036117,0.0,0.0,0.0,0.0,0.07397209042954485,0.0021387434484651194,0.07155187438237504,0.07639230647671466,0.6495236310802083,0.00883615215249732,0.6395245836254724,0.6595226785349442,0.3504763689197918,0.008836152152497279,0.340477321465056,0.36047541637452757,243.00849141474202,0.4201934083827746,242.5329978109567,243.48398501852736,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static_screen,static_s1,4.0,0.01,0.0,3,-359.40601418804744,9.222452574061714,-369.84220172144467,-348.9698266546502,89.85150354701186,2.3056131435154286,87.24245666366255,92.46055043036117,0.0,0.0,0.0,0.0,0.07397209042954485,0.0021387434484651194,0.07155187438237504,0.07639230647671466,0.6495236310802083,0.00883615215249732,0.6395245836254724,0.6595226785349442,0.3504763689197918,0.008836152152497279,0.340477321465056,0.36047541637452757,243.00849141474202,0.4201934083827746,242.5329978109567,243.48398501852736,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static_screen,static_s1,4.0,0.02,0.0,3,-359.40601418804744,9.222452574061714,-369.84220172144467,-348.9698266546502,89.85150354701186,2.3056131435154286,87.24245666366255,92.46055043036117,0.0,0.0,0.0,0.0,0.07397209042954485,0.0021387434484651194,0.07155187438237504,0.07639230647671466,0.6495236310802083,0.00883615215249732,0.6395245836254724,0.6595226785349442,0.3504763689197918,0.008836152152497279,0.340477321465056,0.36047541637452757,243.00849141474202,0.4201934083827746,242.5329978109567,243.48398501852736,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static_screen,static_s1,4.0,0.03,0.0,3,-359.40601418804744,9.222452574061714,-369.84220172144467,-348.9698266546502,89.85150354701186,2.3056131435154286,87.24245666366255,92.46055043036117,0.0,0.0,0.0,0.0,0.07397209042954485,0.0021387434484651194,0.07155187438237504,0.07639230647671466,0.6495236310802083,0.00883615215249732,0.6395245836254724,0.6595226785349442,0.3504763689197918,0.008836152152497279,0.340477321465056,0.36047541637452757,243.00849141474202,0.4201934083827746,242.5329978109567,243.48398501852736,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
