w_bo,w_cost,w_disr,best_static_policy,static_reward_gap_best_minus_s1,ppo_reward_mean,static_s2_reward_mean,best_static_reward_mean,ppo_fill_rate_mean,static_s2_fill_rate_mean,best_static_fill_rate_mean,ppo_backorder_rate_mean,static_s2_backorder_rate_mean,best_static_backorder_rate_mean,ppo_ret_thesis_corrected_total_mean,static_s2_ret_thesis_corrected_total_mean,best_static_ret_thesis_corrected_total_mean,ppo_pct_steps_S1_mean,ppo_pct_steps_S2_mean,ppo_pct_steps_S3_mean,ppo_beats_static_s2,ppo_beats_best_static,collapsed_to_S1,collapsed_to_S2,collapsed_to_S3
5.0,0.01,0.0,static_s3,229.65985596698596,-268.41828773995036,-220.57461911626024,-219.5976617680734,0.7907508198374568,0.8273708416241904,0.8302937020347744,0.20924918016254326,0.17262915837580958,0.16970629796522566,242.96544945329458,242.872083626267,242.92607395326226,8.038461538461538,87.32051282051282,4.641025641025641,False,False,False,False,False
5.0,0.02,0.0,static_s2,226.08289861879828,-239.18564142700725,-223.17461911626108,-223.17461911626108,0.81524069057513,0.8273708416241904,0.8273708416241904,0.18475930942486993,0.17262915837580958,0.17262915837580958,242.99755934034079,242.872083626267,242.872083626267,29.28205128205128,57.01282051282052,13.705128205128204,False,False,False,False,False
5.0,0.03,0.0,static_s2,223.48289861879863,-219.8035437592379,-225.77461911626074,-225.77461911626074,0.83040121189934,0.8273708416241904,0.8273708416241904,0.16959878810065998,0.17262915837580958,0.17262915837580958,242.86127505686684,242.872083626267,242.872083626267,45.48717948717948,36.42307692307693,18.089743589743588,True,True,False,False,False
4.0,0.01,0.0,static_s3,182.6878847735888,-277.8473685638581,-176.97969529300835,-176.71812941445864,0.7304671933654437,0.8273708416241904,0.8302937020347744,0.26953280663455614,0.17262915837580958,0.16970629796522566,242.80649863903454,242.872083626267,242.92607395326226,32.71794871794872,43.06410256410256,24.21794871794872,False,False,False,False,False
