contract_id,split,campaign_id,campaign_sha256,seed,family,risk_level,horizon_weeks,policy,buffer_level,initial_shift,policy_shift,n_orders,n_served,n_lost,n_late,ret_excel,ret_thesis,ret_continuous,ret_excel_cvar05,ret_excel_cvar10,ret_excel_p05,ret_excel_p10,ret_excel_p25,ret_excel_p50,ret_excel_p75,ret_excel_p90,ret_excel_p95,ret_excel_rolling_4w_mean,ret_excel_rolling_4w_min,ret_excel_rolling_4w_final,ret_excel_risk_conditional,ret_excel_risk_conditional_n,ration_ret_excel,excel_case_pct_fill_rate,excel_case_pct_autotomy,excel_case_pct_recovery,excel_case_pct_risk_no_recovery,excel_case_pct_unfulfilled,fill_rate,fill_rate_on_time,lost_orders,lost_rate,backorder_qty_final,service_loss_auc_ration_hours,service_loss_auc_per_order,rpj_mean,rpj_p95,ttr_mean,ttr_p95,backlog_age_mean,backlog_age_max,apj_p50,apj_p90,apj_p99,apj_positive_p50,apj_positive_p90,apj_positive_p99,ctj_p50,ctj_p90,ctj_p99,rpj_p50,rpj_p90,rpj_p99,dpj_p99,delivered_rations,demanded_rations,flow_fill_rate,shift_hours,surge_hours,strategic_buffer_units,end_state_inventory,unit_surge_hours_per_ration,unit_buffer_units_per_ration,system_ttr_mean,system_ttr_p95,system_ttr_n_recovered,system_ttr_n_censored,system_ttr_n_clusters,system_ttr_censored_fraction,switches,late_backlog_hours,total_backlog_hours,l_program_return
garrido_learning_v1,calibration,l-cal-000-700000,cf647092bef975a5c447e7d1826913797433464e01336a782edd033085f71991,700000,R1,current,104,static_I0_S1,0,1,1,623.0,491.0,71.0,491.0,0.004184969484010608,0.004184969484010608,0.1964932945836898,0.0,0.0,0.0,0.0,0.0007462686567164179,0.005319148936170213,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.004236539578195624,0.0029514798260909768,0.0037107676388011294,0.0053100529298138535,491,0.0041298104375135335,0.0,0.0,78.81219903691814,0.0,21.187800963081862,0.0032102728731941976,0.0,71.0,0.11396468699839486,154101.0,2921193466.0,4688914.070626004,202.65376782077394,646.0,202.65376782077394,646.0,8052.545454545455,17304.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,382.0,2518.0,70.0,382.0,2518.0,2518.0,1216207.0,1556675.0,0.7812851108934107,17472.0,0.0,0.0,2220754.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2921193466.0,2995855786.0,-5917049252.0
garrido_learning_v1,calibration,l-cal-000-700000,cf647092bef975a5c447e7d1826913797433464e01336a782edd033085f71991,700000,R1,current,104,static_I0_S2,0,1,2,623.0,506.0,57.0,506.0,0.0041910290249137835,0.0041910290249137835,0.19182782569405699,0.0,0.0,0.0,0.0,0.0012315270935960591,0.00423728813559322,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.004252134706566192,0.003001165540744727,0.0035869515458639197,0.005160100953599368,506,0.0041398618662190885,0.0,0.0,81.2199036918138,0.0,18.780096308186195,0.0032102728731941976,0.0,57.0,0.09149277688603531,154229.0,2623211382.0,4210612.170144462,240.1818181818182,622.0,240.1818181818182,622.0,7905.025641025641,16944.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,334.0,3142.0,70.0,334.0,3142.0,3142.0,1254681.0,1556675.0,0.8060006102751056,34776.0,17304.0,0.0,2188951.0,0.0137915533908619,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2623211382.0,2697873702.0,-5321089410.1
garrido_learning_v1,calibration,l-cal-000-700000,cf647092bef975a5c447e7d1826913797433464e01336a782edd033085f71991,700000,R1,current,104,static_I0_S3,0,1,3,623.0,504.0,59.0,504.0,0.00415510369505204,0.00415510369505204,0.19094539834761037,0.0,0.0,0.0,0.0,0.0011627906976744186,0.00423728813559322,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.004212897114403789,0.0031389114319472404,0.003586951545863919,0.005136169845272647,504,0.004104668807635333,0.0,0.0,80.89887640449439,0.0,19.10112359550562,0.0032102728731941976,0.0,59.0,0.09470304975922954,151748.0,2680300356.0,4302247.762439807,242.76190476190476,694.0,242.76190476190476,694.0,7952.873949579832,16944.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,334.0,3838.0,70.0,334.0,3838.0,3838.0,1249554.0,1556675.0,0.8027070518894438,52080.0,34608.0,0.0,2159871.0,0.02769628203342953,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2680300356.0,2754962676.0,-5435271684.1
garrido_learning_v1,calibration,l-cal-000-700000,cf647092bef975a5c447e7d1826913797433464e01336a782edd033085f71991,700000,R1,current,104,heuristic_I0,0,1,1,623.0,503.0,60.0,503.0,0.0041538685841757345,0.0041538685841757345,0.19156355196974753,0.0,0.0,0.0,0.0,0.0012315270935960591,0.00423728813559322,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.004216886282233419,0.002999502366388547,0.003595572319753778,0.00514485114898902,503,0.004102735811755326,0.0,0.0,80.73836276083468,0.0,19.261637239165328,0.0032102728731941976,0.0,60.0,0.09630818619582665,154120.0,2685823576.0,4311113.284109149,216.33797216699801,574.0,216.33797216699801,574.0,8015.2,17304.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,286.0,3262.0,94.0,286.0,3262.0,3262.0,1247020.0,1556675.0,0.8010792233446288,51408.0,33936.0,0.0,2161844.0,0.02721367740693814,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2685823576.0,2760485896.0,-5446317956.1
garrido_learning_v1,calibration,l-cal-000-700000,cf647092bef975a5c447e7d1826913797433464e01336a782edd033085f71991,700000,R1,current,104,static_I168_S1,168,1,1,623.0,621.0,0.0,621.0,0.009403676671007602,0.009403676671007602,0.31168831168831174,0.00884433962264151,0.009134471398622342,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.00943214512856229,0.008679245283018867,0.008679245283018867,0.009433962264150891,621,0.00940451512673208,0.0,0.0,99.67897271268058,0.0,0.32102728731942215,0.0032102728731941976,0.0,0.0,0.0,0.0,7759080.0,12454.38202247191,53.0,53.0,53.0,53.0,36.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,1551816.0,1556675.0,0.9968786034336005,17472.0,0.0,384390.0,2263255.0,0.0,0.247703335962511,0.0,0.0,0.0,1.0,1.0,1.0,0.0,7759080.0,82421400.0,-90180480.0
garrido_learning_v1,calibration,l-cal-000-700000,cf647092bef975a5c447e7d1826913797433464e01336a782edd033085f71991,700000,R1,current,104,static_I168_S2,168,1,2,623.0,621.0,0.0,621.0,0.009403676671007602,0.009403676671007602,0.31168831168831174,0.00884433962264151,0.009134471398622342,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.00943214512856229,0.008679245283018867,0.008679245283018867,0.009433962264150891,621,0.00940451512673208,0.0,0.0,99.67897271268058,0.0,0.32102728731942215,0.0032102728731941976,0.0,0.0,0.0,0.0,7759080.0,12454.38202247191,53.0,53.0,53.0,53.0,36.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,1551816.0,1556675.0,0.9968786034336005,34776.0,17304.0,384390.0,2715969.0,0.011150806538919563,0.247703335962511,0.0,0.0,0.0,1.0,1.0,1.0,1.0,7759080.0,82421400.0,-90184806.1
garrido_learning_v1,calibration,l-cal-000-700000,cf647092bef975a5c447e7d1826913797433464e01336a782edd033085f71991,700000,R1,current,104,static_I168_S3,168,1,3,623.0,621.0,0.0,621.0,0.009403676671007602,0.009403676671007602,0.31168831168831174,0.00884433962264151,0.009134471398622342,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.00943214512856229,0.008679245283018867,0.008679245283018867,0.009433962264150891,621,0.00940451512673208,0.0,0.0,99.67897271268058,0.0,0.32102728731942215,0.0032102728731941976,0.0,0.0,0.0,0.0,7759080.0,12454.38202247191,53.0,53.0,53.0,53.0,36.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,1551816.0,1556675.0,0.9968786034336005,52080.0,34608.0,384390.0,2767665.0,0.022301613077839125,0.247703335962511,0.0,0.0,0.0,1.0,1.0,1.0,1.0,7759080.0,82421400.0,-90189132.1
garrido_learning_v1,calibration,l-cal-000-700000,cf647092bef975a5c447e7d1826913797433464e01336a782edd033085f71991,700000,R1,current,104,heuristic_I168,168,1,1,623.0,621.0,0.0,621.0,0.009403676671007602,0.009403676671007602,0.31168831168831174,0.00884433962264151,0.009134471398622342,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.00943214512856229,0.008679245283018867,0.008679245283018867,0.009433962264150891,621,0.00940451512673208,0.0,0.0,99.67897271268058,0.0,0.32102728731942215,0.0032102728731941976,0.0,0.0,0.0,0.0,7759080.0,12454.38202247191,53.0,53.0,53.0,53.0,36.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,1551816.0,1556675.0,0.9968786034336005,27216.0,9744.0,384390.0,2500969.0,0.006279094944245968,0.247703335962511,0.0,0.0,0.0,1.0,1.0,1.0,67.0,7759080.0,82421400.0,-90182922.69999996
garrido_learning_v1,calibration,l-cal-000-700000,cf647092bef975a5c447e7d1826913797433464e01336a782edd033085f71991,700000,R1,current,104,static_I336_S1,336,1,1,623.0,621.0,0.0,621.0,0.009403676671007602,0.009403676671007602,0.31168831168831174,0.00884433962264151,0.009134471398622342,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.00943214512856229,0.008679245283018867,0.008679245283018867,0.009433962264150891,621,0.00940451512673208,0.0,0.0,99.67897271268058,0.0,0.32102728731942215,0.0032102728731941976,0.0,0.0,0.0,0.0,7759080.0,12454.38202247191,53.0,53.0,53.0,53.0,36.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,1551816.0,1556675.0,0.9968786034336005,17472.0,0.0,768780.0,2284945.0,0.0,0.495406671925022,0.0,0.0,0.0,1.0,1.0,1.0,0.0,7759080.0,82421400.0,-90180480.0
garrido_learning_v1,calibration,l-cal-000-700000,cf647092bef975a5c447e7d1826913797433464e01336a782edd033085f71991,700000,R1,current,104,static_I336_S2,336,1,2,623.0,621.0,0.0,621.0,0.009403676671007602,0.009403676671007602,0.31168831168831174,0.00884433962264151,0.009134471398622342,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.00943214512856229,0.008679245283018867,0.008679245283018867,0.009433962264150891,621,0.00940451512673208,0.0,0.0,99.67897271268058,0.0,0.32102728731942215,0.0032102728731941976,0.0,0.0,0.0,0.0,7759080.0,12454.38202247191,53.0,53.0,53.0,53.0,36.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,1551816.0,1556675.0,0.9968786034336005,34776.0,17304.0,768780.0,2967799.0,0.011150806538919563,0.495406671925022,0.0,0.0,0.0,1.0,1.0,1.0,1.0,7759080.0,82421400.0,-90184806.1
