state_id,best_sequence,optimal_first_action,long_ret,long_service,realized_departure_pattern
dra2-smoke-assembly_scarcity-840002|state=0,DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|HOLD,DISPATCH_NOW,0.42441050174601636,7368985.0,"[true, false, true, false, true, false, false]"
dra2-smoke-op8_interruption-840003|state=0,HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD,HOLD,0.9354577080689965,7145443.0,"[false, true, false, true, false, true, false]"
dra2-smoke-r24_mixed-840004|state=0,HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|HOLD|DISPATCH_NOW,HOLD,0.2673549520444625,9771489.0,"[false, true, false, true, false, false, true]"
dra2-smoke-routine-840001|state=0,HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD,HOLD,0.9319957265479435,7521540.0,"[false, true, false, true, false, true, false]"
