phase,policy,algo,frame_stack,observation_version,w_bo,w_cost,w_disr,seed_count,reward_total_mean,reward_total_std,reward_total_ci95_low,reward_total_ci95_high,service_loss_total_mean,service_loss_total_std,service_loss_total_ci95_low,service_loss_total_ci95_high,shift_cost_total_mean,shift_cost_total_std,shift_cost_total_ci95_low,shift_cost_total_ci95_high,mean_disruption_fraction_mean,mean_disruption_fraction_std,mean_disruption_fraction_ci95_low,mean_disruption_fraction_ci95_high,fill_rate_mean,fill_rate_std,fill_rate_ci95_low,fill_rate_ci95_high,backorder_rate_mean,backorder_rate_std,backorder_rate_ci95_low,backorder_rate_ci95_high,ret_thesis_corrected_total_mean,ret_thesis_corrected_total_std,ret_thesis_corrected_total_ci95_low,ret_thesis_corrected_total_ci95_high,pct_steps_S1_mean,pct_steps_S1_std,pct_steps_S1_ci95_low,pct_steps_S1_ci95_high,pct_steps_S2_mean,pct_steps_S2_std,pct_steps_S2_ci95_low,pct_steps_S2_ci95_high,pct_steps_S3_mean,pct_steps_S3_std,pct_steps_S3_ci95_low,pct_steps_S3_ci95_high
cross_eval_current,heuristic_disruption,ppo,1,v1,4.0,0.02,0.0,5,-10.407265680882649,2.416019258965439,-12.524999933696842,-8.289531428068456,2.1039164202206706,0.5535174289567262,1.6187370018524359,2.5890958385889054,99.58,10.250951175378798,90.59464512442608,108.56535487557392,0.02055908082307939,0.0020097527858447626,0.018797454835008953,0.022320706811149827,0.9918413564967938,0.0021881029482490873,0.9899233996986452,0.9937593132949425,0.008158643503206223,0.0021881029482491384,0.0062406867050575346,0.010076600301354911,255.12867849813202,0.41402352029959705,254.76577088174795,255.49158611451608,68.26923076923076,3.3413980350150356,65.34036625592904,71.19809528253248,25.16153846153846,2.793218753681343,22.71317427390904,27.60990264916788,6.569230769230769,0.7130441449606902,5.944220019027364,7.194241519434174
cross_eval_current,heuristic_hysteresis,ppo,1,v1,4.0,0.02,0.0,5,-14.400188973381187,2.8172368593230233,-16.86960595883759,-11.930771987924786,2.136247243345319,0.5706312495168913,1.636066899855197,2.636427586835441,292.76000000000005,26.797910366295362,269.2705959002788,316.2494040997213,0.0204402743457374,0.0012622315776047927,0.019333879586275922,0.021546669105198875,0.9917010213247783,0.002250702550194695,0.9897281935562263,0.9936738490933303,0.00829897867522161,0.0022507025501946627,0.006326150906669589,0.01027180644377363,255.14369338959017,0.2595125056847906,254.91622064893096,255.37116613024938,43.699999999999996,5.153444301210643,39.18280690389976,48.21719309610023,0.0,0.0,0.0,0.0,56.3,5.153444301210642,51.78280690389977,60.817193096100226
cross_eval_current,heuristic_tuned,ppo,1,v1,4.0,0.02,0.0,5,-14.942978341575174,3.047388604657449,-17.614132226533112,-12.271824456617237,2.2529445853938155,0.6634719684189769,1.6713857637540483,2.8345034070335826,296.56,20.791055769248484,278.33583610258074,314.78416389741926,0.020622835569952192,0.0012460048671474352,0.019530664149323185,0.0217150069905812,0.9912629116078276,0.0024783057171910068,0.9890905808671828,0.9934352423484725,0.008737088392172318,0.0024783057171910376,0.00656475765152743,0.010909419132817205,255.11087817618795,0.26664070009953306,254.8771572976396,255.3445990547363,42.969230769230776,3.998279955624704,39.46458386588092,46.473877672580635,0.0,0.0,0.0,0.0,57.030769230769224,3.9982799556247057,53.526122327419365,60.53541613411908
cross_eval_current,ppo,ppo,1,v1,4.0,0.02,0.0,5,-14.647789405883476,2.133393295350875,-16.517791078893037,-12.777787732873913,1.5651473514709024,0.20067722130670548,1.3892460113868978,1.741048691554907,419.36,115.37024313054037,318.23352316153796,520.4864768384621,0.020785105531340598,0.0012971152098774355,0.019648133920038138,0.02192207714264306,0.9938986198474538,0.0008114723626342565,0.9931873329604864,0.9946099067344211,0.0061013801525462655,0.0008114723626342573,0.005390093265578942,0.006812667039513589,255.07023364613178,0.2608069860966341,254.84162624336358,255.2988410489,0.007692307692307693,0.017200522903844537,-0.007384615384615384,0.02276923076923077,38.69230769230769,44.346729264396764,-0.1793143839607012,77.56392976857609,61.3,44.35994848493175,22.416790766047093,100.18320923395291
cross_eval_current,random,ppo,1,v1,4.0,0.02,0.0,5,-15.045165328965705,2.084206894524261,-16.872053220735058,-13.218277437196353,2.4628913322414503,0.5369347252393863,1.992247294556198,2.9335353699267026,259.67999999999995,4.37972601882811,255.84100088043766,263.51899911956224,0.020599365355221146,0.0016570306631376126,0.01914691393941886,0.02205181677102343,0.9904207803519165,0.002140502658503808,0.9885445470473465,0.9922970136564865,0.00957921964808341,0.0021405026585038195,0.007702986343513455,0.011455452952653364,255.10985757090003,0.3447069340111641,254.80770862128836,255.4120065205117,33.67692307692308,0.6240969807811253,33.12987795368012,34.22396820016604,32.769230769230774,0.7428156890703094,32.118124110029065,33.42033742843248,33.55384615384615,1.1424436593516978,32.55245013419874,34.55524217349356
cross_eval_current,static_s1,ppo,1,v1,4.0,0.02,0.0,5,-142.3476737230255,6.93033576271888,-148.4223808569817,-136.2729665890693,35.58691843075638,1.73258394067972,34.06824164726733,37.105595214245426,0.0,0.0,0.0,0.0,0.020860177395208786,0.001740023107869312,0.019334979894175226,0.022385374896242347,0.8586207412598507,0.006538498400477659,0.8528894947173079,0.8643519878023934,0.14137925874014937,0.006538498400477675,0.1356480121976066,0.14711050528269212,255.0636847183809,0.3496914386917966,254.75716665777958,255.37020277898222,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cross_eval_current,static_s2,ppo,1,v1,4.0,0.02,0.0,5,-13.406057368195832,2.2325786819279503,-15.36299886577568,-11.449115870615984,2.0515143420489856,0.5581446704819872,1.5622789676540236,2.5407497164439476,260.0,0.0,260.0,260.0,0.020188801768768156,0.0014054625783453691,0.01895685950168331,0.021420744035853003,0.991992098218472,0.0021716866900019054,0.9900885309051191,0.993895665531825,0.008007901781527974,0.002171686690001953,0.0061043344681750294,0.009911469094880918,255.21135038239132,0.277007310443197,254.96854276923648,255.45415799554615,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
cross_eval_current,static_s3,ppo,1,v1,4.0,0.02,0.0,5,-18.967799316789772,2.3137187784245623,-20.99586324478481,-16.939735388794734,2.1419498291974888,0.5784296946061415,1.6349338471987287,2.648965811196249,520.0,0.0,520.0,520.0,0.020575601688927858,0.001087663322800856,0.01962222275137278,0.021528980626482935,0.991677176126028,0.0022791471392155454,0.989679415575896,0.99367493667616,0.008322823873971982,0.0022791471392155462,0.0063250633238400075,0.010320584424103956,255.11816804477297,0.2230217858401219,254.922680830321,255.31365525922493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0
cross_eval_severe,heuristic_disruption,ppo,1,v1,4.0,0.02,0.0,5,-387.05709268357776,5.82096904433445,-392.15939701497484,-381.9547883521807,94.98667317089446,1.453606482783171,93.71253091094374,96.26081543084518,355.52000000000004,1.2537942414926013,354.42100089172015,356.6189991082799,0.13132310905143063,0.0016635357774980918,0.12986495565148706,0.1327812624513742,0.6277305927432992,0.005306575134740163,0.6230791745535355,0.632382010933063,0.3722694072567007,0.005306575134740138,0.367617989066937,0.37692082544646444,230.9921332920303,0.3688392015286981,230.6688314772954,231.3154351067652,0.0,0.0,0.0,0.0,63.261538461538464,0.4822285544202347,62.83884649681542,63.68423042626151,36.738461538461536,0.48222855442023094,36.3157695737385,37.16115350318457
cross_eval_severe,heuristic_hysteresis,ppo,1,v1,4.0,0.02,0.0,5,-385.59104096611367,4.71976774929354,-389.72809980408283,-381.4539821281445,93.79776024152837,1.1799419373233906,92.76349553203607,94.83202495102066,520.0,0.0,520.0,520.0,0.1321386228925819,0.001972439294784718,0.1304097036214868,0.13386754216367702,0.6324159214896724,0.003636217790058062,0.6292286360671233,0.6356032069122215,0.3675840785103276,0.0036362177900580587,0.36439679308777856,0.37077136393287663,230.93452782251393,0.33120818677991315,230.64421104653894,231.22484459848891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0
cross_eval_severe,heuristic_tuned,ppo,1,v1,4.0,0.02,0.0,5,-386.4770254613158,11.692035075746752,-396.725546069391,-376.2285048532406,94.01925636532891,2.9230087689366733,91.45712621331013,96.5813865173477,520.0,0.0,520.0,520.0,0.13130784149622282,0.0027166903062942533,0.12892655745033685,0.1336891255421088,0.6316634984600861,0.010965070329952052,0.6220521905468372,0.6412748063733349,0.36833650153991393,0.010965070329952108,0.35872519362666505,0.3779478094531628,231.05746515950403,0.4824782419717564,230.63455433399236,231.4803759850157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0
cross_eval_severe,ppo,ppo,1,v1,4.0,0.02,0.0,5,-386.10500247568876,10.964733641860578,-395.71601526881335,-376.4939896825642,95.58845061892218,2.6957278072192725,93.22554101361692,97.95136022422744,187.56,51.621342485448785,142.31189829219352,232.8081017078065,0.1323588782521577,0.0021559820308632983,0.13046907667948057,0.13424867982483482,0.6258248088305645,0.010392546203353632,0.6167153404407221,0.6349342772204069,0.37417519116943554,0.010392546203353597,0.3650657227795932,0.3832846595592779,230.8912858823049,0.39536259449721173,230.54473528857878,231.23783647603105,51.09230769230769,13.16914876861602,39.54903984615393,62.63557553846145,25.67692307692307,19.78648229617394,8.333306652585378,43.020539501260764,23.230769230769234,14.812961100605355,10.246636346915874,36.21490211462259
cross_eval_severe,random,ppo,1,v1,4.0,0.02,0.0,5,-386.4462964505035,7.901476360495397,-393.3722458502562,-379.5203470507508,95.31317411262587,1.9607429374251626,93.59450715078765,97.0318410744641,259.67999999999995,4.37972601882811,255.84100088043766,263.51899911956224,0.13126904876741047,0.0003301903617568691,0.13097962415440426,0.13155847338041668,0.6263527906827161,0.007295476918848854,0.619958023213736,0.6327475581516961,0.37364720931728407,0.007295476918848796,0.367252441848304,0.3800419767862641,231.07868330817092,0.10293542738906056,230.98845642790042,231.16891018844143,33.67692307692308,0.6240969807811253,33.12987795368012,34.22396820016604,32.769230769230774,0.7428156890703094,32.118124110029065,33.42033742843248,33.55384615384615,1.1424436593516978,32.55245013419874,34.55524217349356
