split,tape_id,tape_sha256,seed,family,risk_level,rule,n_orders,n_served,n_lost,n_late,ret_excel,ret_thesis,ret_continuous,ret_excel_cvar05,ret_excel_cvar10,ret_excel_p05,ret_excel_p10,ret_excel_p25,ret_excel_p50,ret_excel_p75,ret_excel_p90,ret_excel_p95,ret_excel_rolling_4w_mean,ret_excel_rolling_4w_min,ret_excel_rolling_4w_final,ret_excel_risk_conditional,ret_excel_risk_conditional_n,ration_ret_excel,excel_case_pct_fill_rate,excel_case_pct_autotomy,excel_case_pct_recovery,excel_case_pct_risk_no_recovery,excel_case_pct_unfulfilled,fill_rate,fill_rate_on_time,lost_orders,lost_rate,backorder_qty_final,service_loss_auc_ration_hours,service_loss_auc_per_order,rpj_mean,rpj_p95,ttr_mean,ttr_p95,backlog_age_mean,backlog_age_max,apj_p50,apj_p90,apj_p99,apj_positive_p50,apj_positive_p90,apj_positive_p99,ctj_p50,ctj_p90,ctj_p99,rpj_p50,rpj_p90,rpj_p99,dpj_p99,delivered_rations,demanded_rations,flow_fill_rate,backlog_auc_ration_hours,raw_mass_residual,ration_mass_residual,mass_balance_residual,priority_rule_change_count,risk_sha256,demand_sha256
selection,d1v2-selection-R1-current-810002,fc93a6f2690bbda9ad7f6837780032b99f98128f18d0cc85808ec2bce776a4e8,810002,R1,current,fifo_flat,623.0,488.0,75.0,488.0,0.0005010245326360039,0.0005010245326360039,0.027735138499693286,0.0,0.0,0.0,0.0,0.00022665457842248413,0.00023169601482854495,0.00041736227045075126,0.0009505703422053232,0.0017482517482517483,0.0006286892860598968,-1.4268100589909239e-18,-1.4268100589909239e-18,0.0006396276308037494,488,0.0005006611643075411,0.0,0.0,78.33065810593901,0.0,21.669341894060995,0.0016051364365970988,0.0,75.0,0.12038523274478331,147686.0,2891300886.0,4640932.401284109,1564.0409836065573,2206.0,1564.0409836065573,2206.0,3134.222222222222,9480.0,0.0,0.0,0.0,0.0,0.0,0.0,1918.0,2206.0,2230.0,1918.0,2206.0,2230.0,2230.0,1218957.0,1556318.0,0.7832313190491917,2003577072.0,0.0,0.0,0.0,1,527abf2e44ec62487a4ce9fd20d3cd98351425257a603f35c9d6e9aa77496026,cd6fe333d815b158e502c7cbaeec9786493d0f03a25f51bcda5631b7a92fa0eb
selection,d1v2-selection-R1-current-810002,fc93a6f2690bbda9ad7f6837780032b99f98128f18d0cc85808ec2bce776a4e8,810002,R1,current,age_threshold,623.0,492.0,71.0,492.0,0.0011099716176887768,0.0011099716176887768,0.06073762008648686,0.0,0.0,0.0,0.0,0.0005219206680584551,0.0011627906976744186,0.0012315270935960591,0.0012315270935960591,0.002336448598130841,0.0012374360602174451,0.00023559828673776074,0.00023559828673776074,0.001405512841097793,492,0.0010997737767399645,0.0,0.0,78.97271268057784,0.0,21.02728731942215,0.0032102728731941976,0.0,71.0,0.11396468699839486,151362.0,2896226084.0,4648838.016051364,597.5121951219512,958.0,597.5121951219512,958.0,6614.2900763358775,16392.0,0.0,0.0,0.0,0.0,0.0,0.0,406.0,550.0,7534.0,406.0,550.0,7534.0,7534.0,1219730.0,1556318.0,0.7837280041739542,2041322136.0,0.0,0.0,0.0,1,527abf2e44ec62487a4ce9fd20d3cd98351425257a603f35c9d6e9aa77496026,cd6fe333d815b158e502c7cbaeec9786493d0f03a25f51bcda5631b7a92fa0eb
selection,d1v2-selection-R1-current-810003,059856c738ab5bd31230a0ce4f2623a172216da35316fc1e60aa6b94aaccde4a,810003,R1,current,spt_contingent,623.0,492.0,71.0,492.0,0.004177023309970878,0.004177023309970878,0.19633583361728146,0.0,0.0,0.0,0.0,0.00099601593625498,0.005319148936170213,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.004228352776796281,0.002904571688066432,0.0042026364075744395,0.0052891982156744915,492,0.004124074622450736,0.0,0.0,78.97271268057784,0.0,21.02728731942215,0.0032102728731941976,0.0,71.0,0.11396468699839486,153984.0,2908448542.0,4668456.728731942,186.29268292682926,502.0,186.29268292682926,502.0,8144.6106870229005,17184.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,286.0,2014.0,70.0,286.0,2014.0,2014.0,1218961.0,1556777.0,0.783002960603863,2047265640.0,0.0,0.0,0.0,1,08aed438ccc661281402650d36359556eadfc8e2da611eedbde5b9bddd418d7d,8d9463d1b23e2ef2f2b5937b1e19cb7f9442691d8ab1c76619873fe75e37b6d1
selection,d1v2-selection-R1-current-810003,059856c738ab5bd31230a0ce4f2623a172216da35316fc1e60aa6b94aaccde4a,810003,R1,current,fifo_contingent,623.0,487.0,76.0,487.0,0.0005059099804119246,0.0005059099804119246,0.028084097562209837,0.0,0.0,0.0,0.0,0.0002242152466367713,0.00022914757103574703,0.00041736227045075126,0.0010460251046025104,0.0017482517482517483,0.000632984718111872,-2.9262616635383763e-18,-2.9262616635383763e-18,0.0006471907962969797,487,0.0005042794749366752,0.0,0.0,78.1701444622793,0.0,21.829855537720707,0.0016051364365970988,0.0,76.0,0.12199036918138041,149954.0,2911833760.0,4673890.465489566,1568.1375770020534,2230.0,1568.1375770020534,2230.0,3176.1176470588234,9672.0,0.0,0.0,0.0,0.0,0.0,0.0,1918.0,2206.0,2254.0,1918.0,2206.0,2254.0,2254.0,1217608.0,1556777.0,0.78213385732189,2002525392.0,0.0,0.0,0.0,1,08aed438ccc661281402650d36359556eadfc8e2da611eedbde5b9bddd418d7d,8d9463d1b23e2ef2f2b5937b1e19cb7f9442691d8ab1c76619873fe75e37b6d1
selection,d1v2-selection-R1-current-810003,059856c738ab5bd31230a0ce4f2623a172216da35316fc1e60aa6b94aaccde4a,810003,R1,current,lpt_contingent,623.0,484.0,79.0,484.0,0.0039176684079249725,0.0039176684079249725,0.18795123109469747,0.0,0.0,0.0,0.0,0.0001031778786628147,0.00423728813559322,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.00399034840258424,0.002663323529577797,0.003152122568099706,0.005042783921771185,484,0.0039688652939468515,0.0,0.0,77.68860353130016,0.0,22.31139646869984,0.0032102728731941976,0.0,79.0,0.12680577849117175,146297.0,2905480840.0,4663693.16211878,434.56198347107437,1750.0,434.56198347107437,1750.0,7315.1654676258995,17160.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,382.0,8350.0,94.0,382.0,8350.0,8350.0,1219948.0,1556777.0,0.7836369627763,1967293272.0,0.0,0.0,0.0,1,08aed438ccc661281402650d36359556eadfc8e2da611eedbde5b9bddd418d7d,8d9463d1b23e2ef2f2b5937b1e19cb7f9442691d8ab1c76619873fe75e37b6d1
selection,d1v2-selection-R1-current-810003,059856c738ab5bd31230a0ce4f2623a172216da35316fc1e60aa6b94aaccde4a,810003,R1,current,spt_flat,623.0,492.0,71.0,492.0,0.004177023309970878,0.004177023309970878,0.19633583361728146,0.0,0.0,0.0,0.0,0.00099601593625498,0.005319148936170213,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.004228352776796281,0.002904571688066432,0.0042026364075744395,0.0052891982156744915,492,0.004124074622450736,0.0,0.0,78.97271268057784,0.0,21.02728731942215,0.0032102728731941976,0.0,71.0,0.11396468699839486,153984.0,2908448542.0,4668456.728731942,186.29268292682926,502.0,186.29268292682926,502.0,8144.6106870229005,17184.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,286.0,2014.0,70.0,286.0,2014.0,2014.0,1218961.0,1556777.0,0.783002960603863,2047265640.0,0.0,0.0,0.0,1,08aed438ccc661281402650d36359556eadfc8e2da611eedbde5b9bddd418d7d,8d9463d1b23e2ef2f2b5937b1e19cb7f9442691d8ab1c76619873fe75e37b6d1
selection,d1v2-selection-R1-current-810003,059856c738ab5bd31230a0ce4f2623a172216da35316fc1e60aa6b94aaccde4a,810003,R1,current,fifo_flat,623.0,487.0,76.0,487.0,0.0005059099804119246,0.0005059099804119246,0.028084097562209837,0.0,0.0,0.0,0.0,0.0002242152466367713,0.00022914757103574703,0.00041736227045075126,0.0010460251046025104,0.0017482517482517483,0.000632984718111872,-2.9262616635383763e-18,-2.9262616635383763e-18,0.0006471907962969797,487,0.0005042794749366752,0.0,0.0,78.1701444622793,0.0,21.829855537720707,0.0016051364365970988,0.0,76.0,0.12199036918138041,149954.0,2911833760.0,4673890.465489566,1568.1375770020534,2230.0,1568.1375770020534,2230.0,3176.1176470588234,9672.0,0.0,0.0,0.0,0.0,0.0,0.0,1918.0,2206.0,2254.0,1918.0,2206.0,2254.0,2254.0,1217608.0,1556777.0,0.78213385732189,2002525392.0,0.0,0.0,0.0,1,08aed438ccc661281402650d36359556eadfc8e2da611eedbde5b9bddd418d7d,8d9463d1b23e2ef2f2b5937b1e19cb7f9442691d8ab1c76619873fe75e37b6d1
selection,d1v2-selection-R1-current-810003,059856c738ab5bd31230a0ce4f2623a172216da35316fc1e60aa6b94aaccde4a,810003,R1,current,age_threshold,623.0,491.0,72.0,491.0,0.0011033129447344376,0.0011033129447344376,0.06070757851909247,0.0,0.0,0.0,0.0,0.0006738544474393531,0.0011627906976744186,0.0012315270935960591,0.0012315270935960591,0.002631578947368421,0.001228839597334524,0.0003448275862068932,0.0003448275862068932,0.0013999266080846448,491,0.001091509347460015,0.0,0.0,78.81219903691814,0.0,21.187800963081862,0.0032102728731941976,0.0,72.0,0.11556982343499198,153683.0,2906601934.0,4665492.67094703,551.2708757637474,742.0,551.2708757637474,742.0,6766.181818181818,15840.0,0.0,0.0,0.0,0.0,0.0,0.0,406.0,574.0,4534.0,406.0,574.0,4534.0,4534.0,1217869.0,1556777.0,0.782301511391805,2042831616.0,0.0,0.0,0.0,1,08aed438ccc661281402650d36359556eadfc8e2da611eedbde5b9bddd418d7d,8d9463d1b23e2ef2f2b5937b1e19cb7f9442691d8ab1c76619873fe75e37b6d1
selection,d1v2-selection-R1-current-810004,4565b277e8a5b86345c25b1d0e5889ef230af54819797df479b94ce6ddd1ed1f,810004,R1,current,spt_contingent,623.0,494.0,69.0,494.0,0.004138844468241787,0.004138844468241787,0.1937966940826282,0.0,0.0,0.0,0.0,0.0007204610951008645,0.005319148936170213,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.004199107932710566,0.0030156361792079713,0.0038700843282959015,0.005219635837479006,494,0.004086709742076977,0.0,0.0,79.29373996789727,0.0,20.70626003210273,0.0016051364365970988,0.0,69.0,0.11075441412520064,154038.0,2883187132.0,4627908.7191011235,263.9919028340081,862.0,263.9919028340081,862.0,7899.720930232558,17184.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,358.0,4654.0,94.0,358.0,4654.0,4654.0,1224502.0,1557135.0,0.7863813991721976,2034433800.0,0.0,0.0,0.0,1,143bdb97d960b2417f14cca1394c9044f98ecfad0f2f5151eb0c63aaf68b0178,bb5db110831ab5c09f71e04185f24314e06870da10ba4d8675f114c3ef4ef344
selection,d1v2-selection-R1-current-810004,4565b277e8a5b86345c25b1d0e5889ef230af54819797df479b94ce6ddd1ed1f,810004,R1,current,fifo_contingent,623.0,490.0,73.0,490.0,0.0004894087740168918,0.0004894087740168918,0.02714287057007383,0.0,0.0,0.0,0.0,0.00022665457842248413,0.00023169601482854495,0.0004091653027823241,0.00099601593625498,0.0017482517482517483,0.0006144198952233041,-1.1167282376600696e-18,-1.1167282376600696e-18,0.000622248298392905,490,0.000489903369341986,0.0,0.0,78.65168539325843,0.0,21.348314606741575,0.0032102728731941976,0.0,73.0,0.11717495987158909,150255.0,2899819168.0,4654605.406099519,1570.2551020408164,2206.0,1570.2551020408164,2206.0,3159.6992481203006,9504.0,0.0,0.0,0.0,0.0,0.0,0.0,1918.0,2206.0,2254.0,1918.0,2206.0,2230.0,2254.0,1224892.0,1557135.0,0.7866318591515828,2004034032.0,0.0,0.0,0.0,1,143bdb97d960b2417f14cca1394c9044f98ecfad0f2f5151eb0c63aaf68b0178,bb5db110831ab5c09f71e04185f24314e06870da10ba4d8675f114c3ef4ef344
