state_id,campaign_id,buffer_level,reference_action,optimal_action,budget_lambda,obs_buffer_level_fraction,obs_effective_shift_fraction,obs_pending_shift_fraction,obs_raw_material_wdc,obs_raw_material_al,obs_rations_al,obs_rations_sb,obs_rations_sb_dispatch,obs_rations_cssu,obs_rations_theatre,obs_pending_batch,obs_in_transit,obs_pending_backorder_qty,obs_pending_backorder_count,obs_oldest_backorder_age_hours,obs_previous_week_demanded,obs_previous_week_produced,obs_previous_week_delivered,obs_rolling_fill_rate_4w,obs_previous_week_capacity_utilization,obs_fraction_operations_down,obs_previous_week_downtime_hours,obs_week_phase_sin,obs_week_phase_cos
I0:l-cal-000-700000:w1,l-cal-000-700000,0,2,0,0.0,0.0,1.0,1.0,1168926.0,0.0,0.0,29324.0,0.0,0.0,0.0,5000.0,5118.0,0.0,0.0,0.0,12676.0,32257.0,7558.0,1.0,0.7038172483444214,0.0,1.0,0.1205366775393486,0.9927088618278503
I0:l-cal-000-700000:w99,l-cal-000-700000,0,2,0,0.0,0.0,1.0,1.0,2280000.0,352350.0,0.0,2060530.0,0.0,0.0,0.0,1875.5,12004.0,0.0,0.0,0.0,15030.0,31901.0,15105.0,1.0,0.7160798907279968,0.0,28.69186782836914,-0.5680647492408752,0.8229838609695435
I0:l-cal-001-700001:w1,l-cal-001-700001,0,2,0,0.0,0.0,1.0,1.0,1162176.0,0.0,0.0,29453.0,0.0,0.0,0.0,5000.0,5120.0,0.0,0.0,0.0,12547.0,32257.0,7427.0,1.0,0.6989296078681946,0.0,0.0,0.1205366775393486,0.9927088618278503
I0:l-cal-001-700001:w99,l-cal-001-700001,0,2,0,0.0,0.0,1.0,1.0,2280000.0,57690.0,0.0,1975219.0,0.0,0.0,0.0,6968.5,12057.0,0.0,0.0,0.0,14973.0,41344.5,14856.0,1.0,0.8958333134651184,0.0,0.0,-0.5680647492408752,0.8229838609695435
I0:l-cal-002-700002:w1,l-cal-002-700002,0,2,0,0.0,0.0,1.0,1.0,1165284.0,0.0,0.0,27076.0,0.0,0.0,0.0,5000.0,7562.0,0.0,0.0,0.0,14924.0,32257.0,7362.0,1.0,0.6989296078681946,0.0,3.021493673324585,0.1205366775393486,0.9927088618278503
I0:l-cal-002-700002:w99,l-cal-002-700002,0,2,0,0.0,0.0,1.0,1.0,2280000.0,196230.0,0.0,1956966.0,0.0,0.0,0.0,6493.5,12009.0,0.0,0.0,0.0,15122.0,36980.5,14944.0,1.0,0.8012762069702148,0.0,98.735107421875,-0.5680647492408752,0.8229838609695435
I0:l-cal-003-700003:w1,l-cal-003-700003,0,2,0,0.0,0.0,1.0,1.0,1189230.0,0.0,0.0,29472.0,0.0,0.0,0.0,5000.0,5058.0,0.0,0.0,0.0,12528.0,32257.0,7470.0,1.0,0.7346413731575012,0.0,4.883963108062744,0.1205366775393486,0.9927088618278503
I0:l-cal-003-700003:w99,l-cal-003-700003,0,2,0,0.0,0.0,1.0,1.0,1758066.0,354990.0,0.0,1969882.0,0.0,0.0,0.0,5150.5,12049.0,0.0,0.0,0.0,15139.0,32665.0,15110.0,1.0,0.7494034767150879,0.07692307978868484,272.049072265625,-0.5680647492408752,0.8229838609695435
I0:l-cal-004-700004:w1,l-cal-004-700004,0,2,0,0.0,0.0,1.0,1.0,1162176.0,0.0,0.0,29474.0,0.0,0.0,0.0,5000.0,4968.0,0.0,0.0,0.0,12526.0,32257.0,7558.0,1.0,0.6989296078681946,0.1538461595773697,42.0,0.1205366775393486,0.9927088618278503
I0:l-cal-004-700004:w99,l-cal-004-700004,0,2,0,0.0,0.0,1.0,1.0,1716000.0,202476.0,0.0,1701676.0,0.0,0.0,0.0,5004.5,11946.0,0.0,0.0,0.0,17316.0,37498.5,17489.0,1.0,0.8125,0.0,0.0,-0.5680647492408752,0.8229838609695435
I0:l-cal-005-700005:w1,l-cal-005-700005,0,2,0,0.0,0.0,1.0,1.0,1178376.0,0.0,0.0,29615.0,0.0,0.0,0.0,5000.0,4859.0,0.0,0.0,0.0,12385.0,32257.0,7526.0,1.0,0.7240709662437439,0.0,6.111408710479736,0.1205366775393486,0.9927088618278503
I0:l-cal-005-700005:w99,l-cal-005-700005,0,2,0,0.0,0.0,1.0,1.0,1211202.0,10098.0,0.0,1631339.0,0.0,0.0,0.0,4530.5,12061.0,0.0,0.0,0.0,17743.0,42292.5,17663.0,1.0,0.9425562620162964,0.07692307978868484,269.1622314453125,-0.5680647492408752,0.8229838609695435
I0:l-cal-006-700006:w1,l-cal-006-700006,0,2,0,0.0,0.0,1.0,1.0,1165236.0,0.0,0.0,29692.0,0.0,0.0,0.0,5000.0,4892.0,0.0,0.0,0.0,12308.0,32257.0,7416.0,1.0,0.6989296078681946,0.0,1.7909899950027466,0.1205366775393486,0.9927088618278503
I0:l-cal-006-700006:w99,l-cal-006-700006,0,2,0,0.0,0.0,1.0,1.0,2280000.0,383202.0,0.0,2068418.0,0.0,0.0,0.0,1718.0,11950.0,0.0,0.0,0.0,14901.0,30944.5,14936.0,1.0,0.6751797199249268,0.0,25.0,-0.5680647492408752,0.8229838609695435
