theta_sc,theta_bc,beta,kappa,garrido_cf_s1_reward_mean,garrido_cf_s2_reward_mean,garrido_cf_s3_reward_mean,static_s1_reward_mean,static_s2_reward_mean,static_s3_reward_mean,garrido_rank_ok,static_rank_ok,garrido_s2_minus_s3,garrido_margin_ok,accepted
0.76,0.7,12.0,0.1,101.30750070847945,140.28613655383276,147.01120875568094,103.48742326859173,137.36411426582006,135.23863804224322,False,True,-6.725072201848178,False,False
0.76,0.7,12.0,0.15,101.30750070847945,140.28613655383276,147.01120875568094,103.48742326859173,137.36411426582006,135.23863804224322,False,True,-6.725072201848178,False,False
0.76,0.7,12.0,0.2,101.30750070847945,140.28613655383276,147.01120875568094,103.48742326859173,137.36411426582006,135.23863804224322,False,True,-6.725072201848178,False,False
0.76,0.75,12.0,0.1,101.30750070847945,140.28613655383276,147.01120875568094,103.48742326859173,137.36411426582006,135.23863804224322,False,True,-6.725072201848178,False,False
0.76,0.75,12.0,0.15,101.30750070847945,140.28613655383276,147.01120875568094,103.48742326859173,137.36411426582006,135.23863804224322,False,True,-6.725072201848178,False,False
0.76,0.75,12.0,0.2,101.30750070847945,140.28613655383276,147.01120875568094,103.48742326859173,137.36411426582006,135.23863804224322,False,True,-6.725072201848178,False,False
0.76,0.8,12.0,0.1,101.30750070847945,140.28613655383276,147.01120875568094,103.48742326859173,137.36411426582006,135.23863804224322,False,True,-6.725072201848178,False,False
0.76,0.8,12.0,0.15,101.30750070847945,140.28613655383276,147.01120875568094,103.48742326859173,137.36411426582006,135.23863804224322,False,True,-6.725072201848178,False,False
0.76,0.8,12.0,0.2,101.30750070847945,140.28613655383276,147.01120875568094,103.48742326859173,137.36411426582006,135.23863804224322,False,True,-6.725072201848178,False,False
0.78,0.7,12.0,0.1,101.30750070847945,140.28613655383276,147.01120875568094,103.48742326859173,137.36411426582006,135.23863804224322,False,True,-6.725072201848178,False,False
0.78,0.7,12.0,0.15,101.30750070847945,140.28613655383276,147.01120875568094,103.48742326859173,137.36411426582006,135.23863804224322,False,True,-6.725072201848178,False,False
0.78,0.7,12.0,0.2,101.30750070847945,140.28613655383276,147.01120875568094,103.48742326859173,137.36411426582006,135.23863804224322,False,True,-6.725072201848178,False,False
0.78,0.75,12.0,0.1,101.30750070847945,140.28613655383276,147.01120875568094,103.48742326859173,137.36411426582006,135.23863804224322,False,True,-6.725072201848178,False,False
0.78,0.75,12.0,0.15,101.30750070847945,140.28613655383276,147.01120875568094,103.48742326859173,137.36411426582006,135.23863804224322,False,True,-6.725072201848178,False,False
0.78,0.75,12.0,0.2,101.30750070847945,140.28613655383276,147.01120875568094,103.48742326859173,137.36411426582006,135.23863804224322,False,True,-6.725072201848178,False,False
0.78,0.8,12.0,0.1,101.30750070847945,140.28613655383276,147.01120875568094,103.48742326859173,137.36411426582006,135.23863804224322,False,True,-6.725072201848178,False,False
0.78,0.8,12.0,0.15,101.30750070847945,140.28613655383276,147.01120875568094,103.48742326859173,137.36411426582006,135.23863804224322,False,True,-6.725072201848178,False,False
0.78,0.8,12.0,0.2,101.30750070847945,140.28613655383276,147.01120875568094,103.48742326859173,137.36411426582006,135.23863804224322,False,True,-6.725072201848178,False,False
0.8,0.7,12.0,0.1,101.30750070847945,140.28613655383276,147.01120875568094,103.48742326859173,137.36411426582006,135.23863804224322,False,True,-6.725072201848178,False,False
0.8,0.7,12.0,0.15,101.30750070847945,140.28613655383276,147.01120875568094,103.48742326859173,137.36411426582006,135.23863804224322,False,True,-6.725072201848178,False,False
0.8,0.7,12.0,0.2,101.30750070847945,140.28613655383276,147.01120875568094,103.48742326859173,137.36411426582006,135.23863804224322,False,True,-6.725072201848178,False,False
0.8,0.75,12.0,0.1,101.30750070847945,140.28613655383276,147.01120875568094,103.48742326859173,137.36411426582006,135.23863804224322,False,True,-6.725072201848178,False,False
0.8,0.75,12.0,0.15,101.30750070847945,140.28613655383276,147.01120875568094,103.48742326859173,137.36411426582006,135.23863804224322,False,True,-6.725072201848178,False,False
0.8,0.75,12.0,0.2,101.30750070847945,140.28613655383276,147.01120875568094,103.48742326859173,137.36411426582006,135.23863804224322,False,True,-6.725072201848178,False,False
0.8,0.8,12.0,0.1,101.30750070847945,140.28613655383276,147.01120875568094,103.48742326859173,137.36411426582006,135.23863804224322,False,True,-6.725072201848178,False,False
0.8,0.8,12.0,0.15,101.30750070847945,140.28613655383276,147.01120875568094,103.48742326859173,137.36411426582006,135.23863804224322,False,True,-6.725072201848178,False,False
0.8,0.8,12.0,0.2,101.30750070847945,140.28613655383276,147.01120875568094,103.48742326859173,137.36411426582006,135.23863804224322,False,True,-6.725072201848178,False,False
